execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,61.61,1,1,4
2,TLS Single,57.25,1,1,4
3,TLS Single,55.88,1,1,4
4,TLS Single,56.72,1,1,4
5,TLS Single,57.64,1,1,4
6,TLS Single,54.81,1,1,4
7,TLS Single,55.52,1,1,4
8,TLS Single,54.28,1,1,4
9,TLS Single,56.76,1,1,4
10,TLS Single,55.4,1,1,4
11,TLS Single,55.84,1,1,4
12,TLS Single,56.85,1,1,4
13,TLS Single,56.73,1,1,4
14,TLS Single,55.54,1,1,4
15,TLS Single,54.67,1,1,4
16,TLS Single,55.47,1,1,4
17,TLS Single,57.1,1,1,4
18,TLS Single,55.23,1,1,4
19,TLS Single,55.54,1,1,4
20,TLS Single,55.68,1,1,4
21,TLS Single,54.4,1,1,4
22,TLS Single,54.3,1,1,4
23,TLS Single,56.04,1,1,4
24,TLS Single,55.39,1,1,4
25,TLS Single,70.04,1,1,4
26,TLS Single,55.78,1,1,4
27,TLS Single,55.46,1,1,4
28,TLS Single,54.55,1,1,4
29,TLS Single,54.9,1,1,4
30,TLS Single,55.68,1,1,4
31,TLS Single,54.3,1,1,4
32,TLS Single,54.39,1,1,4
33,TLS Single,56.5,1,1,4
34,TLS Single,55.52,1,1,4
35,TLS Single,54.8,1,1,4
36,TLS Single,55.7,1,1,4
37,TLS Single,54.2,1,1,4
38,TLS Single,55.3,1,1,4
39,TLS Single,55.17,1,1,4
40,TLS Single,53.37,1,1,4
41,TLS Single,53.73,1,1,4
42,TLS Single,53.13,1,1,4
43,TLS Single,54.56,1,1,4
44,TLS Single,54.69,1,1,4
45,TLS Single,54.82,1,1,4
46,TLS Single,54.87,1,1,4
47,TLS Single,56.37,1,1,4
48,TLS Single,55.03,1,1,4
49,TLS Single,54.73,1,1,4
50,TLS Single,55.09,1,1,4
51,TLS Single,55.82,1,1,4
52,TLS Single,54.28,1,1,4
53,TLS Single,55.35,1,1,4
54,TLS Single,54.31,1,1,4
55,TLS Single,55.68,1,1,4
56,TLS Single,54.68,1,1,4
57,TLS Single,53.55,1,1,4
58,TLS Single,54.64,1,1,4
59,TLS Single,55.02,1,1,4
60,TLS Single,54.39,1,1,4
61,TLS Single,54.16,1,1,4
62,TLS Single,55.78,1,1,4
63,TLS Single,53.66,1,1,4
64,TLS Single,55.02,1,1,4
65,TLS Single,55.08,1,1,4
66,TLS Single,56.16,1,1,4
67,TLS Single,55.22,1,1,4
68,TLS Single,56.89,1,1,4
69,TLS Single,54.92,1,1,4
70,TLS Single,54.86,1,1,4
71,TLS Single,57.08,1,1,4
72,TLS Single,56.01,1,1,4
73,TLS Single,56.06,1,1,4
74,TLS Single,56.23,1,1,4
75,TLS Single,57.6,1,1,4
76,TLS Single,53.72,1,1,4
77,TLS Single,57.08,1,1,4
78,TLS Single,56.68,1,1,4
79,TLS Single,55.79,1,1,4
80,TLS Single,56.92,1,1,4
81,TLS Single,56.62,1,1,4
82,TLS Single,56.43,1,1,4
83,TLS Single,55.12,1,1,4
84,TLS Single,54.13,1,1,4
85,TLS Single,54.39,1,1,4
86,TLS Single,56.19,1,1,4
87,TLS Single,54.88,1,1,4
88,TLS Single,56.2,1,1,4
89,TLS Single,57.73,1,1,4
90,TLS Single,55.87,1,1,4
91,TLS Single,56.63,1,1,4
92,TLS Single,56.7,1,1,4
93,TLS Single,58.11,1,1,4
94,TLS Single,57.14,1,1,4
95,TLS Single,55.53,1,1,4
96,TLS Single,57.67,1,1,4
97,TLS Single,57.94,1,1,4
98,TLS Single,55.95,1,1,4
99,TLS Single,57.86,1,1,4
100,TLS Single,56.45,1,1,4
101,TLS Single,56.37,1,1,4
102,TLS Single,56.59,1,1,4
103,TLS Single,57.82,1,1,4
104,TLS Single,55.02,1,1,4
105,TLS Single,55.98,1,1,4
106,TLS Single,57.76,1,1,4
107,TLS Single,56.54,1,1,4
108,TLS Single,55.65,1,1,4
109,TLS Single,58.14,1,1,4
110,TLS Single,57.89,1,1,4
111,TLS Single,56.79,1,1,4
112,TLS Single,55.37,1,1,4
113,TLS Single,54.44,1,1,4
114,TLS Single,56.3,1,1,4
115,TLS Single,57.4,1,1,4
116,TLS Single,54.66,1,1,4
117,TLS Single,56.49,1,1,4
118,TLS Single,55.72,1,1,4
119,TLS Single,54.71,1,1,4
120,TLS Single,57.53,1,1,4
121,TLS Single,57.48,1,1,4
122,TLS Single,56.68,1,1,4
123,TLS Single,55.47,1,1,4
124,TLS Single,56.72,1,1,4
125,TLS Single,55.51,1,1,4
