execution,mode,handshake_duration_ms,success
1,TLS Single,91.91,1
2,TLS Single,88.11,1
3,TLS Single,88.99,1
4,TLS Single,86.65,1
5,TLS Single,88.0,1
6,TLS Single,87.94,1
7,TLS Single,87.48,1
8,TLS Single,89.02,1
9,TLS Single,86.63,1
10,TLS Single,87.53,1
11,TLS Single,86.68,1
12,TLS Single,86.09,1
13,TLS Single,87.45,1
14,TLS Single,88.1,1
15,TLS Single,86.7,1
16,TLS Single,86.54,1
17,TLS Single,87.3,1
18,TLS Single,86.61,1
19,TLS Single,86.37,1
20,TLS Single,86.79,1
21,TLS Single,86.67,1
22,TLS Single,86.77,1
23,TLS Single,86.45,1
24,TLS Single,93.13,1
25,TLS Single,89.61,1
26,TLS Single,90.32,1
27,TLS Single,89.18,1
28,TLS Single,87.57,1
29,TLS Single,86.6,1
30,TLS Single,86.57,1
31,TLS Single,87.6,1
32,TLS Single,89.38,1
33,TLS Single,89.43,1
34,TLS Single,87.57,1
35,TLS Single,86.62,1
36,TLS Single,89.55,1
37,TLS Single,89.04,1
38,TLS Single,89.45,1
39,TLS Single,87.05,1
40,TLS Single,86.64,1
41,TLS Single,86.6,1
42,TLS Single,86.84,1
43,TLS Single,86.39,1
44,TLS Single,87.29,1
45,TLS Single,89.42,1
46,TLS Single,88.39,1
47,TLS Single,90.52,1
48,TLS Single,87.79,1
49,TLS Single,86.86,1
50,TLS Single,90.27,1
51,TLS Single,88.44,1
52,TLS Single,89.97,1
53,TLS Single,88.01,1
54,TLS Single,87.87,1
55,TLS Single,87.91,1
56,TLS Single,87.16,1
57,TLS Single,88.28,1
58,TLS Single,87.94,1
59,TLS Single,87.19,1
60,TLS Single,87.31,1
61,TLS Single,86.99,1
62,TLS Single,87.3,1
63,TLS Single,87.39,1
64,TLS Single,87.18,1
65,TLS Single,87.61,1
66,TLS Single,88.15,1
67,TLS Single,89.14,1
68,TLS Single,87.19,1
69,TLS Single,87.53,1
70,TLS Single,88.93,1
71,TLS Single,87.12,1
72,TLS Single,88.76,1
73,TLS Single,86.87,1
74,TLS Single,86.91,1
75,TLS Single,87.03,1
76,TLS Single,88.3,1
77,TLS Single,87.12,1
78,TLS Single,90.99,1
79,TLS Single,89.38,1
80,TLS Single,87.11,1
81,TLS Single,89.4,1
82,TLS Single,88.61,1
83,TLS Single,88.64,1
84,TLS Single,88.61,1
85,TLS Single,86.89,1
86,TLS Single,86.77,1
87,TLS Single,90.38,1
88,TLS Single,88.2,1
89,TLS Single,88.54,1
90,TLS Single,87.19,1
91,TLS Single,87.59,1
92,TLS Single,86.92,1
93,TLS Single,86.81,1
94,TLS Single,87.55,1
95,TLS Single,89.38,1
96,TLS Single,87.13,1
97,TLS Single,88.78,1
98,TLS Single,87.78,1
99,TLS Single,89.51,1
100,TLS Single,89.91,1
101,TLS Single,89.4,1
102,TLS Single,88.95,1
103,TLS Single,87.24,1
104,TLS Single,87.41,1
105,TLS Single,87.86,1
106,TLS Single,88.2,1
107,TLS Single,88.79,1
108,TLS Single,87.16,1
109,TLS Single,88.03,1
110,TLS Single,88.72,1
111,TLS Single,87.49,1
112,TLS Single,89.79,1
113,TLS Single,87.46,1
114,TLS Single,89.26,1
115,TLS Single,89.11,1
116,TLS Single,87.94,1
117,TLS Single,89.47,1
118,TLS Single,87.63,1
119,TLS Single,90.67,1
120,TLS Single,87.3,1
121,TLS Single,87.66,1
122,TLS Single,89.39,1
123,TLS Single,88.98,1
124,TLS Single,89.25,1
125,TLS Single,87.12,1
126,TLS Single,87.84,1
127,TLS Single,86.76,1
128,TLS Single,86.45,1
129,TLS Single,87.62,1
130,TLS Single,87.27,1
131,TLS Single,88.94,1
132,TLS Single,91.03,1
133,TLS Single,87.58,1
134,TLS Single,86.96,1
135,TLS Single,87.04,1
136,TLS Single,89.06,1
137,TLS Single,89.0,1
138,TLS Single,88.48,1
139,TLS Single,88.33,1
140,TLS Single,90.32,1
141,TLS Single,87.55,1
142,TLS Single,87.01,1
143,TLS Single,87.41,1
144,TLS Single,87.43,1
145,TLS Single,87.83,1
146,TLS Single,90.08,1
147,TLS Single,90.5,1
148,TLS Single,87.15,1
149,TLS Single,87.9,1
150,TLS Single,87.88,1
151,TLS Single,87.35,1
152,TLS Single,88.5,1
153,TLS Single,89.02,1
154,TLS Single,87.53,1
155,TLS Single,87.42,1
156,TLS Single,89.42,1
157,TLS Single,89.0,1
158,TLS Single,90.21,1
159,TLS Single,87.1,1
160,TLS Single,88.17,1
161,TLS Single,88.91,1
162,TLS Single,87.91,1
163,TLS Single,86.76,1
164,TLS Single,86.54,1
165,TLS Single,87.63,1
166,TLS Single,86.48,1
167,TLS Single,87.8,1
168,TLS Single,89.19,1
169,TLS Single,87.0,1
170,TLS Single,89.16,1
171,TLS Single,87.33,1
172,TLS Single,87.73,1
173,TLS Single,88.98,1
174,TLS Single,89.25,1
175,TLS Single,90.53,1
176,TLS Single,92.69,1
177,TLS Single,90.85,1
178,TLS Single,92.58,1
179,TLS Single,90.63,1
180,TLS Single,89.61,1
181,TLS Single,90.59,1
182,TLS Single,88.98,1
183,TLS Single,87.95,1
184,TLS Single,88.04,1
185,TLS Single,87.17,1
186,TLS Single,87.63,1
187,TLS Single,87.35,1
188,TLS Single,90.66,1
189,TLS Single,88.67,1
190,TLS Single,87.9,1
191,TLS Single,88.93,1
192,TLS Single,90.39,1
193,TLS Single,88.06,1
194,TLS Single,86.84,1
195,TLS Single,90.36,1
196,TLS Single,86.91,1
197,TLS Single,87.19,1
198,TLS Single,87.41,1
199,TLS Single,90.14,1
200,TLS Single,87.66,1
201,TLS Single,87.43,1
202,TLS Single,87.5,1
203,TLS Single,92.21,1
204,TLS Single,86.9,1
205,TLS Single,88.23,1
206,TLS Single,89.61,1
207,TLS Single,87.81,1
208,TLS Single,87.22,1
209,TLS Single,87.64,1
210,TLS Single,89.59,1
211,TLS Single,90.89,1
212,TLS Single,87.13,1
213,TLS Single,87.31,1
214,TLS Single,86.69,1
215,TLS Single,86.72,1
216,TLS Single,87.21,1
217,TLS Single,89.37,1
218,TLS Single,91.19,1
219,TLS Single,86.6,1
220,TLS Single,86.85,1
221,TLS Single,86.95,1
222,TLS Single,86.41,1
223,TLS Single,87.17,1
224,TLS Single,85.74,1
225,TLS Single,85.09,1
