run_id,handshake_type,duration_ms,success
1,full,294,1
2,full,280,1
3,full,205,1
4,full,209,1
5,full,305,1
6,full,243,1
7,full,252,1
8,full,303,1
9,full,287,1
10,full,217,1
11,full,212,1
12,full,209,1
13,full,311,1
14,full,289,1
15,full,259,1
16,full,276,1
17,full,207,1
18,full,209,1
19,full,289,1
20,full,238,1
21,full,209,1
22,full,284,1
23,full,279,1
24,full,245,1
25,full,242,1
26,full,205,1
27,full,270,1
28,full,299,1
29,full,276,1
30,full,229,1
31,full,284,1
32,full,304,1
33,full,283,1
34,full,282,1
35,full,252,1
36,full,284,1
37,full,273,1
38,full,206,1
39,full,208,1
40,full,284,1
41,full,277,1
42,full,205,1
43,full,209,1
44,full,290,1
45,full,206,1
46,full,209,1
47,full,291,1
48,full,274,1
49,full,247,1
50,full,273,1
51,full,207,1
52,full,240,1
53,full,275,1
54,full,272,1
55,full,277,1
56,full,207,1
57,full,206,1
58,full,209,1
59,full,293,1
60,full,276,1
61,full,273,1
62,full,274,1
63,full,206,1
64,full,210,1
65,full,207,1
66,full,208,1
67,full,310,1
68,full,285,1
69,full,277,1
70,full,275,1
71,full,281,1
72,full,206,1
73,full,209,1
74,full,265,1
75,full,273,1
76,full,227,1
77,full,235,1
78,full,268,1
79,full,239,1
80,full,276,1
81,full,261,1
82,full,279,1
83,full,279,1
84,full,206,1
85,full,209,1
86,full,284,1
87,full,206,1
88,full,209,1
89,full,290,1
90,full,282,1
91,full,293,1
92,full,225,1
93,full,232,1
94,full,206,1
95,full,207,1
96,full,206,1
97,full,209,1
98,full,286,1
99,full,227,1
100,full,297,1
101,full,266,1
102,full,278,1
103,full,261,1
104,full,244,1
105,full,245,1
106,full,206,1
107,full,209,1
108,full,290,1
109,full,207,1
110,full,270,1
111,full,207,1
112,full,273,1
113,full,205,1
114,full,209,1
115,full,282,1
116,full,206,1
117,full,209,1
118,full,292,1
119,full,287,1
120,full,282,1
121,full,206,1
122,full,210,1
123,full,282,1
124,full,206,1
125,full,209,1
126,full,207,1
127,full,210,1
128,full,305,1
129,full,207,1
130,full,209,1
131,full,364,1
132,full,265,1
133,full,303,1
134,full,288,1
135,full,280,1
136,full,273,1
137,full,275,1
138,full,206,1
139,full,209,1
140,full,206,1
141,full,209,1
142,full,267,1
143,full,264,1
144,full,224,1
145,full,281,1
146,full,289,1
147,full,279,1
148,full,205,1
149,full,279,1
150,full,212,1
151,full,237,1
152,full,206,1
153,full,230,1
154,full,256,1
155,full,277,1
156,full,207,1
157,full,235,1
158,full,269,1
159,full,284,1
160,full,206,1
161,full,231,1
162,full,205,1
163,full,209,1
164,full,328,1
165,full,206,1
166,full,206,1
167,full,205,1
168,full,209,1
169,full,308,1
170,full,207,1
171,full,209,1
172,full,217,1
173,full,208,1
174,full,281,1
175,full,252,1
176,full,298,1
177,full,208,1
178,full,209,1
179,full,301,1
180,full,297,1
181,full,290,1
182,full,209,1
183,full,305,1
184,full,257,1
185,full,207,1
186,full,209,1
187,full,305,1
188,full,299,1
189,full,298,1
190,full,260,1
191,full,274,1
192,full,274,1
193,full,277,1
194,full,270,1
195,full,271,1
196,full,206,1
197,full,208,1
198,full,279,1
199,full,206,1
200,full,207,1
201,full,287,1
202,full,212,1
203,full,275,1
204,full,280,1
205,full,277,1
206,full,275,1
207,full,273,1
208,full,275,1
209,full,237,1
210,full,206,1
211,full,209,1
212,full,294,1
213,full,284,1
214,full,275,1
215,full,278,1
216,full,210,1
217,full,223,1
218,full,206,1
219,full,205,1
220,full,205,1
221,full,209,1
222,full,281,1
223,full,205,1
224,full,207,1
225,full,284,1
226,full,223,1
227,full,245,1
228,full,217,1
229,full,229,1
230,full,306,1
231,full,208,1
232,full,209,1
233,full,298,1
234,full,208,1
235,full,298,1
236,full,290,1
237,full,292,1
238,full,206,1
239,full,209,1
240,full,311,1
241,full,205,1
242,full,210,1
243,full,284,1
244,full,254,1
245,full,259,1
246,full,278,1
247,full,286,1
248,full,207,1
249,full,263,1
250,full,271,1
251,full,241,1
252,full,210,1
253,full,278,1
254,full,277,1
255,full,207,1
256,full,205,1
257,full,208,1
258,full,299,1
259,full,310,1
260,full,265,1
261,full,271,1
262,full,286,1
263,full,206,1
264,full,209,1
265,full,300,1
266,full,207,1
267,full,209,1
268,full,283,1
269,full,206,1
270,full,209,1
271,full,214,1
272,full,209,1
273,full,305,1
274,full,288,1
275,full,300,1
276,full,271,1
277,full,213,1
278,full,239,1
279,full,295,1
280,full,230,1
281,full,277,1
282,full,282,1
283,full,217,1
284,full,205,1
285,full,209,1
286,full,282,1
287,full,227,1
288,full,286,1
289,full,206,1
290,full,209,1
291,full,317,1
292,full,301,1
293,full,264,1
294,full,206,1
295,full,241,1
296,full,275,1
297,full,225,1
298,full,297,1
299,full,205,1
300,full,210,1
301,full,283,1
302,full,308,1
303,full,271,1
304,full,260,1
305,full,275,1
306,full,208,1
307,full,275,1
308,full,276,1
309,full,279,1
310,full,206,1
311,full,209,1
312,full,284,1
313,full,278,1
314,full,206,1
315,full,209,1
316,full,287,1
317,full,277,1
318,full,208,1
319,full,205,1
320,full,209,1
321,full,295,1
322,full,287,1
323,full,206,1
324,full,208,1
325,full,275,1
326,full,286,1
327,full,207,1
328,full,207,1
329,full,210,1
330,full,209,1
331,full,306,1
332,full,304,1
333,full,304,1
334,full,287,1
335,full,206,1
336,full,209,1
337,full,284,1
338,full,280,1
339,full,243,1
340,full,267,1
341,full,277,1
342,full,275,1
343,full,209,1
344,full,269,1
345,full,275,1
346,full,261,1
347,full,205,1
348,full,208,1
349,full,206,1
350,full,209,1
351,full,281,1
352,full,284,1
353,full,279,1
354,full,209,1
355,full,206,1
356,full,236,1
357,full,280,1
358,full,283,1
359,full,274,1
360,full,206,1
361,full,209,1
362,full,281,1
363,full,249,1
364,full,285,1
365,full,216,1
366,full,206,1
367,full,273,1
368,full,276,1
369,full,209,1
370,full,272,1
371,full,273,1
372,full,282,1
373,full,273,1
374,full,275,1
375,full,274,1
376,full,279,1
377,full,273,1
378,full,257,1
379,full,205,1
380,full,207,1
381,full,268,1
