execution,mode,handshake_duration_ms,success
1,TLS Single,398.19,1
2,TLS Single,267.61,1
3,TLS Single,266.59,1
4,TLS Single,266.77,1
5,TLS Single,266.19,1
6,TLS Single,265.93,1
7,TLS Single,266.57,1
8,TLS Single,266.39,1
9,TLS Single,266.5,1
10,TLS Single,266.62,1
11,TLS Single,266.22,1
12,TLS Single,266.5,1
13,TLS Single,266.61,1
14,TLS Single,265.96,1
15,TLS Single,266.45,1
16,TLS Single,266.67,1
17,TLS Single,266.91,1
18,TLS Single,264.0,1
19,TLS Single,263.1,1
20,TLS Single,265.91,1
21,TLS Single,266.19,1
22,TLS Single,266.17,1
23,TLS Single,265.93,1
24,TLS Single,265.84,1
25,TLS Single,266.16,1
26,TLS Single,266.26,1
27,TLS Single,266.74,1
28,TLS Single,266.84,1
29,TLS Single,266.5,1
30,TLS Single,266.49,1
31,TLS Single,266.03,1
32,TLS Single,266.6,1
33,TLS Single,266.14,1
34,TLS Single,266.62,1
35,TLS Single,266.38,1
36,TLS Single,267.08,1
37,TLS Single,266.28,1
38,TLS Single,266.38,1
39,TLS Single,266.79,1
40,TLS Single,266.8,1
41,TLS Single,266.66,1
42,TLS Single,266.7,1
43,TLS Single,266.72,1
44,TLS Single,266.15,1
45,TLS Single,267.26,1
46,TLS Single,266.88,1
47,TLS Single,266.59,1
48,TLS Single,266.53,1
49,TLS Single,266.87,1
50,TLS Single,266.87,1
51,TLS Single,266.62,1
52,TLS Single,266.81,1
53,TLS Single,266.92,1
54,TLS Single,266.31,1
55,TLS Single,266.95,1
56,TLS Single,266.6,1
57,TLS Single,266.88,1
58,TLS Single,265.91,1
59,TLS Single,266.47,1
60,TLS Single,266.58,1
61,TLS Single,266.56,1
62,TLS Single,797.8,1
63,TLS Single,266.28,1
64,TLS Single,266.49,1
65,TLS Single,266.6,1
66,TLS Single,266.49,1
67,TLS Single,266.8,1
68,TLS Single,266.47,1
69,TLS Single,266.69,1
70,TLS Single,266.72,1
71,TLS Single,266.73,1
72,TLS Single,266.44,1
73,TLS Single,266.87,1
74,TLS Single,266.44,1
75,TLS Single,266.83,1
76,TLS Single,266.35,1
77,TLS Single,266.52,1
78,TLS Single,266.6,1
79,TLS Single,266.88,1
80,TLS Single,266.74,1
81,TLS Single,266.45,1
82,TLS Single,266.61,1
83,TLS Single,266.9,1
84,TLS Single,266.29,1
85,TLS Single,266.91,1
86,TLS Single,266.61,1
87,TLS Single,266.74,1
88,TLS Single,266.73,1
89,TLS Single,266.89,1
90,TLS Single,266.72,1
91,TLS Single,266.91,1
92,TLS Single,266.69,1
93,TLS Single,266.77,1
94,TLS Single,266.54,1
95,TLS Single,266.61,1
96,TLS Single,266.54,1
97,TLS Single,266.58,1
98,TLS Single,266.5,1
99,TLS Single,266.62,1
100,TLS Single,266.43,1
101,TLS Single,266.32,1
102,TLS Single,266.42,1
103,TLS Single,266.76,1
104,TLS Single,266.51,1
105,TLS Single,266.79,1
106,TLS Single,267.18,1
107,TLS Single,266.72,1
108,TLS Single,266.74,1
109,TLS Single,266.31,1
110,TLS Single,266.56,1
111,TLS Single,266.22,1
112,TLS Single,266.35,1
113,TLS Single,266.77,1
114,TLS Single,1533.8,1
115,TLS Single,266.57,1
116,TLS Single,266.44,1
117,TLS Single,266.7,1
118,TLS Single,267.44,1
119,TLS Single,266.69,1
120,TLS Single,266.83,1
121,TLS Single,266.68,1
122,TLS Single,266.58,1
