execution,mode,handshake_duration_ms,success
1,TLS Single,617.93,1
2,TLS Single,484.12,1
3,TLS Single,486.44,1
4,TLS Single,485.68,1
5,TLS Single,485.55,1
6,TLS Single,485.27,1
7,TLS Single,486.62,1
8,TLS Single,486.91,1
9,TLS Single,486.79,1
10,TLS Single,485.77,1
11,TLS Single,487.94,1
12,TLS Single,486.61,1
13,TLS Single,486.32,1
14,TLS Single,486.02,1
15,TLS Single,486.53,1
16,TLS Single,486.03,1
17,TLS Single,485.75,1
18,TLS Single,486.44,1
19,TLS Single,485.92,1
20,TLS Single,485.87,1
21,TLS Single,487.52,1
22,TLS Single,486.18,1
23,TLS Single,485.62,1
24,TLS Single,485.38,1
25,TLS Single,485.51,1
26,TLS Single,485.53,1
27,TLS Single,486.01,1
28,TLS Single,486.5,1
29,TLS Single,485.71,1
30,TLS Single,485.67,1
31,TLS Single,490.9,1
32,TLS Single,487.21,1
33,TLS Single,486.8,1
34,TLS Single,485.3,1
35,TLS Single,485.91,1
36,TLS Single,486.89,1
37,TLS Single,485.48,1
38,TLS Single,488.23,1
39,TLS Single,485.6,1
40,TLS Single,485.91,1
41,TLS Single,486.36,1
42,TLS Single,485.84,1
43,TLS Single,485.79,1
44,TLS Single,486.26,1
45,TLS Single,485.92,1
46,TLS Single,485.91,1
47,TLS Single,486.7,1
48,TLS Single,486.25,1
49,TLS Single,485.6,1
50,TLS Single,486.81,1
51,TLS Single,485.27,1
52,TLS Single,486.22,1
53,TLS Single,485.36,1
54,TLS Single,485.29,1
55,TLS Single,485.56,1
56,TLS Single,487.43,1
57,TLS Single,487.08,1
58,TLS Single,485.69,1
59,TLS Single,485.69,1
60,TLS Single,486.29,1
61,TLS Single,487.06,1
62,TLS Single,484.84,1
63,TLS Single,486.97,1
64,TLS Single,486.03,1
65,TLS Single,486.57,1
66,TLS Single,459.69,1
67,TLS Single,430.74,1
68,TLS Single,485.63,1
69,TLS Single,486.34,1
70,TLS Single,486.74,1
71,TLS Single,485.4,1
72,TLS Single,485.68,1
73,TLS Single,494.98,1
74,TLS Single,487.56,1
75,TLS Single,487.08,1
76,TLS Single,487.37,1
77,TLS Single,487.41,1
78,TLS Single,485.97,1
79,TLS Single,486.6,1
80,TLS Single,486.21,1
81,TLS Single,485.74,1
82,TLS Single,485.9,1
83,TLS Single,485.45,1
84,TLS Single,486.94,1
85,TLS Single,485.83,1
86,TLS Single,485.78,1
87,TLS Single,487.28,1
88,TLS Single,485.6,1
89,TLS Single,486.06,1
90,TLS Single,487.01,1
91,TLS Single,485.69,1
92,TLS Single,485.55,1
93,TLS Single,487.18,1
94,TLS Single,487.04,1
95,TLS Single,487.11,1
96,TLS Single,486.26,1
97,TLS Single,485.18,1
98,TLS Single,485.73,1
99,TLS Single,486.66,1
100,TLS Single,486.96,1
101,TLS Single,486.6,1
102,TLS Single,485.97,1
103,TLS Single,487.42,1
104,TLS Single,488.35,1
105,TLS Single,485.65,1
106,TLS Single,486.16,1
107,TLS Single,485.93,1
108,TLS Single,486.59,1
109,TLS Single,485.09,1
110,TLS Single,485.72,1
111,TLS Single,486.29,1
112,TLS Single,485.99,1
113,TLS Single,486.7,1
114,TLS Single,485.86,1
115,TLS Single,486.29,1
116,TLS Single,485.89,1
117,TLS Single,485.5,1
118,TLS Single,485.56,1
119,TLS Single,486.07,1
120,TLS Single,486.18,1
121,TLS Single,487.54,1
122,TLS Single,486.4,1
123,TLS Single,486.11,1
124,TLS Single,486.69,1
125,TLS Single,487.69,1
126,TLS Single,486.43,1
127,TLS Single,485.82,1
128,TLS Single,486.0,1
129,TLS Single,487.28,1
130,TLS Single,485.54,1
131,TLS Single,486.1,1
132,TLS Single,485.72,1
133,TLS Single,486.28,1
134,TLS Single,486.5,1
135,TLS Single,486.33,1
136,TLS Single,487.74,1
137,TLS Single,486.3,1
138,TLS Single,487.79,1
139,TLS Single,485.73,1
140,TLS Single,489.98,1
141,TLS Single,485.58,1
142,TLS Single,486.92,1
143,TLS Single,485.18,1
144,TLS Single,485.45,1
145,TLS Single,486.18,1
146,TLS Single,486.42,1
147,TLS Single,486.82,1
148,TLS Single,487.2,1
149,TLS Single,485.69,1
150,TLS Single,487.47,1
151,TLS Single,485.73,1
152,TLS Single,487.45,1
153,TLS Single,487.0,1
154,TLS Single,486.71,1
155,TLS Single,486.69,1
156,TLS Single,486.37,1
157,TLS Single,486.9,1
158,TLS Single,486.38,1
159,TLS Single,485.85,1
160,TLS Single,486.28,1
161,TLS Single,487.25,1
162,TLS Single,485.74,1
163,TLS Single,487.05,1
164,TLS Single,487.15,1
165,TLS Single,485.36,1
166,TLS Single,485.43,1
167,TLS Single,485.28,1
168,TLS Single,485.33,1
169,TLS Single,487.03,1
170,TLS Single,485.79,1
171,TLS Single,486.92,1
172,TLS Single,485.74,1
173,TLS Single,487.01,1
174,TLS Single,486.02,1
175,TLS Single,485.77,1
176,TLS Single,479.6,1
177,TLS Single,486.36,1
178,TLS Single,485.58,1
179,TLS Single,486.96,1
180,TLS Single,486.02,1
181,TLS Single,486.39,1
182,TLS Single,484.47,1
183,TLS Single,433.08,1
184,TLS Single,473.12,1
185,TLS Single,487.39,1
186,TLS Single,486.26,1
187,TLS Single,486.1,1
188,TLS Single,486.33,1
189,TLS Single,485.69,1
190,TLS Single,485.95,1
191,TLS Single,485.98,1
192,TLS Single,486.19,1
193,TLS Single,487.45,1
194,TLS Single,485.92,1
195,TLS Single,488.12,1
196,TLS Single,485.85,1
197,TLS Single,486.77,1
198,TLS Single,486.4,1
199,TLS Single,450.15,1
200,TLS Single,486.8,1
201,TLS Single,486.41,1
202,TLS Single,486.47,1
203,TLS Single,493.59,1
204,TLS Single,486.62,1
205,TLS Single,617.25,1
206,TLS Single,488.84,1
207,TLS Single,486.04,1
208,TLS Single,487.03,1
209,TLS Single,485.63,1
210,TLS Single,485.67,1
211,TLS Single,485.25,1
212,TLS Single,486.14,1
