execution,mode,handshake_duration_ms,success
1,TLS Single,548.01,1
2,TLS Single,411.6,1
3,TLS Single,411.71,1
4,TLS Single,412.76,1
5,TLS Single,412.04,1
6,TLS Single,411.69,1
7,TLS Single,411.83,1
8,TLS Single,411.76,1
9,TLS Single,411.97,1
10,TLS Single,411.62,1
11,TLS Single,411.68,1
12,TLS Single,411.69,1
13,TLS Single,412.0,1
14,TLS Single,411.95,1
15,TLS Single,411.7,1
16,TLS Single,413.07,1
17,TLS Single,411.62,1
18,TLS Single,411.61,1
19,TLS Single,411.98,1
20,TLS Single,411.79,1
21,TLS Single,411.86,1
22,TLS Single,411.95,1
23,TLS Single,412.46,1
24,TLS Single,412.44,1
25,TLS Single,411.95,1
26,TLS Single,412.6,1
27,TLS Single,411.85,1
28,TLS Single,412.59,1
29,TLS Single,411.79,1
30,TLS Single,412.53,1
31,TLS Single,412.54,1
32,TLS Single,412.26,1
33,TLS Single,412.31,1
34,TLS Single,407.59,1
35,TLS Single,411.52,1
36,TLS Single,409.3,1
37,TLS Single,412.01,1
38,TLS Single,412.47,1
39,TLS Single,413.29,1
40,TLS Single,411.84,1
41,TLS Single,406.23,1
42,TLS Single,414.59,1
43,TLS Single,413.26,1
44,TLS Single,412.35,1
45,TLS Single,413.74,1
46,TLS Single,413.43,1
47,TLS Single,411.85,1
48,TLS Single,412.82,1
49,TLS Single,406.14,1
50,TLS Single,400.28,1
51,TLS Single,407.07,1
52,TLS Single,400.1,1
53,TLS Single,401.28,1
54,TLS Single,403.46,1
55,TLS Single,404.94,1
56,TLS Single,408.56,1
57,TLS Single,410.58,1
58,TLS Single,410.09,1
59,TLS Single,413.37,1
60,TLS Single,408.51,1
61,TLS Single,410.01,1
62,TLS Single,413.48,1
63,TLS Single,408.63,1
64,TLS Single,415.64,1
65,TLS Single,408.1,1
66,TLS Single,413.33,1
67,TLS Single,406.1,1
68,TLS Single,413.4,1
69,TLS Single,413.98,1
70,TLS Single,411.43,1
71,TLS Single,412.94,1
72,TLS Single,414.04,1
73,TLS Single,418.94,1
74,TLS Single,414.71,1
75,TLS Single,415.2,1
76,TLS Single,414.5,1
77,TLS Single,413.76,1
78,TLS Single,413.92,1
79,TLS Single,422.16,1
80,TLS Single,414.61,1
81,TLS Single,414.25,1
82,TLS Single,411.95,1
83,TLS Single,415.53,1
84,TLS Single,415.22,1
85,TLS Single,418.2,1
86,TLS Single,414.15,1
87,TLS Single,415.42,1
88,TLS Single,416.34,1
89,TLS Single,416.46,1
90,TLS Single,426.08,1
91,TLS Single,414.43,1
92,TLS Single,417.2,1
93,TLS Single,415.55,1
94,TLS Single,415.48,1
95,TLS Single,415.63,1
96,TLS Single,415.26,1
97,TLS Single,416.58,1
98,TLS Single,414.77,1
99,TLS Single,414.9,1
100,TLS Single,414.58,1
101,TLS Single,412.78,1
102,TLS Single,414.12,1
103,TLS Single,413.79,1
104,TLS Single,413.67,1
105,TLS Single,414.56,1
106,TLS Single,414.41,1
107,TLS Single,415.3,1
108,TLS Single,414.23,1
109,TLS Single,415.23,1
110,TLS Single,413.64,1
111,TLS Single,414.61,1
112,TLS Single,413.39,1
113,TLS Single,412.98,1
114,TLS Single,412.53,1
115,TLS Single,413.15,1
116,TLS Single,414.28,1
117,TLS Single,414.92,1
118,TLS Single,413.57,1
119,TLS Single,412.61,1
120,TLS Single,413.35,1
121,TLS Single,413.63,1
122,TLS Single,413.57,1
123,TLS Single,412.36,1
124,TLS Single,413.82,1
125,TLS Single,414.6,1
126,TLS Single,413.16,1
127,TLS Single,414.3,1
128,TLS Single,415.18,1
129,TLS Single,413.81,1
130,TLS Single,412.66,1
131,TLS Single,413.99,1
132,TLS Single,414.97,1
133,TLS Single,413.5,1
134,TLS Single,412.04,1
135,TLS Single,412.35,1
136,TLS Single,413.99,1
137,TLS Single,415.02,1
138,TLS Single,413.26,1
139,TLS Single,413.38,1
140,TLS Single,413.82,1
141,TLS Single,414.42,1
142,TLS Single,413.04,1
143,TLS Single,412.92,1
144,TLS Single,413.17,1
145,TLS Single,413.19,1
146,TLS Single,413.63,1
147,TLS Single,412.67,1
148,TLS Single,413.67,1
149,TLS Single,412.94,1
150,TLS Single,414.36,1
151,TLS Single,413.13,1
152,TLS Single,412.87,1
153,TLS Single,414.03,1
154,TLS Single,413.27,1
155,TLS Single,414.45,1
156,TLS Single,415.57,1
157,TLS Single,414.41,1
158,TLS Single,415.24,1
159,TLS Single,414.96,1
160,TLS Single,416.46,1
161,TLS Single,414.06,1
162,TLS Single,413.98,1
163,TLS Single,413.44,1
164,TLS Single,413.42,1
165,TLS Single,413.31,1
166,TLS Single,413.97,1
167,TLS Single,414.63,1
168,TLS Single,414.19,1
169,TLS Single,414.85,1
170,TLS Single,414.09,1
171,TLS Single,414.98,1
172,TLS Single,413.32,1
173,TLS Single,417.7,1
174,TLS Single,412.21,1
175,TLS Single,412.54,1
176,TLS Single,413.57,1
177,TLS Single,415.93,1
178,TLS Single,414.17,1
179,TLS Single,413.78,1
180,TLS Single,414.26,1
181,TLS Single,809.04,1
182,TLS Single,408.1,1
183,TLS Single,401.0,1
184,TLS Single,414.14,1
185,TLS Single,414.93,1
186,TLS Single,414.54,1
187,TLS Single,414.07,1
188,TLS Single,412.97,1
189,TLS Single,415.05,1
190,TLS Single,413.98,1
191,TLS Single,412.56,1
192,TLS Single,412.6,1
193,TLS Single,413.79,1
194,TLS Single,418.11,1
195,TLS Single,412.88,1
196,TLS Single,412.78,1
197,TLS Single,412.75,1
198,TLS Single,412.99,1
199,TLS Single,413.24,1
200,TLS Single,412.1,1
201,TLS Single,413.02,1
202,TLS Single,412.49,1
203,TLS Single,415.29,1
204,TLS Single,414.99,1
205,TLS Single,413.4,1
206,TLS Single,413.14,1
207,TLS Single,414.0,1
208,TLS Single,413.61,1
209,TLS Single,413.91,1
210,TLS Single,412.51,1
211,TLS Single,413.71,1
212,TLS Single,412.39,1
213,TLS Single,415.54,1
214,TLS Single,415.78,1
215,TLS Single,414.67,1
216,TLS Single,414.43,1
217,TLS Single,416.06,1
218,TLS Single,415.04,1
219,TLS Single,415.44,1
220,TLS Single,414.23,1
221,TLS Single,413.3,1
222,TLS Single,413.18,1
223,TLS Single,413.25,1
224,TLS Single,413.28,1
225,TLS Single,415.41,1
226,TLS Single,414.64,1
227,TLS Single,413.94,1
228,TLS Single,414.33,1
229,TLS Single,413.1,1
230,TLS Single,413.48,1
231,TLS Single,412.71,1
232,TLS Single,414.82,1
233,TLS Single,413.04,1
234,TLS Single,412.5,1
235,TLS Single,414.64,1
236,TLS Single,414.54,1
237,TLS Single,414.73,1
238,TLS Single,413.64,1
239,TLS Single,414.93,1
240,TLS Single,414.44,1
241,TLS Single,413.79,1
242,TLS Single,413.7,1
243,TLS Single,415.23,1
244,TLS Single,414.2,1
