execution,mode,handshake_duration_ms,success
1,TLS Single,611.87,1
2,TLS Single,450.4,1
3,TLS Single,475.71,1
4,TLS Single,488.73,1
5,TLS Single,469.19,1
6,TLS Single,461.14,1
7,TLS Single,486.96,1
8,TLS Single,456.01,1
9,TLS Single,488.37,1
10,TLS Single,484.16,1
11,TLS Single,496.59,1
12,TLS Single,460.39,1
13,TLS Single,463.36,1
14,TLS Single,480.53,1
15,TLS Single,466.69,1
16,TLS Single,484.79,1
17,TLS Single,484.58,1
18,TLS Single,478.57,1
19,TLS Single,485.31,1
20,TLS Single,486.84,1
21,TLS Single,457.61,1
22,TLS Single,459.83,1
23,TLS Single,487.56,1
24,TLS Single,462.43,1
25,TLS Single,464.19,1
26,TLS Single,468.75,1
27,TLS Single,471.58,1
28,TLS Single,483.11,1
29,TLS Single,463.9,1
30,TLS Single,621.07,1
31,TLS Single,480.35,1
32,TLS Single,490.29,1
33,TLS Single,458.86,1
34,TLS Single,484.63,1
35,TLS Single,472.18,1
36,TLS Single,488.1,1
37,TLS Single,481.59,1
38,TLS Single,490.04,1
39,TLS Single,476.91,1
40,TLS Single,479.43,1
41,TLS Single,480.76,1
42,TLS Single,493.44,1
43,TLS Single,451.76,1
44,TLS Single,464.96,1
45,TLS Single,455.99,1
46,TLS Single,485.48,1
47,TLS Single,478.69,1
48,TLS Single,480.18,1
49,TLS Single,491.13,1
50,TLS Single,457.15,1
51,TLS Single,464.43,1
52,TLS Single,484.05,1
53,TLS Single,457.52,1
54,TLS Single,486.21,1
55,TLS Single,490.96,1
56,TLS Single,484.57,1
57,TLS Single,483.73,1
58,TLS Single,458.19,1
59,TLS Single,780.83,1
60,TLS Single,481.38,1
61,TLS Single,465.61,1
62,TLS Single,480.2,1
63,TLS Single,493.76,1
64,TLS Single,492.1,1
65,TLS Single,469.1,1
66,TLS Single,459.86,1
67,TLS Single,485.84,1
68,TLS Single,480.05,1
69,TLS Single,489.13,1
70,TLS Single,466.66,1
71,TLS Single,485.29,1
72,TLS Single,376.87,1
73,TLS Single,402.7,1
74,TLS Single,481.93,1
75,TLS Single,460.82,1
76,TLS Single,462.3,1
77,TLS Single,484.54,1
78,TLS Single,457.41,1
79,TLS Single,480.3,1
80,TLS Single,465.41,1
81,TLS Single,465.15,1
82,TLS Single,478.29,1
83,TLS Single,486.55,1
84,TLS Single,487.88,1
85,TLS Single,457.95,1
86,TLS Single,463.47,1
87,TLS Single,461.19,1
88,TLS Single,493.42,1
89,TLS Single,482.5,1
90,TLS Single,487.38,1
91,TLS Single,474.57,1
92,TLS Single,782.01,1
93,TLS Single,484.48,1
94,TLS Single,367.94,1
95,TLS Single,469.17,1
96,TLS Single,464.74,1
97,TLS Single,481.97,1
98,TLS Single,482.74,1
99,TLS Single,480.89,1
100,TLS Single,484.32,1
101,TLS Single,487.28,1
102,TLS Single,449.33,1
103,TLS Single,461.4,1
104,TLS Single,482.9,1
105,TLS Single,479.9,1
106,TLS Single,489.05,1
107,TLS Single,492.47,1
108,TLS Single,463.2,1
109,TLS Single,475.97,1
110,TLS Single,485.09,1
111,TLS Single,484.75,1
112,TLS Single,463.16,1
113,TLS Single,480.21,1
114,TLS Single,461.55,1
115,TLS Single,484.34,1
116,TLS Single,491.84,1
117,TLS Single,465.92,1
118,TLS Single,481.81,1
119,TLS Single,478.45,1
120,TLS Single,478.87,1
121,TLS Single,613.59,1
122,TLS Single,467.96,1
123,TLS Single,485.99,1
124,TLS Single,466.93,1
125,TLS Single,462.46,1
126,TLS Single,447.63,1
127,TLS Single,455.86,1
128,TLS Single,462.08,1
129,TLS Single,482.67,1
130,TLS Single,452.54,1
131,TLS Single,456.45,1
132,TLS Single,463.8,1
133,TLS Single,478.85,1
134,TLS Single,448.13,1
135,TLS Single,475.43,1
136,TLS Single,446.71,1
137,TLS Single,477.61,1
138,TLS Single,463.64,1
139,TLS Single,467.34,1
140,TLS Single,470.47,1
141,TLS Single,459.37,1
142,TLS Single,473.72,1
143,TLS Single,483.46,1
144,TLS Single,481.03,1
145,TLS Single,471.46,1
146,TLS Single,473.92,1
147,TLS Single,471.07,1
148,TLS Single,457.72,1
149,TLS Single,476.41,1
150,TLS Single,443.99,1
151,TLS Single,466.12,1
152,TLS Single,457.01,1
153,TLS Single,479.21,1
154,TLS Single,463.24,1
155,TLS Single,479.82,1
156,TLS Single,479.09,1
157,TLS Single,483.48,1
158,TLS Single,458.39,1
159,TLS Single,486.71,1
160,TLS Single,487.29,1
161,TLS Single,484.42,1
162,TLS Single,480.58,1
163,TLS Single,483.72,1
164,TLS Single,462.16,1
165,TLS Single,459.14,1
166,TLS Single,488.37,1
167,TLS Single,481.61,1
168,TLS Single,458.38,1
169,TLS Single,491.61,1
170,TLS Single,483.51,1
171,TLS Single,488.11,1
172,TLS Single,461.06,1
173,TLS Single,482.64,1
174,TLS Single,482.26,1
175,TLS Single,482.64,1
176,TLS Single,479.03,1
177,TLS Single,477.26,1
178,TLS Single,461.15,1
179,TLS Single,456.82,1
180,TLS Single,459.24,1
181,TLS Single,459.7,1
182,TLS Single,460.16,1
183,TLS Single,459.2,1
184,TLS Single,411.03,1
185,TLS Single,461.84,1
186,TLS Single,466.32,1
187,TLS Single,479.19,1
188,TLS Single,490.4,1
189,TLS Single,483.93,1
190,TLS Single,352.85,1
191,TLS Single,341.67,1
192,TLS Single,454.04,1
193,TLS Single,482.31,1
194,TLS Single,472.62,1
195,TLS Single,483.32,1
196,TLS Single,443.38,1
197,TLS Single,466.79,1
