execution,mode,handshake_duration_ms,success
1,TLS Single,439.55,1
2,TLS Single,298.74,1
3,TLS Single,299.46,1
4,TLS Single,299.93,1
5,TLS Single,298.64,1
6,TLS Single,300.09,1
7,TLS Single,300.67,1
8,TLS Single,298.37,1
9,TLS Single,299.1,1
10,TLS Single,299.17,1
11,TLS Single,299.31,1
12,TLS Single,299.99,1
13,TLS Single,299.36,1
14,TLS Single,298.72,1
15,TLS Single,302.46,1
16,TLS Single,299.35,1
17,TLS Single,294.77,1
18,TLS Single,299.5,1
19,TLS Single,300.5,1
20,TLS Single,299.05,1
21,TLS Single,299.23,1
22,TLS Single,297.39,1
23,TLS Single,289.78,1
24,TLS Single,299.52,1
25,TLS Single,301.57,1
26,TLS Single,298.3,1
27,TLS Single,299.09,1
28,TLS Single,299.39,1
29,TLS Single,297.91,1
30,TLS Single,299.36,1
31,TLS Single,300.84,1
32,TLS Single,302.31,1
33,TLS Single,302.07,1
34,TLS Single,284.13,1
35,TLS Single,274.64,1
36,TLS Single,291.29,1
37,TLS Single,299.16,1
38,TLS Single,297.79,1
39,TLS Single,299.57,1
40,TLS Single,299.33,1
41,TLS Single,299.08,1
42,TLS Single,302.69,1
43,TLS Single,299.29,1
44,TLS Single,298.85,1
45,TLS Single,301.26,1
46,TLS Single,298.79,1
47,TLS Single,298.4,1
48,TLS Single,300.57,1
49,TLS Single,296.15,1
50,TLS Single,298.96,1
51,TLS Single,299.51,1
52,TLS Single,298.14,1
53,TLS Single,298.08,1
54,TLS Single,298.31,1
55,TLS Single,297.91,1
56,TLS Single,299.48,1
57,TLS Single,300.47,1
58,TLS Single,300.84,1
59,TLS Single,299.72,1
60,TLS Single,299.92,1
61,TLS Single,299.33,1
62,TLS Single,298.58,1
63,TLS Single,300.15,1
64,TLS Single,300.74,1
65,TLS Single,299.81,1
66,TLS Single,299.73,1
67,TLS Single,299.84,1
68,TLS Single,300.08,1
69,TLS Single,299.29,1
70,TLS Single,299.14,1
71,TLS Single,304.96,1
72,TLS Single,299.17,1
73,TLS Single,299.52,1
74,TLS Single,298.98,1
75,TLS Single,299.42,1
76,TLS Single,300.32,1
77,TLS Single,299.45,1
78,TLS Single,299.65,1
79,TLS Single,300.6,1
80,TLS Single,300.45,1
81,TLS Single,311.13,1
82,TLS Single,299.31,1
83,TLS Single,299.19,1
84,TLS Single,295.73,1
85,TLS Single,299.21,1
86,TLS Single,299.56,1
87,TLS Single,299.58,1
88,TLS Single,298.58,1
89,TLS Single,300.13,1
90,TLS Single,299.36,1
91,TLS Single,299.4,1
92,TLS Single,299.05,1
93,TLS Single,300.95,1
94,TLS Single,299.46,1
95,TLS Single,298.16,1
96,TLS Single,299.9,1
97,TLS Single,299.66,1
98,TLS Single,299.35,1
99,TLS Single,298.72,1
100,TLS Single,299.69,1
101,TLS Single,299.14,1
102,TLS Single,300.82,1
103,TLS Single,299.92,1
104,TLS Single,299.6,1
105,TLS Single,301.57,1
106,TLS Single,299.04,1
107,TLS Single,298.93,1
108,TLS Single,299.96,1
109,TLS Single,298.46,1
110,TLS Single,298.69,1
111,TLS Single,302.19,1
112,TLS Single,969.58,1
113,TLS Single,298.08,1
114,TLS Single,299.21,1
115,TLS Single,299.95,1
116,TLS Single,292.67,1
117,TLS Single,300.58,1
118,TLS Single,299.76,1
119,TLS Single,299.6,1
120,TLS Single,299.75,1
121,TLS Single,299.75,1
122,TLS Single,299.83,1
123,TLS Single,299.03,1
124,TLS Single,301.94,1
125,TLS Single,300.37,1
126,TLS Single,300.8,1
127,TLS Single,299.26,1
128,TLS Single,300.35,1
129,TLS Single,305.07,1
130,TLS Single,305.45,1
131,TLS Single,300.89,1
132,TLS Single,299.8,1
133,TLS Single,301.57,1
134,TLS Single,300.71,1
135,TLS Single,300.99,1
136,TLS Single,299.26,1
137,TLS Single,303.79,1
138,TLS Single,299.4,1
139,TLS Single,300.62,1
140,TLS Single,299.33,1
141,TLS Single,302.27,1
142,TLS Single,298.8,1
143,TLS Single,301.05,1
144,TLS Single,299.23,1
145,TLS Single,299.59,1
146,TLS Single,298.62,1
147,TLS Single,300.24,1
148,TLS Single,298.48,1
149,TLS Single,297.84,1
150,TLS Single,300.51,1
151,TLS Single,300.15,1
152,TLS Single,299.21,1
153,TLS Single,299.58,1
154,TLS Single,298.47,1
155,TLS Single,299.73,1
156,TLS Single,298.92,1
157,TLS Single,300.23,1
158,TLS Single,300.51,1
159,TLS Single,300.66,1
160,TLS Single,699.39,1
161,TLS Single,300.29,1
162,TLS Single,306.38,1
163,TLS Single,300.53,1
164,TLS Single,299.88,1
165,TLS Single,299.8,1
166,TLS Single,304.43,1
167,TLS Single,295.97,1
168,TLS Single,302.21,1
169,TLS Single,298.8,1
170,TLS Single,298.84,1
171,TLS Single,299.2,1
172,TLS Single,299.63,1
173,TLS Single,299.73,1
174,TLS Single,300.45,1
175,TLS Single,300.01,1
176,TLS Single,301.13,1
177,TLS Single,304.72,1
178,TLS Single,298.99,1
179,TLS Single,301.19,1
180,TLS Single,300.36,1
181,TLS Single,300.01,1
182,TLS Single,300.08,1
183,TLS Single,301.28,1
184,TLS Single,301.36,1
185,TLS Single,300.38,1
186,TLS Single,303.0,1
187,TLS Single,299.39,1
188,TLS Single,300.42,1
189,TLS Single,303.14,1
190,TLS Single,299.59,1
191,TLS Single,301.04,1
192,TLS Single,301.7,1
193,TLS Single,300.8,1
194,TLS Single,299.4,1
195,TLS Single,300.52,1
196,TLS Single,299.67,1
197,TLS Single,291.14,1
198,TLS Single,300.73,1
199,TLS Single,299.99,1
200,TLS Single,299.02,1
201,TLS Single,302.33,1
202,TLS Single,299.65,1
203,TLS Single,299.15,1
204,TLS Single,300.67,1
205,TLS Single,300.48,1
206,TLS Single,300.18,1
207,TLS Single,300.59,1
208,TLS Single,302.06,1
209,TLS Single,283.89,1
210,TLS Single,278.69,1
211,TLS Single,294.26,1
212,TLS Single,300.26,1
213,TLS Single,298.23,1
214,TLS Single,300.12,1
215,TLS Single,299.16,1
216,TLS Single,298.99,1
217,TLS Single,298.91,1
218,TLS Single,301.34,1
219,TLS Single,299.47,1
220,TLS Single,300.63,1
221,TLS Single,298.33,1
222,TLS Single,299.65,1
223,TLS Single,306.23,1
224,TLS Single,290.95,1
225,TLS Single,300.19,1
226,TLS Single,300.63,1
227,TLS Single,299.55,1
228,TLS Single,302.22,1
229,TLS Single,299.74,1
230,TLS Single,300.5,1
231,TLS Single,299.74,1
232,TLS Single,300.31,1
233,TLS Single,299.54,1
234,TLS Single,302.86,1
235,TLS Single,299.46,1
236,TLS Single,299.62,1
237,TLS Single,300.13,1
238,TLS Single,301.11,1
239,TLS Single,299.73,1
240,TLS Single,299.22,1
241,TLS Single,302.22,1
242,TLS Single,298.19,1
243,TLS Single,299.03,1
244,TLS Single,302.56,1
245,TLS Single,298.45,1
246,TLS Single,298.54,1
247,TLS Single,300.23,1
248,TLS Single,304.29,1
249,TLS Single,298.98,1
250,TLS Single,299.83,1
251,TLS Single,299.24,1
252,TLS Single,299.69,1
253,TLS Single,299.81,1
254,TLS Single,299.97,1
255,TLS Single,299.55,1
256,TLS Single,285.11,1
257,TLS Single,291.13,1
258,TLS Single,298.8,1
259,TLS Single,300.52,1
260,TLS Single,301.65,1
261,TLS Single,300.27,1
262,TLS Single,299.03,1
263,TLS Single,299.25,1
264,TLS Single,300.37,1
265,TLS Single,300.96,1
266,TLS Single,298.26,1
267,TLS Single,299.12,1
268,TLS Single,299.61,1
269,TLS Single,298.61,1
270,TLS Single,300.7,1
271,TLS Single,299.89,1
272,TLS Single,298.02,1
273,TLS Single,299.3,1
274,TLS Single,300.35,1
275,TLS Single,299.27,1
276,TLS Single,300.88,1
277,TLS Single,301.03,1
278,TLS Single,301.6,1
279,TLS Single,301.49,1
280,TLS Single,300.22,1
281,TLS Single,299.24,1
282,TLS Single,300.1,1
283,TLS Single,300.55,1
284,TLS Single,303.47,1
285,TLS Single,298.7,1
286,TLS Single,301.52,1
287,TLS Single,301.03,1
288,TLS Single,301.58,1
289,TLS Single,299.36,1
290,TLS Single,299.64,1
291,TLS Single,298.84,1
292,TLS Single,302.35,1
293,TLS Single,303.1,1
