execution,mode,handshake_duration_ms,success
1,TLS Single,192.91,1
2,TLS Single,129.94,1
3,TLS Single,132.52,1
4,TLS Single,131.88,1
5,TLS Single,131.96,1
6,TLS Single,132.04,1
7,TLS Single,131.88,1
8,TLS Single,131.87,1
9,TLS Single,132.05,1
10,TLS Single,131.87,1
11,TLS Single,132.63,1
12,TLS Single,132.8,1
13,TLS Single,131.69,1
14,TLS Single,132.42,1
15,TLS Single,131.45,1
16,TLS Single,133.65,1
17,TLS Single,132.17,1
18,TLS Single,131.58,1
19,TLS Single,132.15,1
20,TLS Single,132.09,1
21,TLS Single,132.36,1
22,TLS Single,132.13,1
23,TLS Single,131.82,1
24,TLS Single,132.06,1
25,TLS Single,131.69,1
26,TLS Single,132.15,1
27,TLS Single,132.58,1
28,TLS Single,132.3,1
29,TLS Single,132.48,1
30,TLS Single,131.97,1
31,TLS Single,131.94,1
32,TLS Single,132.38,1
33,TLS Single,132.17,1
34,TLS Single,131.5,1
35,TLS Single,132.19,1
36,TLS Single,132.24,1
37,TLS Single,132.03,1
38,TLS Single,132.6,1
39,TLS Single,131.83,1
40,TLS Single,131.91,1
41,TLS Single,132.11,1
42,TLS Single,132.03,1
43,TLS Single,131.94,1
44,TLS Single,131.88,1
45,TLS Single,132.08,1
46,TLS Single,132.13,1
47,TLS Single,131.36,1
48,TLS Single,131.74,1
49,TLS Single,132.1,1
50,TLS Single,132.65,1
51,TLS Single,136.7,1
52,TLS Single,131.45,1
53,TLS Single,131.84,1
54,TLS Single,131.85,1
55,TLS Single,132.38,1
56,TLS Single,131.83,1
57,TLS Single,132.16,1
58,TLS Single,132.63,1
59,TLS Single,132.21,1
60,TLS Single,132.09,1
61,TLS Single,128.49,1
62,TLS Single,131.31,1
63,TLS Single,131.57,1
64,TLS Single,131.89,1
65,TLS Single,131.79,1
66,TLS Single,123.74,1
67,TLS Single,123.43,1
68,TLS Single,124.8,1
69,TLS Single,132.3,1
70,TLS Single,132.02,1
71,TLS Single,131.92,1
72,TLS Single,131.88,1
73,TLS Single,131.74,1
74,TLS Single,132.15,1
75,TLS Single,132.32,1
76,TLS Single,131.65,1
77,TLS Single,131.65,1
78,TLS Single,124.33,1
79,TLS Single,131.68,1
80,TLS Single,131.57,1
81,TLS Single,132.07,1
82,TLS Single,131.85,1
83,TLS Single,132.04,1
84,TLS Single,131.7,1
85,TLS Single,131.77,1
86,TLS Single,131.9,1
87,TLS Single,131.67,1
88,TLS Single,131.98,1
89,TLS Single,131.92,1
90,TLS Single,132.79,1
91,TLS Single,131.94,1
92,TLS Single,132.04,1
93,TLS Single,131.65,1
94,TLS Single,132.64,1
95,TLS Single,131.91,1
96,TLS Single,132.22,1
97,TLS Single,131.69,1
98,TLS Single,132.01,1
99,TLS Single,131.97,1
100,TLS Single,131.84,1
101,TLS Single,132.56,1
102,TLS Single,131.96,1
103,TLS Single,131.95,1
104,TLS Single,131.85,1
105,TLS Single,132.4,1
106,TLS Single,132.34,1
107,TLS Single,131.86,1
108,TLS Single,132.2,1
109,TLS Single,132.0,1
110,TLS Single,132.13,1
111,TLS Single,130.2,1
112,TLS Single,132.09,1
113,TLS Single,131.49,1
114,TLS Single,132.05,1
115,TLS Single,131.77,1
116,TLS Single,131.59,1
117,TLS Single,131.83,1
118,TLS Single,132.1,1
119,TLS Single,132.14,1
120,TLS Single,132.06,1
121,TLS Single,132.04,1
122,TLS Single,132.08,1
123,TLS Single,132.05,1
124,TLS Single,131.94,1
125,TLS Single,131.47,1
126,TLS Single,131.87,1
127,TLS Single,131.75,1
128,TLS Single,132.47,1
129,TLS Single,132.39,1
130,TLS Single,131.79,1
131,TLS Single,1219.95,1
132,TLS Single,131.69,1
133,TLS Single,131.47,1
134,TLS Single,132.36,1
135,TLS Single,131.96,1
136,TLS Single,131.69,1
137,TLS Single,131.71,1
138,TLS Single,132.16,1
139,TLS Single,131.7,1
140,TLS Single,131.52,1
141,TLS Single,131.67,1
142,TLS Single,132.09,1
143,TLS Single,131.79,1
144,TLS Single,131.75,1
145,TLS Single,132.03,1
146,TLS Single,132.22,1
147,TLS Single,131.95,1
148,TLS Single,132.17,1
149,TLS Single,132.04,1
150,TLS Single,132.18,1
151,TLS Single,131.98,1
152,TLS Single,131.86,1
153,TLS Single,132.11,1
154,TLS Single,131.52,1
155,TLS Single,131.84,1
156,TLS Single,131.74,1
157,TLS Single,131.83,1
158,TLS Single,132.37,1
159,TLS Single,126.56,1
160,TLS Single,131.42,1
161,TLS Single,131.63,1
162,TLS Single,132.06,1
163,TLS Single,131.79,1
164,TLS Single,132.71,1
165,TLS Single,130.98,1
166,TLS Single,132.23,1
167,TLS Single,132.02,1
168,TLS Single,132.66,1
169,TLS Single,132.09,1
170,TLS Single,132.5,1
171,TLS Single,133.48,1
172,TLS Single,131.93,1
173,TLS Single,132.11,1
174,TLS Single,132.82,1
175,TLS Single,131.93,1
176,TLS Single,131.71,1
177,TLS Single,131.77,1
178,TLS Single,131.86,1
179,TLS Single,132.34,1
180,TLS Single,132.14,1
181,TLS Single,132.09,1
182,TLS Single,131.95,1
183,TLS Single,132.04,1
184,TLS Single,131.94,1
185,TLS Single,132.17,1
186,TLS Single,132.21,1
187,TLS Single,132.07,1
188,TLS Single,131.64,1
189,TLS Single,132.05,1
190,TLS Single,131.88,1
191,TLS Single,132.08,1
192,TLS Single,132.06,1
193,TLS Single,131.97,1
194,TLS Single,131.77,1
195,TLS Single,133.28,1
196,TLS Single,131.51,1
197,TLS Single,131.91,1
198,TLS Single,132.37,1
199,TLS Single,131.94,1
200,TLS Single,131.66,1
201,TLS Single,131.86,1
202,TLS Single,131.65,1
203,TLS Single,132.33,1
204,TLS Single,132.05,1
205,TLS Single,131.67,1
206,TLS Single,132.35,1
207,TLS Single,132.03,1
208,TLS Single,131.88,1
209,TLS Single,132.0,1
210,TLS Single,131.9,1
211,TLS Single,132.0,1
212,TLS Single,132.86,1
213,TLS Single,125.79,1
214,TLS Single,132.49,1
215,TLS Single,131.66,1
