security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,275.537,277.087,-0.6
L1,ed25519,hqc128,pq_pur,332.276,277.087,19.9
L1,ed25519,mlkem512,pq_pur,273.871,277.087,-1.2
L1,ed25519,p256_hqc128,hybride,331.83,277.087,19.8
L1,ed25519,p256_mlkem512,hybride,282.48,277.087,1.9
L1,ed25519,x25519_hqc128,hybride,329.08,277.087,18.8
L1,ed25519,x25519_mlkem512,hybride,284.8,277.087,2.8
L1,ed25519,x25519,classique,266.141,277.087,-4.0
L1,mldsa44,P-256,classique,278.343,277.087,0.5
L1,mldsa44,hqc128,pq_pur,335.841,277.087,21.2
L1,mldsa44,mlkem512,pq_pur,276.477,277.087,-0.2
L1,mldsa44,p256_hqc128,hybride,345.129,277.087,24.6
L1,mldsa44,p256_mlkem512,hybride,302.081,277.087,9.0
L1,mldsa44,x25519_hqc128,hybride,332.473,277.087,20.0
L1,mldsa44,x25519_mlkem512,hybride,290.754,277.087,4.9
L1,mldsa44,x25519,classique,288.326,277.087,4.1
L3,mldsa65,P-384,classique,291.576,286.046,1.9
L3,mldsa65,hqc192,pq_pur,460.246,286.046,60.9
L3,mldsa65,mlkem768,pq_pur,289.196,286.046,1.1
L3,mldsa65,p384_hqc192,hybride,480.232,286.046,67.9
L3,mldsa65,p384_mlkem768,hybride,301.198,286.046,5.3
L3,mldsa65,x448_hqc192,hybride,477.496,286.046,66.9
L3,mldsa65,x448_mlkem768,hybride,297.43,286.046,4.0
L3,mldsa65,x448,classique,287.04,286.046,0.3
L5,mldsa87,P-521,classique,309.321,294.197,5.1
L5,mldsa87,hqc256,pq_pur,543.688,294.197,84.8
L5,mldsa87,mlkem1024,pq_pur,410.966,294.197,39.7
L5,mldsa87,p521_hqc256,hybride,550.219,294.197,87.0
L5,mldsa87,p521_mlkem1024,hybride,408.878,294.197,39.0
L3,secp384r1,P-384,classique,276.516,286.046,-3.3
L3,secp384r1,hqc192,pq_pur,373.779,286.046,30.7
L3,secp384r1,mlkem768,pq_pur,278.182,286.046,-2.7
L3,secp384r1,p384_hqc192,hybride,374.628,286.046,31.0
L3,secp384r1,p384_mlkem768,hybride,304.86,286.046,6.6
L3,secp384r1,x448_hqc192,hybride,385.517,286.046,34.8
L3,secp384r1,x448_mlkem768,hybride,291.558,286.046,1.9
L3,secp384r1,x448,classique,289.05,286.046,1.1
L5,secp521r1,P-521,classique,279.073,294.197,-5.1
L5,secp521r1,hqc256,pq_pur,532.031,294.197,80.8
L5,secp521r1,mlkem1024,pq_pur,279.583,294.197,-5.0
L5,secp521r1,p521_hqc256,hybride,534.741,294.197,81.8
L5,secp521r1,p521_mlkem1024,hybride,303.295,294.197,3.1
