execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,404.38,1,2,4
2,TLS Single,305.99,1,2,4
3,TLS Single,304.77,1,2,4
4,TLS Single,308.55,1,2,4
5,TLS Single,292.93,1,2,4
6,TLS Single,307.86,1,2,4
7,TLS Single,289.57,1,2,4
8,TLS Single,309.73,1,2,4
9,TLS Single,286.44,1,2,4
10,TLS Single,288.41,1,2,4
11,TLS Single,305.86,1,2,4
12,TLS Single,305.47,1,2,4
13,TLS Single,306.23,1,2,4
14,TLS Single,304.72,1,2,4
15,TLS Single,307.19,1,2,4
16,TLS Single,309.42,1,2,4
17,TLS Single,306.31,1,2,4
18,TLS Single,305.91,1,2,4
19,TLS Single,305.69,1,2,4
20,TLS Single,305.33,1,2,4
21,TLS Single,311.01,1,2,4
22,TLS Single,293.58,1,2,4
23,TLS Single,291.46,1,2,4
24,TLS Single,308.89,1,2,4
25,TLS Single,297.02,1,2,4
26,TLS Single,309.26,1,2,4
27,TLS Single,308.19,1,2,4
28,TLS Single,294.74,1,2,4
29,TLS Single,290.34,1,2,4
30,TLS Single,268.87,1,2,4
31,TLS Single,289.05,1,2,4
32,TLS Single,280.63,1,2,4
33,TLS Single,310.13,1,2,4
34,TLS Single,310.24,1,2,4
35,TLS Single,294.07,1,2,4
36,TLS Single,293.16,1,2,4
37,TLS Single,309.9,1,2,4
38,TLS Single,310.94,1,2,4
39,TLS Single,310.31,1,2,4
40,TLS Single,294.18,1,2,4
41,TLS Single,309.93,1,2,4
42,TLS Single,315.62,1,2,4
43,TLS Single,292.52,1,2,4
44,TLS Single,296.99,1,2,4
45,TLS Single,294.5,1,2,4
46,TLS Single,297.88,1,2,4
47,TLS Single,309.19,1,2,4
48,TLS Single,309.9,1,2,4
49,TLS Single,309.78,1,2,4
50,TLS Single,296.49,1,2,4
51,TLS Single,292.87,1,2,4
52,TLS Single,309.21,1,2,4
53,TLS Single,294.36,1,2,4
54,TLS Single,312.92,1,2,4
55,TLS Single,311.0,1,2,4
56,TLS Single,294.24,1,2,4
57,TLS Single,306.07,1,2,4
58,TLS Single,294.23,1,2,4
59,TLS Single,293.83,1,2,4
60,TLS Single,308.43,1,2,4
61,TLS Single,312.82,1,2,4
62,TLS Single,295.3,1,2,4
63,TLS Single,308.72,1,2,4
64,TLS Single,282.76,1,2,4
65,TLS Single,310.08,1,2,4
66,TLS Single,295.66,1,2,4
67,TLS Single,309.99,1,2,4
68,TLS Single,309.01,1,2,4
69,TLS Single,292.61,1,2,4
70,TLS Single,315.25,1,2,4
71,TLS Single,308.58,1,2,4
72,TLS Single,293.47,1,2,4
73,TLS Single,296.24,1,2,4
74,TLS Single,313.06,1,2,4
75,TLS Single,292.38,1,2,4
76,TLS Single,294.23,1,2,4
77,TLS Single,310.03,1,2,4
78,TLS Single,312.1,1,2,4
79,TLS Single,310.32,1,2,4
80,TLS Single,312.85,1,2,4
81,TLS Single,294.24,1,2,4
82,TLS Single,310.84,1,2,4
83,TLS Single,278.45,1,2,4
84,TLS Single,310.28,1,2,4
85,TLS Single,294.76,1,2,4
86,TLS Single,312.18,1,2,4
87,TLS Single,309.28,1,2,4
88,TLS Single,308.07,1,2,4
89,TLS Single,312.87,1,2,4
90,TLS Single,309.49,1,2,4
91,TLS Single,309.93,1,2,4
92,TLS Single,312.57,1,2,4
93,TLS Single,297.32,1,2,4
94,TLS Single,295.48,1,2,4
95,TLS Single,295.86,1,2,4
96,TLS Single,309.98,1,2,4
97,TLS Single,294.67,1,2,4
98,TLS Single,308.98,1,2,4
99,TLS Single,293.17,1,2,4
100,TLS Single,305.2,1,2,4
101,TLS Single,308.79,1,2,4
102,TLS Single,314.13,1,2,4
103,TLS Single,307.8,1,2,4
104,TLS Single,309.05,1,2,4
105,TLS Single,309.11,1,2,4
106,TLS Single,309.37,1,2,4
107,TLS Single,298.77,1,2,4
108,TLS Single,278.52,1,2,4
109,TLS Single,309.4,1,2,4
110,TLS Single,291.81,1,2,4
111,TLS Single,295.16,1,2,4
112,TLS Single,307.66,1,2,4
113,TLS Single,291.84,1,2,4
114,TLS Single,305.47,1,2,4
115,TLS Single,578.99,1,2,4
116,TLS Single,294.5,1,2,4
117,TLS Single,310.43,1,2,4
118,TLS Single,304.78,1,2,4
119,TLS Single,293.05,1,2,4
120,TLS Single,278.5,1,2,4
121,TLS Single,309.87,1,2,4
122,TLS Single,295.78,1,2,4
123,TLS Single,297.2,1,2,4
124,TLS Single,310.31,1,2,4
125,TLS Single,310.3,1,2,4
