execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,402.29,1,4,4
2,TLS Single,267.65,1,4,4
3,TLS Single,266.96,1,4,4
4,TLS Single,267.85,1,4,4
5,TLS Single,267.11,1,4,4
6,TLS Single,270.25,1,4,4
7,TLS Single,266.74,1,4,4
8,TLS Single,269.11,1,4,4
9,TLS Single,268.12,1,4,4
10,TLS Single,268.62,1,4,4
11,TLS Single,267.97,1,4,4
12,TLS Single,269.96,1,4,4
13,TLS Single,265.21,1,4,4
14,TLS Single,267.58,1,4,4
15,TLS Single,267.4,1,4,4
16,TLS Single,269.81,1,4,4
17,TLS Single,270.48,1,4,4
18,TLS Single,271.11,1,4,4
19,TLS Single,270.42,1,4,4
20,TLS Single,269.12,1,4,4
21,TLS Single,264.5,1,4,4
22,TLS Single,270.0,1,4,4
23,TLS Single,268.27,1,4,4
24,TLS Single,269.98,1,4,4
25,TLS Single,267.18,1,4,4
26,TLS Single,265.43,1,4,4
27,TLS Single,267.19,1,4,4
28,TLS Single,267.32,1,4,4
29,TLS Single,268.87,1,4,4
30,TLS Single,271.1,1,4,4
31,TLS Single,272.84,1,4,4
32,TLS Single,269.75,1,4,4
33,TLS Single,273.51,1,4,4
34,TLS Single,267.69,1,4,4
35,TLS Single,269.95,1,4,4
36,TLS Single,265.73,1,4,4
37,TLS Single,268.37,1,4,4
38,TLS Single,264.69,1,4,4
39,TLS Single,267.43,1,4,4
40,TLS Single,271.75,1,4,4
41,TLS Single,267.69,1,4,4
42,TLS Single,270.23,1,4,4
43,TLS Single,269.5,1,4,4
44,TLS Single,267.25,1,4,4
45,TLS Single,273.22,1,4,4
46,TLS Single,267.58,1,4,4
47,TLS Single,269.77,1,4,4
48,TLS Single,268.59,1,4,4
49,TLS Single,267.47,1,4,4
50,TLS Single,268.5,1,4,4
51,TLS Single,271.44,1,4,4
52,TLS Single,268.97,1,4,4
53,TLS Single,264.4,1,4,4
54,TLS Single,267.97,1,4,4
55,TLS Single,268.57,1,4,4
56,TLS Single,269.02,1,4,4
57,TLS Single,272.73,1,4,4
58,TLS Single,266.82,1,4,4
59,TLS Single,264.28,1,4,4
60,TLS Single,266.5,1,4,4
61,TLS Single,268.3,1,4,4
62,TLS Single,272.1,1,4,4
63,TLS Single,266.94,1,4,4
64,TLS Single,269.32,1,4,4
65,TLS Single,269.13,1,4,4
66,TLS Single,261.92,1,4,4
67,TLS Single,265.82,1,4,4
68,TLS Single,273.09,1,4,4
69,TLS Single,269.55,1,4,4
70,TLS Single,267.4,1,4,4
71,TLS Single,267.6,1,4,4
72,TLS Single,263.92,1,4,4
73,TLS Single,270.81,1,4,4
74,TLS Single,267.21,1,4,4
75,TLS Single,268.83,1,4,4
76,TLS Single,271.65,1,4,4
77,TLS Single,268.12,1,4,4
78,TLS Single,269.31,1,4,4
79,TLS Single,268.73,1,4,4
80,TLS Single,267.97,1,4,4
81,TLS Single,271.2,1,4,4
82,TLS Single,266.75,1,4,4
83,TLS Single,268.5,1,4,4
84,TLS Single,259.65,1,4,4
85,TLS Single,257.51,1,4,4
86,TLS Single,267.1,1,4,4
87,TLS Single,267.17,1,4,4
88,TLS Single,266.85,1,4,4
89,TLS Single,271.34,1,4,4
90,TLS Single,270.37,1,4,4
91,TLS Single,265.26,1,4,4
92,TLS Single,265.92,1,4,4
93,TLS Single,265.74,1,4,4
94,TLS Single,268.17,1,4,4
95,TLS Single,267.89,1,4,4
96,TLS Single,267.61,1,4,4
97,TLS Single,267.41,1,4,4
98,TLS Single,273.69,1,4,4
99,TLS Single,266.73,1,4,4
100,TLS Single,270.08,1,4,4
101,TLS Single,267.94,1,4,4
102,TLS Single,268.41,1,4,4
103,TLS Single,263.43,1,4,4
104,TLS Single,272.41,1,4,4
105,TLS Single,268.76,1,4,4
106,TLS Single,1312.85,1,4,4
107,TLS Single,267.74,1,4,4
108,TLS Single,265.27,1,4,4
109,TLS Single,268.62,1,4,4
110,TLS Single,271.48,1,4,4
111,TLS Single,267.53,1,4,4
112,TLS Single,268.82,1,4,4
113,TLS Single,262.43,1,4,4
114,TLS Single,266.78,1,4,4
115,TLS Single,269.01,1,4,4
116,TLS Single,261.65,1,4,4
117,TLS Single,266.78,1,4,4
118,TLS Single,909.64,1,4,4
119,TLS Single,266.73,1,4,4
120,TLS Single,271.49,1,4,4
121,TLS Single,264.69,1,4,4
122,TLS Single,270.64,1,4,4
123,TLS Single,267.04,1,4,4
124,TLS Single,268.19,1,4,4
125,TLS Single,271.72,1,4,4
