execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,432.24,1,1,4
2,TLS Single,310.53,1,1,4
3,TLS Single,292.14,1,1,4
4,TLS Single,309.36,1,1,4
5,TLS Single,312.72,1,1,4
6,TLS Single,407.8,1,1,4
7,TLS Single,308.62,1,1,4
8,TLS Single,295.34,1,1,4
9,TLS Single,309.07,1,1,4
10,TLS Single,309.39,1,1,4
11,TLS Single,275.27,1,1,4
12,TLS Single,295.05,1,1,4
13,TLS Single,436.69,1,1,4
14,TLS Single,423.89,1,1,4
15,TLS Single,307.14,1,1,4
16,TLS Single,292.98,1,1,4
17,TLS Single,307.31,1,1,4
18,TLS Single,294.19,1,1,4
19,TLS Single,310.41,1,1,4
20,TLS Single,293.52,1,1,4
21,TLS Single,310.29,1,1,4
22,TLS Single,293.39,1,1,4
23,TLS Single,310.12,1,1,4
24,TLS Single,309.56,1,1,4
25,TLS Single,309.96,1,1,4
26,TLS Single,294.77,1,1,4
27,TLS Single,310.67,1,1,4
28,TLS Single,308.98,1,1,4
29,TLS Single,293.29,1,1,4
30,TLS Single,290.38,1,1,4
31,TLS Single,442.81,1,1,4
32,TLS Single,293.56,1,1,4
33,TLS Single,306.14,1,1,4
34,TLS Single,1306.01,1,1,4
35,TLS Single,305.59,1,1,4
36,TLS Single,289.88,1,1,4
37,TLS Single,391.75,1,1,4
38,TLS Single,292.38,1,1,4
39,TLS Single,307.37,1,1,4
40,TLS Single,306.9,1,1,4
41,TLS Single,295.45,1,1,4
42,TLS Single,418.62,1,1,4
43,TLS Single,307.12,1,1,4
44,TLS Single,294.17,1,1,4
45,TLS Single,290.26,1,1,4
46,TLS Single,294.96,1,1,4
47,TLS Single,310.86,1,1,4
48,TLS Single,308.42,1,1,4
49,TLS Single,307.91,1,1,4
50,TLS Single,294.17,1,1,4
51,TLS Single,312.33,1,1,4
52,TLS Single,307.61,1,1,4
53,TLS Single,295.44,1,1,4
54,TLS Single,296.89,1,1,4
55,TLS Single,408.93,1,1,4
56,TLS Single,309.66,1,1,4
57,TLS Single,310.56,1,1,4
58,TLS Single,307.93,1,1,4
59,TLS Single,310.26,1,1,4
60,TLS Single,310.65,1,1,4
61,TLS Single,308.08,1,1,4
62,TLS Single,287.79,1,1,4
63,TLS Single,308.65,1,1,4
64,TLS Single,293.39,1,1,4
65,TLS Single,309.16,1,1,4
66,TLS Single,308.32,1,1,4
67,TLS Single,772.64,1,1,4
68,TLS Single,295.44,1,1,4
69,TLS Single,307.65,1,1,4
70,TLS Single,313.2,1,1,4
71,TLS Single,309.37,1,1,4
72,TLS Single,308.6,1,1,4
73,TLS Single,288.45,1,1,4
74,TLS Single,304.97,1,1,4
75,TLS Single,296.59,1,1,4
76,TLS Single,277.96,1,1,4
77,TLS Single,307.1,1,1,4
78,TLS Single,298.89,1,1,4
79,TLS Single,309.49,1,1,4
80,TLS Single,295.22,1,1,4
81,TLS Single,296.48,1,1,4
82,TLS Single,792.92,1,1,4
83,TLS Single,306.77,1,1,4
84,TLS Single,310.9,1,1,4
85,TLS Single,296.03,1,1,4
86,TLS Single,311.68,1,1,4
87,TLS Single,309.94,1,1,4
88,TLS Single,295.69,1,1,4
89,TLS Single,310.43,1,1,4
90,TLS Single,297.86,1,1,4
91,TLS Single,310.45,1,1,4
92,TLS Single,286.06,1,1,4
93,TLS Single,311.31,1,1,4
94,TLS Single,294.64,1,1,4
95,TLS Single,296.11,1,1,4
96,TLS Single,294.49,1,1,4
97,TLS Single,278.62,1,1,4
98,TLS Single,304.51,1,1,4
99,TLS Single,310.58,1,1,4
100,TLS Single,294.23,1,1,4
101,TLS Single,311.15,1,1,4
102,TLS Single,309.77,1,1,4
103,TLS Single,295.41,1,1,4
104,TLS Single,293.75,1,1,4
105,TLS Single,297.44,1,1,4
106,TLS Single,307.65,1,1,4
107,TLS Single,293.01,1,1,4
108,TLS Single,433.37,1,1,4
109,TLS Single,790.33,1,1,4
110,TLS Single,308.99,1,1,4
111,TLS Single,295.89,1,1,4
112,TLS Single,309.78,1,1,4
113,TLS Single,309.99,1,1,4
114,TLS Single,294.33,1,1,4
115,TLS Single,309.74,1,1,4
116,TLS Single,1303.71,1,1,4
117,TLS Single,307.36,1,1,4
118,TLS Single,295.01,1,1,4
119,TLS Single,305.21,1,1,4
120,TLS Single,294.34,1,1,4
121,TLS Single,292.41,1,1,4
122,TLS Single,291.99,1,1,4
123,TLS Single,291.81,1,1,4
124,TLS Single,309.0,1,1,4
125,TLS Single,311.28,1,1,4
