execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,405.2,1,1,4
2,TLS Single,275.73,1,1,4
3,TLS Single,274.45,1,1,4
4,TLS Single,267.15,1,1,4
5,TLS Single,275.24,1,1,4
6,TLS Single,279.45,1,1,4
7,TLS Single,274.73,1,1,4
8,TLS Single,275.39,1,1,4
9,TLS Single,273.12,1,1,4
10,TLS Single,271.94,1,1,4
11,TLS Single,279.71,1,1,4
12,TLS Single,272.54,1,1,4
13,TLS Single,273.17,1,1,4
14,TLS Single,275.4,1,1,4
15,TLS Single,271.58,1,1,4
16,TLS Single,274.56,1,1,4
17,TLS Single,273.83,1,1,4
18,TLS Single,1320.46,1,1,4
19,TLS Single,274.29,1,1,4
20,TLS Single,273.99,1,1,4
21,TLS Single,276.86,1,1,4
22,TLS Single,275.9,1,1,4
23,TLS Single,277.38,1,1,4
24,TLS Single,274.44,1,1,4
25,TLS Single,271.95,1,1,4
26,TLS Single,269.9,1,1,4
27,TLS Single,273.25,1,1,4
28,TLS Single,274.0,1,1,4
29,TLS Single,277.44,1,1,4
30,TLS Single,776.96,1,1,4
31,TLS Single,273.89,1,1,4
32,TLS Single,275.39,1,1,4
33,TLS Single,270.51,1,1,4
34,TLS Single,386.81,1,1,4
35,TLS Single,273.19,1,1,4
36,TLS Single,274.62,1,1,4
37,TLS Single,274.17,1,1,4
38,TLS Single,275.41,1,1,4
39,TLS Single,273.99,1,1,4
40,TLS Single,275.23,1,1,4
41,TLS Single,275.09,1,1,4
42,TLS Single,268.29,1,1,4
43,TLS Single,274.51,1,1,4
44,TLS Single,275.62,1,1,4
45,TLS Single,274.75,1,1,4
46,TLS Single,274.65,1,1,4
47,TLS Single,273.91,1,1,4
48,TLS Single,277.25,1,1,4
49,TLS Single,267.47,1,1,4
50,TLS Single,274.65,1,1,4
51,TLS Single,392.67,1,1,4
52,TLS Single,272.44,1,1,4
53,TLS Single,278.09,1,1,4
54,TLS Single,273.98,1,1,4
55,TLS Single,268.51,1,1,4
56,TLS Single,274.93,1,1,4
57,TLS Single,281.61,1,1,4
58,TLS Single,276.92,1,1,4
59,TLS Single,275.84,1,1,4
60,TLS Single,276.21,1,1,4
61,TLS Single,280.83,1,1,4
62,TLS Single,274.51,1,1,4
63,TLS Single,273.87,1,1,4
64,TLS Single,394.49,1,1,4
65,TLS Single,271.53,1,1,4
66,TLS Single,275.47,1,1,4
67,TLS Single,270.03,1,1,4
68,TLS Single,272.67,1,1,4
69,TLS Single,274.69,1,1,4
70,TLS Single,275.08,1,1,4
71,TLS Single,391.36,1,1,4
72,TLS Single,274.38,1,1,4
73,TLS Single,425.9,1,1,4
74,TLS Single,275.99,1,1,4
75,TLS Single,269.78,1,1,4
76,TLS Single,774.37,1,1,4
77,TLS Single,273.75,1,1,4
78,TLS Single,270.98,1,1,4
79,TLS Single,273.4,1,1,4
80,TLS Single,273.91,1,1,4
81,TLS Single,273.89,1,1,4
82,TLS Single,273.79,1,1,4
83,TLS Single,274.62,1,1,4
84,TLS Single,275.07,1,1,4
85,TLS Single,272.4,1,1,4
86,TLS Single,275.31,1,1,4
87,TLS Single,275.15,1,1,4
88,TLS Single,274.72,1,1,4
89,TLS Single,277.74,1,1,4
90,TLS Single,270.75,1,1,4
91,TLS Single,268.8,1,1,4
92,TLS Single,274.55,1,1,4
93,TLS Single,275.55,1,1,4
94,TLS Single,269.1,1,1,4
95,TLS Single,273.93,1,1,4
96,TLS Single,273.99,1,1,4
97,TLS Single,273.1,1,1,4
98,TLS Single,273.99,1,1,4
99,TLS Single,274.98,1,1,4
100,TLS Single,274.8,1,1,4
101,TLS Single,273.75,1,1,4
102,TLS Single,272.34,1,1,4
103,TLS Single,263.63,1,1,4
104,TLS Single,266.83,1,1,4
105,TLS Single,273.96,1,1,4
106,TLS Single,274.51,1,1,4
107,TLS Single,271.69,1,1,4
108,TLS Single,274.07,1,1,4
109,TLS Single,274.78,1,1,4
110,TLS Single,268.8,1,1,4
111,TLS Single,274.86,1,1,4
112,TLS Single,275.3,1,1,4
113,TLS Single,271.79,1,1,4
114,TLS Single,268.4,1,1,4
115,TLS Single,273.69,1,1,4
116,TLS Single,272.45,1,1,4
117,TLS Single,271.8,1,1,4
118,TLS Single,270.0,1,1,4
119,TLS Single,273.81,1,1,4
120,TLS Single,271.13,1,1,4
121,TLS Single,274.0,1,1,4
122,TLS Single,278.79,1,1,4
123,TLS Single,275.17,1,1,4
124,TLS Single,275.89,1,1,4
125,TLS Single,275.56,1,1,4
