execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,636.51,1,4,4
2,TLS Single,498.99,1,4,4
3,TLS Single,627.99,1,4,4
4,TLS Single,522.21,1,4,4
5,TLS Single,506.7,1,4,4
6,TLS Single,526.99,1,4,4
7,TLS Single,595.02,1,4,4
8,TLS Single,525.56,1,4,4
9,TLS Single,501.25,1,4,4
10,TLS Single,474.28,1,4,4
11,TLS Single,503.11,1,4,4
12,TLS Single,522.31,1,4,4
13,TLS Single,494.83,1,4,4
14,TLS Single,525.48,1,4,4
15,TLS Single,946.17,1,4,4
16,TLS Single,538.37,1,4,4
17,TLS Single,468.78,1,4,4
18,TLS Single,1630.34,1,4,4
19,TLS Single,505.81,1,4,4
20,TLS Single,501.84,1,4,4
21,TLS Single,524.52,1,4,4
22,TLS Single,476.05,1,4,4
23,TLS Single,499.24,1,4,4
24,TLS Single,479.65,1,4,4
25,TLS Single,523.66,1,4,4
26,TLS Single,497.76,1,4,4
27,TLS Single,524.62,1,4,4
28,TLS Single,626.77,1,4,4
29,TLS Single,524.07,1,4,4
30,TLS Single,503.55,1,4,4
31,TLS Single,480.03,1,4,4
32,TLS Single,500.22,1,4,4
33,TLS Single,498.27,1,4,4
34,TLS Single,626.43,1,4,4
35,TLS Single,518.92,1,4,4
36,TLS Single,522.64,1,4,4
37,TLS Single,500.67,1,4,4
38,TLS Single,519.9,1,4,4
39,TLS Single,505.06,1,4,4
40,TLS Single,479.35,1,4,4
41,TLS Single,499.05,1,4,4
42,TLS Single,521.53,1,4,4
43,TLS Single,527.33,1,4,4
44,TLS Single,514.51,1,4,4
45,TLS Single,501.6,1,4,4
46,TLS Single,520.33,1,4,4
47,TLS Single,477.82,1,4,4
48,TLS Single,524.12,1,4,4
49,TLS Single,501.65,1,4,4
50,TLS Single,499.13,1,4,4
51,TLS Single,525.51,1,4,4
52,TLS Single,523.93,1,4,4
53,TLS Single,505.78,1,4,4
54,TLS Single,507.99,1,4,4
55,TLS Single,525.99,1,4,4
56,TLS Single,500.67,1,4,4
57,TLS Single,472.8,1,4,4
58,TLS Single,521.34,1,4,4
59,TLS Single,1542.34,1,4,4
60,TLS Single,496.97,1,4,4
61,TLS Single,501.16,1,4,4
62,TLS Single,502.02,1,4,4
63,TLS Single,502.38,1,4,4
64,TLS Single,742.62,1,4,4
65,TLS Single,485.7,1,4,4
66,TLS Single,521.42,1,4,4
67,TLS Single,501.12,1,4,4
68,TLS Single,499.29,1,4,4
69,TLS Single,499.23,1,4,4
70,TLS Single,500.88,1,4,4
71,TLS Single,495.39,1,4,4
72,TLS Single,500.33,1,4,4
73,TLS Single,525.91,1,4,4
74,TLS Single,477.72,1,4,4
75,TLS Single,577.83,1,4,4
76,TLS Single,481.05,1,4,4
77,TLS Single,502.41,1,4,4
78,TLS Single,522.69,1,4,4
79,TLS Single,497.95,1,4,4
80,TLS Single,522.6,1,4,4
81,TLS Single,1528.44,1,4,4
82,TLS Single,499.16,1,4,4
83,TLS Single,523.58,1,4,4
84,TLS Single,502.96,1,4,4
85,TLS Single,524.28,1,4,4
86,TLS Single,499.91,1,4,4
87,TLS Single,524.32,1,4,4
88,TLS Single,480.95,1,4,4
89,TLS Single,504.42,1,4,4
90,TLS Single,501.34,1,4,4
91,TLS Single,514.35,1,4,4
92,TLS Single,476.09,1,4,4
93,TLS Single,502.41,1,4,4
94,TLS Single,1542.97,1,4,4
95,TLS Single,496.8,1,4,4
96,TLS Single,491.51,1,4,4
97,TLS Single,498.83,1,4,4
98,TLS Single,599.56,1,4,4
99,TLS Single,521.74,1,4,4
100,TLS Single,501.47,1,4,4
101,TLS Single,474.72,1,4,4
102,TLS Single,524.14,1,4,4
103,TLS Single,522.8,1,4,4
104,TLS Single,520.53,1,4,4
105,TLS Single,526.11,1,4,4
106,TLS Single,500.9,1,4,4
107,TLS Single,479.02,1,4,4
108,TLS Single,524.43,1,4,4
109,TLS Single,504.76,1,4,4
110,TLS Single,521.15,1,4,4
111,TLS Single,500.37,1,4,4
112,TLS Single,709.08,1,4,4
113,TLS Single,522.96,1,4,4
114,TLS Single,519.35,1,4,4
115,TLS Single,478.29,1,4,4
116,TLS Single,521.78,1,4,4
117,TLS Single,501.55,1,4,4
118,TLS Single,501.78,1,4,4
119,TLS Single,477.58,1,4,4
120,TLS Single,502.6,1,4,4
121,TLS Single,520.5,1,4,4
122,TLS Single,500.51,1,4,4
123,TLS Single,949.19,1,4,4
124,TLS Single,527.69,1,4,4
125,TLS Single,499.34,1,4,4
