execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,486.38,1,4,4
2,TLS Single,336.72,1,4,4
3,TLS Single,337.53,1,4,4
4,TLS Single,353.44,1,4,4
5,TLS Single,321.07,1,4,4
6,TLS Single,332.52,1,4,4
7,TLS Single,363.11,1,4,4
8,TLS Single,361.31,1,4,4
9,TLS Single,363.42,1,4,4
10,TLS Single,358.93,1,4,4
11,TLS Single,520.0,1,4,4
12,TLS Single,337.87,1,4,4
13,TLS Single,299.71,1,4,4
14,TLS Single,1590.76,1,4,4
15,TLS Single,313.44,1,4,4
16,TLS Single,363.21,1,4,4
17,TLS Single,494.85,1,4,4
18,TLS Single,340.27,1,4,4
19,TLS Single,360.12,1,4,4
20,TLS Single,361.62,1,4,4
21,TLS Single,337.01,1,4,4
22,TLS Single,362.2,1,4,4
23,TLS Single,353.06,1,4,4
24,TLS Single,362.34,1,4,4
25,TLS Single,358.07,1,4,4
26,TLS Single,339.4,1,4,4
27,TLS Single,337.88,1,4,4
28,TLS Single,360.94,1,4,4
29,TLS Single,339.16,1,4,4
30,TLS Single,361.89,1,4,4
31,TLS Single,350.21,1,4,4
32,TLS Single,335.44,1,4,4
33,TLS Single,355.44,1,4,4
34,TLS Single,312.83,1,4,4
35,TLS Single,365.06,1,4,4
36,TLS Single,363.39,1,4,4
37,TLS Single,361.71,1,4,4
38,TLS Single,339.91,1,4,4
39,TLS Single,364.37,1,4,4
40,TLS Single,356.84,1,4,4
41,TLS Single,362.26,1,4,4
42,TLS Single,363.18,1,4,4
43,TLS Single,334.01,1,4,4
44,TLS Single,362.5,1,4,4
45,TLS Single,359.9,1,4,4
46,TLS Single,334.38,1,4,4
47,TLS Single,342.12,1,4,4
48,TLS Single,360.83,1,4,4
49,TLS Single,360.72,1,4,4
50,TLS Single,338.55,1,4,4
51,TLS Single,361.91,1,4,4
52,TLS Single,335.46,1,4,4
53,TLS Single,361.6,1,4,4
54,TLS Single,337.96,1,4,4
55,TLS Single,362.17,1,4,4
56,TLS Single,362.44,1,4,4
57,TLS Single,360.32,1,4,4
58,TLS Single,362.18,1,4,4
59,TLS Single,338.06,1,4,4
60,TLS Single,1356.57,1,4,4
61,TLS Single,360.47,1,4,4
62,TLS Single,333.27,1,4,4
63,TLS Single,334.86,1,4,4
64,TLS Single,364.13,1,4,4
65,TLS Single,345.59,1,4,4
66,TLS Single,463.62,1,4,4
67,TLS Single,361.66,1,4,4
68,TLS Single,334.33,1,4,4
69,TLS Single,357.55,1,4,4
70,TLS Single,362.69,1,4,4
71,TLS Single,360.83,1,4,4
72,TLS Single,365.38,1,4,4
73,TLS Single,306.76,1,4,4
74,TLS Single,361.59,1,4,4
75,TLS Single,334.05,1,4,4
76,TLS Single,361.07,1,4,4
77,TLS Single,356.61,1,4,4
78,TLS Single,361.94,1,4,4
79,TLS Single,359.71,1,4,4
80,TLS Single,340.5,1,4,4
81,TLS Single,356.03,1,4,4
82,TLS Single,355.99,1,4,4
83,TLS Single,363.01,1,4,4
84,TLS Single,334.57,1,4,4
85,TLS Single,364.12,1,4,4
86,TLS Single,339.22,1,4,4
87,TLS Single,336.31,1,4,4
88,TLS Single,359.84,1,4,4
89,TLS Single,339.03,1,4,4
90,TLS Single,358.13,1,4,4
91,TLS Single,363.27,1,4,4
92,TLS Single,339.85,1,4,4
93,TLS Single,520.96,1,4,4
94,TLS Single,335.75,1,4,4
95,TLS Single,337.65,1,4,4
96,TLS Single,336.09,1,4,4
97,TLS Single,362.42,1,4,4
98,TLS Single,363.51,1,4,4
99,TLS Single,442.23,1,4,4
100,TLS Single,362.01,1,4,4
101,TLS Single,362.38,1,4,4
102,TLS Single,312.18,1,4,4
103,TLS Single,363.35,1,4,4
104,TLS Single,339.33,1,4,4
105,TLS Single,334.77,1,4,4
106,TLS Single,364.08,1,4,4
107,TLS Single,359.9,1,4,4
108,TLS Single,362.27,1,4,4
109,TLS Single,340.5,1,4,4
110,TLS Single,335.15,1,4,4
111,TLS Single,360.04,1,4,4
112,TLS Single,354.87,1,4,4
113,TLS Single,334.97,1,4,4
114,TLS Single,354.39,1,4,4
115,TLS Single,362.96,1,4,4
116,TLS Single,319.36,1,4,4
117,TLS Single,336.12,1,4,4
118,TLS Single,361.17,1,4,4
119,TLS Single,336.52,1,4,4
120,TLS Single,492.44,1,4,4
121,TLS Single,315.47,1,4,4
122,TLS Single,335.47,1,4,4
123,TLS Single,333.79,1,4,4
124,TLS Single,337.61,1,4,4
125,TLS Single,360.33,1,4,4
