execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,489.15,1,2,4
2,TLS Single,346.62,1,2,4
3,TLS Single,369.27,1,2,4
4,TLS Single,368.38,1,2,4
5,TLS Single,340.93,1,2,4
6,TLS Single,339.43,1,2,4
7,TLS Single,366.96,1,2,4
8,TLS Single,340.35,1,2,4
9,TLS Single,368.11,1,2,4
10,TLS Single,359.42,1,2,4
11,TLS Single,341.77,1,2,4
12,TLS Single,354.58,1,2,4
13,TLS Single,340.04,1,2,4
14,TLS Single,339.63,1,2,4
15,TLS Single,367.35,1,2,4
16,TLS Single,329.38,1,2,4
17,TLS Single,342.27,1,2,4
18,TLS Single,341.97,1,2,4
19,TLS Single,349.37,1,2,4
20,TLS Single,345.55,1,2,4
21,TLS Single,370.17,1,2,4
22,TLS Single,362.23,1,2,4
23,TLS Single,342.94,1,2,4
24,TLS Single,367.4,1,2,4
25,TLS Single,316.59,1,2,4
26,TLS Single,351.58,1,2,4
27,TLS Single,341.05,1,2,4
28,TLS Single,360.53,1,2,4
29,TLS Single,344.24,1,2,4
30,TLS Single,341.34,1,2,4
31,TLS Single,367.83,1,2,4
32,TLS Single,338.39,1,2,4
33,TLS Single,369.91,1,2,4
34,TLS Single,365.98,1,2,4
35,TLS Single,366.05,1,2,4
36,TLS Single,370.05,1,2,4
37,TLS Single,342.93,1,2,4
38,TLS Single,337.98,1,2,4
39,TLS Single,337.6,1,2,4
40,TLS Single,343.55,1,2,4
41,TLS Single,369.7,1,2,4
42,TLS Single,334.84,1,2,4
43,TLS Single,366.12,1,2,4
44,TLS Single,340.1,1,2,4
45,TLS Single,491.93,1,2,4
46,TLS Single,360.75,1,2,4
47,TLS Single,346.06,1,2,4
48,TLS Single,369.32,1,2,4
49,TLS Single,341.9,1,2,4
50,TLS Single,367.1,1,2,4
51,TLS Single,341.23,1,2,4
52,TLS Single,368.61,1,2,4
53,TLS Single,799.49,1,2,4
54,TLS Single,355.13,1,2,4
55,TLS Single,304.06,1,2,4
56,TLS Single,347.86,1,2,4
57,TLS Single,345.49,1,2,4
58,TLS Single,459.52,1,2,4
59,TLS Single,346.12,1,2,4
60,TLS Single,368.35,1,2,4
61,TLS Single,369.98,1,2,4
62,TLS Single,364.99,1,2,4
63,TLS Single,364.48,1,2,4
64,TLS Single,345.07,1,2,4
65,TLS Single,337.45,1,2,4
66,TLS Single,365.46,1,2,4
67,TLS Single,337.02,1,2,4
68,TLS Single,364.32,1,2,4
69,TLS Single,342.11,1,2,4
70,TLS Single,366.33,1,2,4
71,TLS Single,367.97,1,2,4
72,TLS Single,315.14,1,2,4
73,TLS Single,367.45,1,2,4
74,TLS Single,368.66,1,2,4
75,TLS Single,344.09,1,2,4
76,TLS Single,495.63,1,2,4
77,TLS Single,345.0,1,2,4
78,TLS Single,369.95,1,2,4
79,TLS Single,366.94,1,2,4
80,TLS Single,342.54,1,2,4
81,TLS Single,335.88,1,2,4
82,TLS Single,969.01,1,2,4
83,TLS Single,359.2,1,2,4
84,TLS Single,366.07,1,2,4
85,TLS Single,317.21,1,2,4
86,TLS Single,631.53,1,2,4
87,TLS Single,343.7,1,2,4
88,TLS Single,340.15,1,2,4
89,TLS Single,369.73,1,2,4
90,TLS Single,343.72,1,2,4
91,TLS Single,367.26,1,2,4
92,TLS Single,315.63,1,2,4
93,TLS Single,369.45,1,2,4
94,TLS Single,342.36,1,2,4
95,TLS Single,368.44,1,2,4
96,TLS Single,366.7,1,2,4
97,TLS Single,342.75,1,2,4
98,TLS Single,371.3,1,2,4
99,TLS Single,367.51,1,2,4
100,TLS Single,315.52,1,2,4
101,TLS Single,369.47,1,2,4
102,TLS Single,316.01,1,2,4
103,TLS Single,369.63,1,2,4
104,TLS Single,342.79,1,2,4
105,TLS Single,370.13,1,2,4
106,TLS Single,444.08,1,2,4
107,TLS Single,367.78,1,2,4
108,TLS Single,368.79,1,2,4
109,TLS Single,370.29,1,2,4
110,TLS Single,793.54,1,2,4
111,TLS Single,362.7,1,2,4
112,TLS Single,368.74,1,2,4
113,TLS Single,337.36,1,2,4
114,TLS Single,800.35,1,2,4
115,TLS Single,329.02,1,2,4
116,TLS Single,339.24,1,2,4
117,TLS Single,339.41,1,2,4
118,TLS Single,359.07,1,2,4
119,TLS Single,340.87,1,2,4
120,TLS Single,340.58,1,2,4
121,TLS Single,366.25,1,2,4
122,TLS Single,343.13,1,2,4
123,TLS Single,363.38,1,2,4
124,TLS Single,362.62,1,2,4
125,TLS Single,370.95,1,2,4
