execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,415.25,1,3,4
2,TLS Single,272.93,1,3,4
3,TLS Single,283.82,1,3,4
4,TLS Single,279.07,1,3,4
5,TLS Single,270.72,1,3,4
6,TLS Single,276.66,1,3,4
7,TLS Single,280.04,1,3,4
8,TLS Single,274.19,1,3,4
9,TLS Single,281.77,1,3,4
10,TLS Single,277.89,1,3,4
11,TLS Single,279.86,1,3,4
12,TLS Single,275.35,1,3,4
13,TLS Single,278.06,1,3,4
14,TLS Single,274.69,1,3,4
15,TLS Single,275.25,1,3,4
16,TLS Single,277.53,1,3,4
17,TLS Single,268.71,1,3,4
18,TLS Single,275.26,1,3,4
19,TLS Single,280.45,1,3,4
20,TLS Single,276.19,1,3,4
21,TLS Single,280.76,1,3,4
22,TLS Single,275.02,1,3,4
23,TLS Single,275.11,1,3,4
24,TLS Single,273.99,1,3,4
25,TLS Single,277.24,1,3,4
26,TLS Single,269.19,1,3,4
27,TLS Single,270.97,1,3,4
28,TLS Single,275.85,1,3,4
29,TLS Single,275.65,1,3,4
30,TLS Single,282.21,1,3,4
31,TLS Single,278.63,1,3,4
32,TLS Single,272.61,1,3,4
33,TLS Single,274.4,1,3,4
34,TLS Single,277.12,1,3,4
35,TLS Single,281.32,1,3,4
36,TLS Single,271.76,1,3,4
37,TLS Single,274.38,1,3,4
38,TLS Single,277.37,1,3,4
39,TLS Single,273.33,1,3,4
40,TLS Single,277.31,1,3,4
41,TLS Single,274.39,1,3,4
42,TLS Single,1316.69,1,3,4
43,TLS Single,273.43,1,3,4
44,TLS Single,652.51,1,3,4
45,TLS Single,276.13,1,3,4
46,TLS Single,275.43,1,3,4
47,TLS Single,281.51,1,3,4
48,TLS Single,273.08,1,3,4
49,TLS Single,274.23,1,3,4
50,TLS Single,275.85,1,3,4
51,TLS Single,281.59,1,3,4
52,TLS Single,276.46,1,3,4
53,TLS Single,272.83,1,3,4
54,TLS Single,275.98,1,3,4
55,TLS Single,273.95,1,3,4
56,TLS Single,277.47,1,3,4
57,TLS Single,273.42,1,3,4
58,TLS Single,272.29,1,3,4
59,TLS Single,276.19,1,3,4
60,TLS Single,273.37,1,3,4
61,TLS Single,281.2,1,3,4
62,TLS Single,269.76,1,3,4
63,TLS Single,276.32,1,3,4
64,TLS Single,266.51,1,3,4
65,TLS Single,279.17,1,3,4
66,TLS Single,274.92,1,3,4
67,TLS Single,271.1,1,3,4
68,TLS Single,270.56,1,3,4
69,TLS Single,279.16,1,3,4
70,TLS Single,271.33,1,3,4
71,TLS Single,275.88,1,3,4
72,TLS Single,276.11,1,3,4
73,TLS Single,276.0,1,3,4
74,TLS Single,275.59,1,3,4
75,TLS Single,271.9,1,3,4
76,TLS Single,273.66,1,3,4
77,TLS Single,279.48,1,3,4
78,TLS Single,274.05,1,3,4
79,TLS Single,277.95,1,3,4
80,TLS Single,280.55,1,3,4
81,TLS Single,273.51,1,3,4
82,TLS Single,270.35,1,3,4
83,TLS Single,277.31,1,3,4
84,TLS Single,275.1,1,3,4
85,TLS Single,271.52,1,3,4
86,TLS Single,281.08,1,3,4
87,TLS Single,279.57,1,3,4
88,TLS Single,283.39,1,3,4
89,TLS Single,273.8,1,3,4
90,TLS Single,276.54,1,3,4
91,TLS Single,1297.75,1,3,4
92,TLS Single,260.79,1,3,4
93,TLS Single,1322.99,1,3,4
94,TLS Single,277.9,1,3,4
95,TLS Single,269.91,1,3,4
96,TLS Single,276.24,1,3,4
97,TLS Single,272.55,1,3,4
98,TLS Single,273.24,1,3,4
99,TLS Single,274.22,1,3,4
100,TLS Single,275.24,1,3,4
101,TLS Single,275.09,1,3,4
102,TLS Single,273.46,1,3,4
103,TLS Single,272.82,1,3,4
104,TLS Single,275.28,1,3,4
105,TLS Single,281.56,1,3,4
106,TLS Single,279.07,1,3,4
107,TLS Single,275.7,1,3,4
108,TLS Single,273.56,1,3,4
109,TLS Single,280.94,1,3,4
110,TLS Single,273.56,1,3,4
111,TLS Single,276.31,1,3,4
112,TLS Single,274.03,1,3,4
113,TLS Single,277.27,1,3,4
114,TLS Single,272.39,1,3,4
115,TLS Single,274.79,1,3,4
116,TLS Single,280.17,1,3,4
117,TLS Single,280.18,1,3,4
118,TLS Single,274.4,1,3,4
119,TLS Single,275.7,1,3,4
120,TLS Single,277.27,1,3,4
121,TLS Single,276.63,1,3,4
122,TLS Single,277.43,1,3,4
123,TLS Single,266.59,1,3,4
124,TLS Single,274.71,1,3,4
125,TLS Single,278.02,1,3,4
