protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,n_blocks_pooled,n_files_pooled,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,ci95_method,ci95_naive_low_ms,ci95_naive_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,single,ed25519,P-256,classique,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,367.269,147.543,358.935,374.058,bootstrap_blocs,354.336,380.202,340.565,342.02,1350.126,336.36,1384.72
tls,single,ed25519,hqc128,pq_pur,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,420.488,156.49,405.933,432.39,bootstrap_blocs,406.771,434.205,387.78,707.718,1060.342,350.93,1744.24
tls,single,ed25519,mlkem512,pq_pur,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,371.095,149.951,364.488,378.918,bootstrap_blocs,357.951,384.239,340.43,351.574,1344.639,336.12,1365.52
tls,single,ed25519,p256_hqc128,hybride,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,451.821,194.852,422.805,478.398,bootstrap_blocs,434.741,468.901,399.495,765.757,1388.997,357.37,1884.89
tls,single,ed25519,p256_mlkem512,hybride,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,386.171,171.321,375.384,403.197,bootstrap_blocs,371.154,401.188,353.3,372.041,1522.214,342.31,1554.35
tls,single,ed25519,x25519_hqc128,hybride,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,432.465,206.12,419.186,449.986,bootstrap_blocs,414.398,450.533,390.175,708.92,1733.088,352.05,1767.19
tls,single,ed25519,x25519_mlkem512,hybride,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,372.967,168.156,364.927,384.816,bootstrap_blocs,358.228,387.707,341.21,344.566,1355.881,336.54,1879.86
tls,single,ed25519,x25519,classique,L1,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,372.829,166.258,367.98,378.482,bootstrap_blocs,358.256,387.402,340.06,341.355,1352.852,335.89,1861.22
tls,single,mldsa44,P-256,classique,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,381.032,197.128,375.052,385.637,bootstrap_blocs,363.753,398.311,339.95,507.65,1674.079,335.88,1705.99
tls,single,mldsa44,hqc128,pq_pur,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,424.803,182.637,408.657,440.95,bootstrap_blocs,408.794,440.812,387.565,561.912,1401.608,351.8,1911.54
tls,single,mldsa44,mlkem512,pq_pur,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,376.201,162.551,365.691,390.558,bootstrap_blocs,361.953,390.449,339.61,508.006,1019.488,335.76,1716.9
tls,single,mldsa44,p256_hqc128,hybride,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,423.446,141.937,408.651,439.014,bootstrap_blocs,411.005,435.888,399.07,569.964,1048.541,356.05,2118.65
tls,single,mldsa44,p256_mlkem512,hybride,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,395.857,196.683,382.069,406.211,bootstrap_blocs,378.617,413.097,353.495,523.127,1687.248,341.27,2377.05
tls,single,mldsa44,x25519_hqc128,hybride,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,432.465,202.708,410.538,449.114,bootstrap_blocs,414.697,450.233,389.005,565.053,1566.698,352.32,1906.61
tls,single,mldsa44,x25519_mlkem512,hybride,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,375.652,176.719,367.039,384.265,bootstrap_blocs,360.162,391.142,340.58,507.744,1021.162,336.52,2300.33
tls,single,mldsa44,x25519,classique,L1,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,377.662,171.247,366.994,389.68,bootstrap_blocs,362.651,392.672,339.585,550.313,1353.222,336.06,1915.73
tls,single,mldsa65,P-384,classique,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,391.066,191.859,377.237,404.914,bootstrap_blocs,374.249,407.884,344.12,677.338,1366.519,337.25,1718.91
tls,single,mldsa65,hqc192,pq_pur,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,608.893,187.66,596.101,628.306,bootstrap_blocs,592.443,625.342,563.705,737.346,1582.037,527.23,2227.81
tls,single,mldsa65,mlkem768,pq_pur,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,392.205,233.957,367.606,416.805,bootstrap_blocs,371.698,412.712,340.09,509.073,1874.793,335.98,2528.61
tls,single,mldsa65,p384_hqc192,hybride,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,630.878,216.508,605.947,663.249,bootstrap_blocs,611.9,649.856,569.995,948.961,1917.018,533.27,1988.34
tls,single,mldsa65,p384_mlkem768,hybride,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,412.899,243.701,407.312,418.486,bootstrap_blocs,391.538,434.261,358.7,533.318,1878.633,342.96,2869.15
tls,single,mldsa65,x448_hqc192,hybride,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,609.02,178.761,583.027,639.238,bootstrap_blocs,593.351,624.689,565.395,731.899,1566.396,529.08,2392.57
tls,single,mldsa65,x448_mlkem768,hybride,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,390.51,189.052,373.908,407.112,bootstrap_blocs,373.939,407.081,345.06,553.127,1355.32,337.65,2543.78
tls,single,mldsa65,x448,classique,L3,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,380.315,176.184,365.462,397.412,bootstrap_blocs,364.872,395.758,342.45,514.97,1683.303,336.68,1717.96
tls,single,mldsa87,P-521,classique,L5,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,400.784,225.293,387.178,414.391,bootstrap_blocs,381.037,420.532,344.485,560.566,1854.929,337.14,2424.24
tls,single,mldsa87,hqc256,pq_pur,L5,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,708.326,188.628,661.055,776.661,bootstrap_blocs,691.792,724.86,644.385,937.428,1390.72,593.07,2783.53
tls,single,mldsa87,mlkem1024,pq_pur,L5,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,549.662,198.968,542.278,557.046,bootstrap_blocs,532.222,567.102,505.23,673.639,1856.824,502.95,1899.18
tls,single,mldsa87,p521_hqc256,hybride,L5,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,734.742,215.445,692.366,811.882,bootstrap_blocs,715.857,753.627,653.285,977.472,2086.37,601.25,2250.35
tls,single,mldsa87,p521_mlkem1024,hybride,L5,pq,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,560.419,191.297,541.376,585.66,bootstrap_blocs,543.651,577.187,516.835,690.231,1862.767,509.02,2216.78
tls,single,secp384r1,P-384,classique,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,372.322,143.178,359.673,384.971,bootstrap_blocs,359.772,384.872,348.73,354.895,1354.576,338.6,1865.01
tls,single,secp384r1,hqc192,pq_pur,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,496.189,193.201,474.666,529.796,bootstrap_blocs,479.254,513.124,443.655,802.265,1460.518,384.65,2131.79
tls,single,secp384r1,mlkem768,pq_pur,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,363.424,128.72,357.845,367.509,bootstrap_blocs,352.141,374.707,344.19,345.952,1194.226,337.36,1532.33
tls,single,secp384r1,p384_hqc192,hybride,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,488.16,158.95,452.383,524.985,bootstrap_blocs,474.227,502.092,450.87,638.966,1076.873,387.54,2206.62
tls,single,secp384r1,p384_mlkem768,hybride,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,407.471,206.275,388.783,424.835,bootstrap_blocs,389.39,425.552,362.58,518.934,1519.045,345.52,2053.53
tls,single,secp384r1,x448_hqc192,hybride,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,504.418,195.38,470.24,549.248,bootstrap_blocs,487.292,521.544,445.745,778.034,1627.949,385.59,1888.91
tls,single,secp384r1,x448_mlkem768,hybride,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,369.825,135.005,360.144,377.956,bootstrap_blocs,357.991,381.658,349.855,356.112,1349.511,339.02,1554.78
tls,single,secp384r1,x448,classique,L3,classique,simple_loss1.5833_delay83.52ms,500,500,0,100.0,4,4,371.037,140.916,359.988,382.085,bootstrap_blocs,358.685,383.389,346.66,348.71,1354.706,338.12,1383.76
