execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,711.74,1,3,4
2,TLS Single,547.27,1,3,4
3,TLS Single,568.19,1,3,4
4,TLS Single,568.03,1,3,4
5,TLS Single,574.67,1,3,4
6,TLS Single,948.8,1,3,4
7,TLS Single,568.93,1,3,4
8,TLS Single,564.45,1,3,4
9,TLS Single,551.26,1,3,4
10,TLS Single,569.99,1,3,4
11,TLS Single,543.43,1,3,4
12,TLS Single,544.17,1,3,4
13,TLS Single,570.07,1,3,4
14,TLS Single,549.62,1,3,4
15,TLS Single,564.66,1,3,4
16,TLS Single,535.57,1,3,4
17,TLS Single,573.12,1,3,4
18,TLS Single,571.2,1,3,4
19,TLS Single,549.92,1,3,4
20,TLS Single,571.27,1,3,4
21,TLS Single,710.15,1,3,4
22,TLS Single,562.67,1,3,4
23,TLS Single,545.27,1,3,4
24,TLS Single,546.17,1,3,4
25,TLS Single,566.87,1,3,4
26,TLS Single,545.1,1,3,4
27,TLS Single,1214.81,1,3,4
28,TLS Single,566.62,1,3,4
29,TLS Single,550.1,1,3,4
30,TLS Single,553.66,1,3,4
31,TLS Single,951.26,1,3,4
32,TLS Single,571.76,1,3,4
33,TLS Single,566.38,1,3,4
34,TLS Single,571.02,1,3,4
35,TLS Single,545.39,1,3,4
36,TLS Single,569.09,1,3,4
37,TLS Single,542.38,1,3,4
38,TLS Single,569.93,1,3,4
39,TLS Single,543.9,1,3,4
40,TLS Single,571.88,1,3,4
41,TLS Single,547.03,1,3,4
42,TLS Single,567.03,1,3,4
43,TLS Single,543.6,1,3,4
44,TLS Single,1222.06,1,3,4
45,TLS Single,543.67,1,3,4
46,TLS Single,567.9,1,3,4
47,TLS Single,567.54,1,3,4
48,TLS Single,543.6,1,3,4
49,TLS Single,547.81,1,3,4
50,TLS Single,567.51,1,3,4
51,TLS Single,569.96,1,3,4
52,TLS Single,545.88,1,3,4
53,TLS Single,550.33,1,3,4
54,TLS Single,545.72,1,3,4
55,TLS Single,544.59,1,3,4
56,TLS Single,547.25,1,3,4
57,TLS Single,566.54,1,3,4
58,TLS Single,565.97,1,3,4
59,TLS Single,551.35,1,3,4
60,TLS Single,569.04,1,3,4
61,TLS Single,566.97,1,3,4
62,TLS Single,546.34,1,3,4
63,TLS Single,544.31,1,3,4
64,TLS Single,1553.21,1,3,4
65,TLS Single,544.42,1,3,4
66,TLS Single,545.87,1,3,4
67,TLS Single,543.19,1,3,4
68,TLS Single,1217.38,1,3,4
69,TLS Single,573.66,1,3,4
70,TLS Single,568.99,1,3,4
71,TLS Single,567.74,1,3,4
72,TLS Single,544.86,1,3,4
73,TLS Single,547.64,1,3,4
74,TLS Single,568.79,1,3,4
75,TLS Single,544.99,1,3,4
76,TLS Single,576.9,1,3,4
77,TLS Single,571.99,1,3,4
78,TLS Single,544.32,1,3,4
79,TLS Single,547.07,1,3,4
80,TLS Single,594.19,1,3,4
81,TLS Single,562.98,1,3,4
82,TLS Single,544.8,1,3,4
83,TLS Single,538.74,1,3,4
84,TLS Single,573.43,1,3,4
85,TLS Single,575.69,1,3,4
86,TLS Single,568.38,1,3,4
87,TLS Single,742.14,1,3,4
88,TLS Single,574.27,1,3,4
89,TLS Single,569.51,1,3,4
90,TLS Single,544.05,1,3,4
91,TLS Single,711.42,1,3,4
92,TLS Single,543.83,1,3,4
93,TLS Single,543.41,1,3,4
94,TLS Single,551.27,1,3,4
95,TLS Single,1222.66,1,3,4
96,TLS Single,565.96,1,3,4
97,TLS Single,543.67,1,3,4
98,TLS Single,572.04,1,3,4
99,TLS Single,546.87,1,3,4
100,TLS Single,564.66,1,3,4
101,TLS Single,551.78,1,3,4
102,TLS Single,544.26,1,3,4
103,TLS Single,545.3,1,3,4
104,TLS Single,574.43,1,3,4
105,TLS Single,542.63,1,3,4
106,TLS Single,547.05,1,3,4
107,TLS Single,569.43,1,3,4
108,TLS Single,1889.49,1,3,4
109,TLS Single,547.77,1,3,4
110,TLS Single,533.27,1,3,4
111,TLS Single,620.34,1,3,4
112,TLS Single,564.08,1,3,4
113,TLS Single,571.53,1,3,4
114,TLS Single,569.31,1,3,4
115,TLS Single,544.29,1,3,4
116,TLS Single,570.28,1,3,4
117,TLS Single,547.05,1,3,4
118,TLS Single,543.14,1,3,4
119,TLS Single,573.53,1,3,4
120,TLS Single,548.0,1,3,4
121,TLS Single,579.27,1,3,4
122,TLS Single,543.81,1,3,4
123,TLS Single,543.17,1,3,4
124,TLS Single,542.64,1,3,4
125,TLS Single,576.66,1,3,4
