timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes,block_index,n_blocks,seed
2026-08-22T11:20:38+01:00,tls,single,ed25519,P-256,simple,server,125,516597,4132.776,6340608,1,4,3001
2026-08-22T11:20:38+01:00,tls,single,ed25519,P-256,simple,client,125,5777104,46216.832,4726784,1,4,3001
2026-08-22T11:22:18+01:00,tls,single,mldsa87,p521_mlkem1024,simple,server,125,1421818,11374.544,6844416,1,4,3001
2026-08-22T11:22:18+01:00,tls,single,mldsa87,p521_mlkem1024,simple,client,125,7965742,63725.936,5652480,1,4,3001
2026-08-22T11:23:55+01:00,tls,single,secp384r1,hqc192,simple,server,125,8675657,69405.256,6782976,1,4,3001
2026-08-22T11:23:55+01:00,tls,single,secp384r1,hqc192,simple,client,125,15618753,124950.024,5517312,1,4,3001
2026-08-22T11:26:15+01:00,tls,single,mldsa65,hqc192,simple,server,125,9191423,73531.384,6553600,1,4,3001
2026-08-22T11:26:15+01:00,tls,single,mldsa65,hqc192,simple,client,125,16993498,135947.984,5775360,1,4,3001
2026-08-22T11:27:46+01:00,tls,single,secp521r1,p521_mlkem1024,simple,server,125,1493706,11949.648,7405568,1,4,3001
2026-08-22T11:27:46+01:00,tls,single,secp521r1,p521_mlkem1024,simple,client,125,8188410,65507.280,5242880,1,4,3001
2026-08-22T11:29:10+01:00,tls,single,ed25519,x25519_hqc128,simple,server,125,3631463,29051.704,6488064,1,4,3001
2026-08-22T11:29:10+01:00,tls,single,ed25519,x25519_hqc128,simple,client,125,9829980,78639.840,5791744,1,4,3001
2026-08-22T11:30:27+01:00,tls,single,mldsa65,mlkem768,simple,server,125,590431,4723.448,6729728,1,4,3001
2026-08-22T11:30:27+01:00,tls,single,mldsa65,mlkem768,simple,client,125,5522088,44176.704,5767168,1,4,3001
2026-08-22T11:31:44+01:00,tls,single,mldsa65,x448,simple,server,125,755168,6041.344,7012352,1,4,3001
2026-08-22T11:31:44+01:00,tls,single,mldsa65,x448,simple,client,125,5884105,47072.840,5304320,1,4,3001
2026-08-22T11:33:05+01:00,tls,single,mldsa44,p256_mlkem512,simple,server,125,952171,7617.368,6787072,1,4,3001
2026-08-22T11:33:05+01:00,tls,single,mldsa44,p256_mlkem512,simple,client,125,7656554,61252.432,5615616,1,4,3001
2026-08-22T11:34:24+01:00,tls,single,mldsa44,P-256,simple,server,125,672526,5380.208,7540736,1,4,3001
2026-08-22T11:34:24+01:00,tls,single,mldsa44,P-256,simple,client,125,6215177,49721.416,5271552,1,4,3001
2026-08-22T11:35:50+01:00,tls,single,ed25519,hqc128,simple,server,125,4188772,33510.176,6475776,1,4,3001
2026-08-22T11:35:50+01:00,tls,single,ed25519,hqc128,simple,client,125,11581693,92653.544,5668864,1,4,3001
2026-08-22T11:37:09+01:00,tls,single,ed25519,p256_mlkem512,simple,server,125,1166203,9329.624,7299072,1,4,3001
2026-08-22T11:37:09+01:00,tls,single,ed25519,p256_mlkem512,simple,client,125,9124511,72996.088,5615616,1,4,3001
2026-08-22T11:38:41+01:00,tls,single,ed25519,p256_hqc128,simple,server,125,4633225,37065.800,6766592,1,4,3001
2026-08-22T11:38:41+01:00,tls,single,ed25519,p256_hqc128,simple,client,125,13374483,106995.864,5779456,1,4,3001
2026-08-22T11:40:18+01:00,tls,single,mldsa87,mlkem1024,simple,server,125,624943,4999.544,7110656,1,4,3001
2026-08-22T11:40:18+01:00,tls,single,mldsa87,mlkem1024,simple,client,125,6134182,49073.456,5570560,1,4,3001
2026-08-22T11:41:37+01:00,tls,single,mldsa65,x448_mlkem768,simple,server,125,997500,7980.000,6881280,1,4,3001
2026-08-22T11:41:37+01:00,tls,single,mldsa65,x448_mlkem768,simple,client,125,6791417,54331.336,6041600,1,4,3001
2026-08-22T11:42:52+01:00,tls,single,ed25519,x25519_mlkem512,simple,server,125,517276,4138.208,6557696,1,4,3001
2026-08-22T11:42:52+01:00,tls,single,ed25519,x25519_mlkem512,simple,client,125,5557254,44458.032,6094848,1,4,3001
2026-08-22T11:45:00+01:00,tls,single,secp521r1,hqc256,simple,server,125,16035600,128284.800,7024640,1,4,3001
2026-08-22T11:45:00+01:00,tls,single,secp521r1,hqc256,simple,client,125,22083616,176668.928,5701632,1,4,3001
2026-08-22T11:46:58+01:00,tls,single,mldsa65,p384_hqc192,simple,server,125,10483657,83869.256,6852608,1,4,3001
2026-08-22T11:46:58+01:00,tls,single,mldsa65,p384_hqc192,simple,client,125,20674962,165399.696,5398528,1,4,3001
2026-08-22T11:49:09+01:00,tls,single,secp521r1,p521_hqc256,simple,server,125,17008921,136071.368,6946816,1,4,3001
2026-08-22T11:49:09+01:00,tls,single,secp521r1,p521_hqc256,simple,client,125,23149812,185198.496,5558272,1,4,3001
2026-08-22T11:51:01+01:00,tls,single,mldsa65,x448_hqc192,simple,server,125,11051875,88415.000,7192576,1,4,3001
2026-08-22T11:51:01+01:00,tls,single,mldsa65,x448_hqc192,simple,client,125,19975134,159801.072,5849088,1,4,3001
2026-08-22T11:52:21+01:00,tls,single,secp384r1,P-384,simple,server,125,1054658,8437.264,6516736,1,4,3001
2026-08-22T11:52:21+01:00,tls,single,secp384r1,P-384,simple,client,125,7093105,56744.840,5685248,1,4,3001
2026-08-22T11:53:46+01:00,tls,single,mldsa65,p384_mlkem768,simple,server,125,1543607,12348.856,6836224,1,4,3001
2026-08-22T11:53:46+01:00,tls,single,mldsa65,p384_mlkem768,simple,client,125,9157069,73256.552,6107136,1,4,3001
2026-08-22T11:55:05+01:00,tls,single,secp384r1,x448_mlkem768,simple,server,125,1107951,8863.608,6844416,1,4,3001
2026-08-22T11:55:05+01:00,tls,single,secp384r1,x448_mlkem768,simple,client,125,7372848,58982.784,5885952,1,4,3001
2026-08-22T11:56:19+01:00,tls,single,mldsa44,mlkem512,simple,server,125,432974,3463.792,6549504,1,4,3001
2026-08-22T11:56:19+01:00,tls,single,mldsa44,mlkem512,simple,client,125,5163730,41309.840,5644288,1,4,3001
2026-08-22T11:58:32+01:00,tls,single,mldsa87,p521_hqc256,simple,server,125,17016397,136131.176,7008256,1,4,3001
2026-08-22T11:58:32+01:00,tls,single,mldsa87,p521_hqc256,simple,client,125,23574227,188593.816,5468160,1,4,3001
2026-08-22T12:00:13+01:00,tls,single,secp384r1,x448_hqc192,simple,server,125,11140823,89126.584,6459392,1,4,3001
2026-08-22T12:00:13+01:00,tls,single,secp384r1,x448_hqc192,simple,client,125,19613940,156911.520,5644288,1,4,3001
2026-08-22T12:01:35+01:00,tls,single,mldsa65,P-384,simple,server,125,924044,7392.352,7184384,1,4,3001
2026-08-22T12:01:35+01:00,tls,single,mldsa65,P-384,simple,client,125,6092839,48742.712,5533696,1,4,3001
2026-08-22T12:03:43+01:00,tls,single,mldsa87,hqc256,simple,server,125,15919507,127356.056,6692864,1,4,3001
2026-08-22T12:03:43+01:00,tls,single,mldsa87,hqc256,simple,client,125,21860239,174881.912,5992448,1,4,3001
2026-08-22T12:05:03+01:00,tls,single,secp384r1,p384_mlkem768,simple,server,125,1491378,11931.024,6983680,1,4,3001
