execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,17.77,1,4,4
2,TLS Single,17.61,1,4,4
3,TLS Single,2107.51,1,4,4
4,TLS Single,24.14,1,4,4
5,TLS Single,17.81,1,4,4
6,TLS Single,17.02,1,4,4
7,TLS Single,649.95,1,4,4
8,TLS Single,18.51,1,4,4
9,TLS Single,1489.96,1,4,4
10,TLS Single,1096.28,1,4,4
11,TLS Single,17.57,1,4,4
12,TLS Single,17.36,1,4,4
13,TLS Single,16.67,1,4,4
14,TLS Single,17.18,1,4,4
15,TLS Single,17.15,1,4,4
16,TLS Single,17.15,1,4,4
17,TLS Single,16.96,1,4,4
18,TLS Single,17.59,1,4,4
19,TLS Single,17.1,1,4,4
20,TLS Single,17.22,1,4,4
21,TLS Single,17.76,1,4,4
22,TLS Single,17.26,1,4,4
23,TLS Single,16.62,1,4,4
24,TLS Single,1086.86,1,4,4
25,TLS Single,18.75,1,4,4
26,TLS Single,18.92,1,4,4
27,TLS Single,17.27,1,4,4
28,TLS Single,17.07,1,4,4
29,TLS Single,1221.78,1,4,4
30,TLS Single,29.79,1,4,4
31,TLS Single,17.87,1,4,4
32,TLS Single,17.45,1,4,4
33,TLS Single,215.12,1,4,4
34,TLS Single,30.08,1,4,4
35,TLS Single,224.97,1,4,4
36,TLS Single,21.04,1,4,4
37,TLS Single,21.67,1,4,4
38,TLS Single,18.45,1,4,4
39,TLS Single,640.27,1,4,4
40,TLS Single,31.5,1,4,4
41,TLS Single,20.55,1,4,4
42,TLS Single,20.42,1,4,4
43,TLS Single,1072.44,1,4,4
44,TLS Single,1073.94,1,4,4
45,TLS Single,20.55,1,4,4
46,TLS Single,17.93,1,4,4
47,TLS Single,17.4,1,4,4
48,TLS Single,17.26,1,4,4
49,TLS Single,16.65,1,4,4
50,TLS Single,1061.25,1,4,4
51,TLS Single,1280.59,1,4,4
52,TLS Single,18.48,1,4,4
53,TLS Single,18.77,1,4,4
54,TLS Single,429.39,1,4,4
55,TLS Single,25.22,1,4,4
56,TLS Single,850.59,1,4,4
57,TLS Single,19.51,1,4,4
58,TLS Single,1442.97,1,4,4
59,TLS Single,1042.48,1,4,4
60,TLS Single,18.85,1,4,4
61,TLS Single,18.87,1,4,4
62,TLS Single,429.24,1,4,4
63,TLS Single,23.19,1,4,4
64,TLS Single,247.72,1,4,4
65,TLS Single,17.89,1,4,4
66,TLS Single,220.21,1,4,4
67,TLS Single,29.2,1,4,4
68,TLS Single,17.9,1,4,4
69,TLS Single,1094.47,1,4,4
70,TLS Single,220.02,1,4,4
71,TLS Single,1056.86,1,4,4
72,TLS Single,216.43,1,4,4
73,TLS Single,21.89,1,4,4
74,TLS Single,19.99,1,4,4
75,TLS Single,217.28,1,4,4
76,TLS Single,29.31,1,4,4
77,TLS Single,19.2,1,4,4
78,TLS Single,19.82,1,4,4
79,TLS Single,1678.45,1,4,4
80,TLS Single,19.4,1,4,4
81,TLS Single,18.24,1,4,4
82,TLS Single,1447.13,1,4,4
83,TLS Single,18.42,1,4,4
84,TLS Single,427.19,1,4,4
85,TLS Single,27.57,1,4,4
86,TLS Single,6409.63,1,4,4
87,TLS Single,20.34,1,4,4
88,TLS Single,18.31,1,4,4
89,TLS Single,18.12,1,4,4
90,TLS Single,18.59,1,4,4
91,TLS Single,217.66,1,4,4
92,TLS Single,36.15,1,4,4
93,TLS Single,18.66,1,4,4
94,TLS Single,217.92,1,4,4
95,TLS Single,217.49,1,4,4
96,TLS Single,23.3,1,4,4
97,TLS Single,17.74,1,4,4
98,TLS Single,423.79,1,4,4
99,TLS Single,222.56,1,4,4
100,TLS Single,22.25,1,4,4
101,TLS Single,22.4,1,4,4
102,TLS Single,19.09,1,4,4
103,TLS Single,1080.85,1,4,4
104,TLS Single,18.94,1,4,4
105,TLS Single,245.93,1,4,4
106,TLS Single,18.57,1,4,4
107,TLS Single,17.89,1,4,4
108,TLS Single,17.09,1,4,4
109,TLS Single,213.63,1,4,4
110,TLS Single,253.55,1,4,4
111,TLS Single,1084.62,1,4,4
112,TLS Single,18.36,1,4,4
113,TLS Single,18.12,1,4,4
114,TLS Single,1509.25,1,4,4
115,TLS Single,2525.33,1,4,4
116,TLS Single,18.45,1,4,4
117,TLS Single,1066.78,1,4,4
118,TLS Single,18.17,1,4,4
119,TLS Single,19.51,1,4,4
120,TLS Single,1081.27,1,4,4
121,TLS Single,651.03,1,4,4
122,TLS Single,18.12,1,4,4
123,TLS Single,242.4,1,4,4
124,TLS Single,41.34,1,4,4
125,TLS Single,21.48,1,4,4
