execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,9.19,1,3,4
2,TLS Single,11.08,1,3,4
3,TLS Single,1041.64,1,3,4
4,TLS Single,9.98,1,3,4
5,TLS Single,629.57,1,3,4
6,TLS Single,225.25,1,3,4
7,TLS Single,227.1,1,3,4
8,TLS Single,13.85,1,3,4
9,TLS Single,220.4,1,3,4
10,TLS Single,1025.05,1,3,4
11,TLS Single,11.73,1,3,4
12,TLS Single,9.25,1,3,4
13,TLS Single,7.64,1,3,4
14,TLS Single,3362.42,1,3,4
15,TLS Single,12.3,1,3,4
16,TLS Single,9.93,1,3,4
17,TLS Single,3277.83,1,3,4
18,TLS Single,1257.64,1,3,4
19,TLS Single,13.37,1,3,4
20,TLS Single,1083.89,1,3,4
21,TLS Single,13.72,1,3,4
22,TLS Single,8.1,1,3,4
23,TLS Single,1060.41,1,3,4
24,TLS Single,10.31,1,3,4
25,TLS Single,223.33,1,3,4
26,TLS Single,12.98,1,3,4
27,TLS Single,9.33,1,3,4
28,TLS Single,2074.8,1,3,4
29,TLS Single,7.62,1,3,4
30,TLS Single,7.33,1,3,4
31,TLS Single,7.2,1,3,4
32,TLS Single,7.05,1,3,4
33,TLS Single,7.03,1,3,4
34,TLS Single,7.15,1,3,4
35,TLS Single,7.3,1,3,4
36,TLS Single,8.94,1,3,4
37,TLS Single,7.94,1,3,4
38,TLS Single,8.04,1,3,4
39,TLS Single,7.4,1,3,4
40,TLS Single,7.05,1,3,4
41,TLS Single,6.94,1,3,4
42,TLS Single,1027.65,1,3,4
43,TLS Single,1011.6,1,3,4
44,TLS Single,7.11,1,3,4
45,TLS Single,7.04,1,3,4
46,TLS Single,214.26,1,3,4
47,TLS Single,213.5,1,3,4
48,TLS Single,8.39,1,3,4
49,TLS Single,8.0,1,3,4
50,TLS Single,8.03,1,3,4
51,TLS Single,11.72,1,3,4
52,TLS Single,7.74,1,3,4
53,TLS Single,7.8,1,3,4
54,TLS Single,7.83,1,3,4
55,TLS Single,7.91,1,3,4
56,TLS Single,7.83,1,3,4
57,TLS Single,10.12,1,3,4
58,TLS Single,8.03,1,3,4
59,TLS Single,7.28,1,3,4
60,TLS Single,1446.87,1,3,4
61,TLS Single,8.34,1,3,4
62,TLS Single,9.72,1,3,4
63,TLS Single,8.52,1,3,4
64,TLS Single,220.96,1,3,4
65,TLS Single,9.99,1,3,4
66,TLS Single,8.44,1,3,4
67,TLS Single,9.25,1,3,4
68,TLS Single,7.37,1,3,4
69,TLS Single,7.34,1,3,4
70,TLS Single,11.28,1,3,4
71,TLS Single,7.42,1,3,4
72,TLS Single,11.29,1,3,4
73,TLS Single,7.34,1,3,4
74,TLS Single,7.42,1,3,4
75,TLS Single,7.17,1,3,4
76,TLS Single,1060.88,1,3,4
77,TLS Single,8.86,1,3,4
78,TLS Single,9.32,1,3,4
79,TLS Single,8.21,1,3,4
80,TLS Single,7.08,1,3,4
81,TLS Single,1468.77,1,3,4
82,TLS Single,1426.82,1,3,4
83,TLS Single,8.17,1,3,4
84,TLS Single,7.77,1,3,4
85,TLS Single,7.22,1,3,4
86,TLS Single,7.04,1,3,4
87,TLS Single,6.99,1,3,4
88,TLS Single,7.11,1,3,4
89,TLS Single,7.05,1,3,4
90,TLS Single,6.86,1,3,4
91,TLS Single,6.89,1,3,4
92,TLS Single,6.85,1,3,4
93,TLS Single,7.38,1,3,4
94,TLS Single,6.92,1,3,4
95,TLS Single,6.76,1,3,4
96,TLS Single,6.77,1,3,4
97,TLS Single,6.83,1,3,4
98,TLS Single,1042.81,1,3,4
99,TLS Single,1074.6,1,3,4
100,TLS Single,1276.74,1,3,4
101,TLS Single,10.17,1,3,4
102,TLS Single,8.12,1,3,4
103,TLS Single,7.12,1,3,4
104,TLS Single,1062.41,1,3,4
105,TLS Single,12.21,1,3,4
106,TLS Single,13.12,1,3,4
107,TLS Single,12.09,1,3,4
108,TLS Single,11.9,1,3,4
109,TLS Single,7.39,1,3,4
110,TLS Single,11.22,1,3,4
111,TLS Single,2071.69,1,3,4
112,TLS Single,1276.56,1,3,4
113,TLS Single,3108.33,1,3,4
114,TLS Single,10.87,1,3,4
115,TLS Single,7.26,1,3,4
116,TLS Single,7.11,1,3,4
117,TLS Single,11.09,1,3,4
118,TLS Single,7.81,1,3,4
119,TLS Single,1021.71,1,3,4
120,TLS Single,8.52,1,3,4
121,TLS Single,222.34,1,3,4
122,TLS Single,14.2,1,3,4
123,TLS Single,7.3,1,3,4
124,TLS Single,7.34,1,3,4
125,TLS Single,7.25,1,3,4
