execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,17.78,1,1,4
2,TLS Single,17.15,1,1,4
3,TLS Single,422.34,1,1,4
4,TLS Single,25.64,1,1,4
5,TLS Single,246.85,1,1,4
6,TLS Single,1270.48,1,1,4
7,TLS Single,1119.35,1,1,4
8,TLS Single,247.0,1,1,4
9,TLS Single,19.05,1,1,4
10,TLS Single,1095.33,1,1,4
11,TLS Single,17.89,1,1,4
12,TLS Single,18.0,1,1,4
13,TLS Single,17.64,1,1,4
14,TLS Single,17.61,1,1,4
15,TLS Single,220.48,1,1,4
16,TLS Single,24.33,1,1,4
17,TLS Single,18.43,1,1,4
18,TLS Single,18.25,1,1,4
19,TLS Single,18.82,1,1,4
20,TLS Single,17.88,1,1,4
21,TLS Single,17.75,1,1,4
22,TLS Single,1100.16,1,1,4
23,TLS Single,245.2,1,1,4
24,TLS Single,32.47,1,1,4
25,TLS Single,32.38,1,1,4
26,TLS Single,221.23,1,1,4
27,TLS Single,1292.67,1,1,4
28,TLS Single,18.55,1,1,4
29,TLS Single,18.04,1,1,4
30,TLS Single,241.62,1,1,4
31,TLS Single,18.57,1,1,4
32,TLS Single,18.2,1,1,4
33,TLS Single,424.79,1,1,4
34,TLS Single,1693.71,1,1,4
35,TLS Single,26.39,1,1,4
36,TLS Single,18.34,1,1,4
37,TLS Single,17.22,1,1,4
38,TLS Single,17.36,1,1,4
39,TLS Single,17.86,1,1,4
40,TLS Single,1071.46,1,1,4
41,TLS Single,18.73,1,1,4
42,TLS Single,18.37,1,1,4
43,TLS Single,27228.68,1,1,4
44,TLS Single,32.08,1,1,4
45,TLS Single,23.28,1,1,4
46,TLS Single,17.05,1,1,4
47,TLS Single,19.48,1,1,4
48,TLS Single,19.11,1,1,4
49,TLS Single,18.56,1,1,4
50,TLS Single,1087.32,1,1,4
51,TLS Single,18.55,1,1,4
52,TLS Single,18.29,1,1,4
53,TLS Single,17.19,1,1,4
54,TLS Single,16.65,1,1,4
55,TLS Single,1297.71,1,1,4
56,TLS Single,18.75,1,1,4
57,TLS Single,18.56,1,1,4
58,TLS Single,247.94,1,1,4
59,TLS Single,38.08,1,1,4
60,TLS Single,33.53,1,1,4
61,TLS Single,19.9,1,1,4
62,TLS Single,18.18,1,1,4
63,TLS Single,18.56,1,1,4
64,TLS Single,18.51,1,1,4
65,TLS Single,17.46,1,1,4
66,TLS Single,17.13,1,1,4
67,TLS Single,17.1,1,1,4
68,TLS Single,17.7,1,1,4
69,TLS Single,17.25,1,1,4
70,TLS Single,17.43,1,1,4
71,TLS Single,222.48,1,1,4
72,TLS Single,23.9,1,1,4
73,TLS Single,218.91,1,1,4
74,TLS Single,1939.61,1,1,4
75,TLS Single,1506.56,1,1,4
76,TLS Single,221.57,1,1,4
77,TLS Single,29.51,1,1,4
78,TLS Single,22.0,1,1,4
79,TLS Single,21.67,1,1,4
80,TLS Single,18.17,1,1,4
81,TLS Single,18.51,1,1,4
82,TLS Single,1118.85,1,1,4
83,TLS Single,1060.42,1,1,4
84,TLS Single,17.92,1,1,4
85,TLS Single,16.68,1,1,4
86,TLS Single,1704.85,1,1,4
87,TLS Single,18.77,1,1,4
88,TLS Single,832.09,1,1,4
89,TLS Single,842.21,1,1,4
90,TLS Single,659.71,1,1,4
91,TLS Single,19.2,1,1,4
92,TLS Single,18.11,1,1,4
93,TLS Single,18.04,1,1,4
94,TLS Single,2342.06,1,1,4
95,TLS Single,26.0,1,1,4
96,TLS Single,18.5,1,1,4
97,TLS Single,18.05,1,1,4
98,TLS Single,17.2,1,1,4
99,TLS Single,17.02,1,1,4
100,TLS Single,17.43,1,1,4
101,TLS Single,1033.95,1,1,4
102,TLS Single,256.57,1,1,4
103,TLS Single,1268.23,1,1,4
104,TLS Single,18.85,1,1,4
105,TLS Single,18.37,1,1,4
106,TLS Single,18.31,1,1,4
107,TLS Single,18.01,1,1,4
108,TLS Single,251.99,1,1,4
109,TLS Single,18.61,1,1,4
110,TLS Single,18.36,1,1,4
111,TLS Single,17.25,1,1,4
112,TLS Single,17.81,1,1,4
113,TLS Single,16.79,1,1,4
114,TLS Single,17.19,1,1,4
115,TLS Single,247.84,1,1,4
116,TLS Single,18.73,1,1,4
117,TLS Single,18.08,1,1,4
118,TLS Single,17.75,1,1,4
119,TLS Single,18.0,1,1,4
120,TLS Single,17.64,1,1,4
121,TLS Single,249.16,1,1,4
122,TLS Single,31.75,1,1,4
123,TLS Single,17.9,1,1,4
124,TLS Single,18.22,1,1,4
125,TLS Single,18.6,1,1,4
