execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,1.81,1,3,4
2,TLS Single,1.72,1,3,4
3,TLS Single,2.01,1,3,4
4,TLS Single,1015.5,1,3,4
5,TLS Single,1.83,1,3,4
6,TLS Single,1.9,1,3,4
7,TLS Single,5.55,1,3,4
8,TLS Single,624.52,1,3,4
9,TLS Single,2.06,1,3,4
10,TLS Single,1.82,1,3,4
11,TLS Single,1873.74,1,3,4
12,TLS Single,211.69,1,3,4
13,TLS Single,1.94,1,3,4
14,TLS Single,1029.23,1,3,4
15,TLS Single,1064.78,1,3,4
16,TLS Single,1277.97,1,3,4
17,TLS Single,2.1,1,3,4
18,TLS Single,1.86,1,3,4
19,TLS Single,1.91,1,3,4
20,TLS Single,1.98,1,3,4
21,TLS Single,1.94,1,3,4
22,TLS Single,1.89,1,3,4
23,TLS Single,1.67,1,3,4
24,TLS Single,1.66,1,3,4
25,TLS Single,217.08,1,3,4
26,TLS Single,1066.98,1,3,4
27,TLS Single,3.37,1,3,4
28,TLS Single,213.99,1,3,4
29,TLS Single,213.51,1,3,4
30,TLS Single,1.88,1,3,4
31,TLS Single,1.87,1,3,4
32,TLS Single,211.09,1,3,4
33,TLS Single,2.49,1,3,4
34,TLS Single,4132.58,1,3,4
35,TLS Single,1.84,1,3,4
36,TLS Single,2078.61,1,3,4
37,TLS Single,1.9,1,3,4
38,TLS Single,2.27,1,3,4
39,TLS Single,1029.18,1,3,4
40,TLS Single,1.88,1,3,4
41,TLS Single,2498.69,1,3,4
42,TLS Single,1461.31,1,3,4
43,TLS Single,1033.85,1,3,4
44,TLS Single,3.87,1,3,4
45,TLS Single,2.64,1,3,4
46,TLS Single,1.78,1,3,4
47,TLS Single,1.67,1,3,4
48,TLS Single,5.1,1,3,4
49,TLS Single,1.61,1,3,4
50,TLS Single,1.58,1,3,4
51,TLS Single,1.53,1,3,4
52,TLS Single,1279.74,1,3,4
53,TLS Single,2.28,1,3,4
54,TLS Single,419.5,1,3,4
55,TLS Single,1.88,1,3,4
56,TLS Single,1.91,1,3,4
57,TLS Single,209.72,1,3,4
58,TLS Single,620.24,1,3,4
59,TLS Single,2064.1,1,3,4
60,TLS Single,1057.62,1,3,4
61,TLS Single,1.82,1,3,4
62,TLS Single,420.15,1,3,4
63,TLS Single,214.98,1,3,4
64,TLS Single,6.54,1,3,4
65,TLS Single,6.3,1,3,4
66,TLS Single,2.03,1,3,4
67,TLS Single,208.82,1,3,4
68,TLS Single,2.5,1,3,4
69,TLS Single,2.23,1,3,4
70,TLS Single,2.33,1,3,4
71,TLS Single,1.79,1,3,4
72,TLS Single,212.77,1,3,4
73,TLS Single,3.96,1,3,4
74,TLS Single,2.31,1,3,4
75,TLS Single,2.75,1,3,4
76,TLS Single,2.91,1,3,4
77,TLS Single,2.48,1,3,4
78,TLS Single,619.45,1,3,4
79,TLS Single,1.86,1,3,4
80,TLS Single,1.9,1,3,4
81,TLS Single,216.1,1,3,4
82,TLS Single,217.3,1,3,4
83,TLS Single,3.19,1,3,4
84,TLS Single,1.64,1,3,4
85,TLS Single,1.75,1,3,4
86,TLS Single,206.43,1,3,4
87,TLS Single,211.46,1,3,4
88,TLS Single,1021.87,1,3,4
89,TLS Single,3.81,1,3,4
90,TLS Single,2.24,1,3,4
91,TLS Single,6.75,1,3,4
92,TLS Single,1256.55,1,3,4
93,TLS Single,1.88,1,3,4
94,TLS Single,1.97,1,3,4
95,TLS Single,1231.63,1,3,4
96,TLS Single,7.3,1,3,4
97,TLS Single,1016.31,1,3,4
98,TLS Single,213.83,1,3,4
99,TLS Single,2.15,1,3,4
100,TLS Single,2.16,1,3,4
101,TLS Single,1.74,1,3,4
102,TLS Single,207.17,1,3,4
103,TLS Single,3.46,1,3,4
104,TLS Single,830.41,1,3,4
105,TLS Single,1.86,1,3,4
106,TLS Single,1.85,1,3,4
107,TLS Single,2.3,1,3,4
108,TLS Single,1.6,1,3,4
109,TLS Single,1.75,1,3,4
110,TLS Single,1018.75,1,3,4
111,TLS Single,2.18,1,3,4
112,TLS Single,2.12,1,3,4
113,TLS Single,1.62,1,3,4
114,TLS Single,623.19,1,3,4
115,TLS Single,3.07,1,3,4
116,TLS Single,1.71,1,3,4
117,TLS Single,425.12,1,3,4
118,TLS Single,1.87,1,3,4
119,TLS Single,1236.99,1,3,4
120,TLS Single,2.12,1,3,4
121,TLS Single,2.12,1,3,4
122,TLS Single,2.15,1,3,4
123,TLS Single,416.67,1,3,4
124,TLS Single,215.19,1,3,4
125,TLS Single,2.23,1,3,4
