execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,1048.9,1,2,4
2,TLS Single,224.31,1,2,4
3,TLS Single,27.65,1,2,4
4,TLS Single,18.56,1,2,4
5,TLS Single,1079.25,1,2,4
6,TLS Single,18.21,1,2,4
7,TLS Single,246.23,1,2,4
8,TLS Single,429.8,1,2,4
9,TLS Single,25.06,1,2,4
10,TLS Single,1661.56,1,2,4
11,TLS Single,229.58,1,2,4
12,TLS Single,31.67,1,2,4
13,TLS Single,1234.87,1,2,4
14,TLS Single,19.0,1,2,4
15,TLS Single,20.18,1,2,4
16,TLS Single,16.18,1,2,4
17,TLS Single,16.22,1,2,4
18,TLS Single,16.02,1,2,4
19,TLS Single,1049.69,1,2,4
20,TLS Single,1298.96,1,2,4
21,TLS Single,20.06,1,2,4
22,TLS Single,17.11,1,2,4
23,TLS Single,16.33,1,2,4
24,TLS Single,212.64,1,2,4
25,TLS Single,18.94,1,2,4
26,TLS Single,17.71,1,2,4
27,TLS Single,242.59,1,2,4
28,TLS Single,1039.92,1,2,4
29,TLS Single,23.74,1,2,4
30,TLS Single,2906.91,1,2,4
31,TLS Single,221.92,1,2,4
32,TLS Single,1042.03,1,2,4
33,TLS Single,1075.54,1,2,4
34,TLS Single,20.32,1,2,4
35,TLS Single,17.59,1,2,4
36,TLS Single,17.41,1,2,4
37,TLS Single,16.93,1,2,4
38,TLS Single,1640.26,1,2,4
39,TLS Single,222.63,1,2,4
40,TLS Single,1046.47,1,2,4
41,TLS Single,18.1,1,2,4
42,TLS Single,629.17,1,2,4
43,TLS Single,19.5,1,2,4
44,TLS Single,18.51,1,2,4
45,TLS Single,16.49,1,2,4
46,TLS Single,15.91,1,2,4
47,TLS Single,15.72,1,2,4
48,TLS Single,839.36,1,2,4
49,TLS Single,631.62,1,2,4
50,TLS Single,1100.48,1,2,4
51,TLS Single,18.23,1,2,4
52,TLS Single,219.84,1,2,4
53,TLS Single,228.19,1,2,4
54,TLS Single,20.23,1,2,4
55,TLS Single,1046.04,1,2,4
56,TLS Single,18.66,1,2,4
57,TLS Single,16.74,1,2,4
58,TLS Single,218.69,1,2,4
59,TLS Single,1039.29,1,2,4
60,TLS Single,17.54,1,2,4
61,TLS Single,17.55,1,2,4
62,TLS Single,17.61,1,2,4
63,TLS Single,17.53,1,2,4
64,TLS Single,241.48,1,2,4
65,TLS Single,1071.45,1,2,4
66,TLS Single,22.78,1,2,4
67,TLS Single,22.75,1,2,4
68,TLS Single,1697.76,1,2,4
69,TLS Single,1093.38,1,2,4
70,TLS Single,17.46,1,2,4
71,TLS Single,1034.94,1,2,4
72,TLS Single,18.15,1,2,4
73,TLS Single,6404.53,1,2,4
74,TLS Single,1708.42,1,2,4
75,TLS Single,22.31,1,2,4
76,TLS Single,427.6,1,2,4
77,TLS Single,29.33,1,2,4
78,TLS Single,222.98,1,2,4
79,TLS Single,27.86,1,2,4
80,TLS Single,17.19,1,2,4
81,TLS Single,620.36,1,2,4
82,TLS Single,221.87,1,2,4
83,TLS Single,20.22,1,2,4
84,TLS Single,20.43,1,2,4
85,TLS Single,20.54,1,2,4
86,TLS Single,20.38,1,2,4
87,TLS Single,20.37,1,2,4
88,TLS Single,222.23,1,2,4
89,TLS Single,1241.2,1,2,4
90,TLS Single,1257.93,1,2,4
91,TLS Single,32.35,1,2,4
92,TLS Single,16.57,1,2,4
93,TLS Single,15.92,1,2,4
94,TLS Single,16.27,1,2,4
95,TLS Single,426.59,1,2,4
96,TLS Single,20.81,1,2,4
97,TLS Single,1456.94,1,2,4
98,TLS Single,18.38,1,2,4
99,TLS Single,1057.88,1,2,4
100,TLS Single,18.11,1,2,4
101,TLS Single,17.45,1,2,4
102,TLS Single,16.01,1,2,4
103,TLS Single,15.59,1,2,4
104,TLS Single,15.48,1,2,4
105,TLS Single,15.53,1,2,4
106,TLS Single,1050.62,1,2,4
107,TLS Single,235.22,1,2,4
108,TLS Single,19.54,1,2,4
109,TLS Single,17.55,1,2,4
110,TLS Single,16.29,1,2,4
111,TLS Single,15.85,1,2,4
112,TLS Single,627.92,1,2,4
113,TLS Single,1032.61,1,2,4
114,TLS Single,18.7,1,2,4
115,TLS Single,1285.33,1,2,4
116,TLS Single,19.28,1,2,4
117,TLS Single,17.41,1,2,4
118,TLS Single,17.02,1,2,4
119,TLS Single,1060.35,1,2,4
120,TLS Single,1078.56,1,2,4
121,TLS Single,218.23,1,2,4
122,TLS Single,27.02,1,2,4
123,TLS Single,222.55,1,2,4
124,TLS Single,24.37,1,2,4
125,TLS Single,17.35,1,2,4
