execution,mode,handshake_duration_ms,success
1,TLS Single,4.26,1
2,TLS Single,1263.0,1
3,TLS Single,5.35,1
4,TLS Single,8.23,1
5,TLS Single,6.51,1
6,TLS Single,1218.13,1
7,TLS Single,6.41,1
8,TLS Single,5.91,1
9,TLS Single,5.52,1
10,TLS Single,2268.61,1
11,TLS Single,5.77,1
12,TLS Single,834.76,1
13,TLS Single,8.84,1
14,TLS Single,6.79,1
15,TLS Single,5.6,1
16,TLS Single,5.16,1
17,TLS Single,5.7,1
18,TLS Single,8.89,1
19,TLS Single,5.6,1
20,TLS Single,1066.93,1
21,TLS Single,6.02,1
22,TLS Single,5.87,1
23,TLS Single,2.88,1
24,TLS Single,3.42,1
25,TLS Single,2.56,1
26,TLS Single,1226.84,1
27,TLS Single,1028.57,1
28,TLS Single,219.77,1
29,TLS Single,7187.57,1
30,TLS Single,7.48,1
31,TLS Single,1268.32,1
32,TLS Single,10.88,1
33,TLS Single,13.02,1
34,TLS Single,6.17,1
35,TLS Single,1060.34,1
36,TLS Single,6.62,1
37,TLS Single,7.23,1
38,TLS Single,5.69,1
39,TLS Single,1247.81,1
40,TLS Single,6.52,1
41,TLS Single,5.97,1
42,TLS Single,5.61,1
43,TLS Single,6.36,1
44,TLS Single,6.36,1
45,TLS Single,6.63,1
46,TLS Single,1064.66,1
47,TLS Single,5.93,1
48,TLS Single,6.49,1
49,TLS Single,1425.91,1
50,TLS Single,6.05,1
51,TLS Single,6.18,1
52,TLS Single,1053.44,1
53,TLS Single,1046.76,1
54,TLS Single,6.16,1
55,TLS Single,11.2,1
56,TLS Single,7.44,1
57,TLS Single,1237.42,1
58,TLS Single,7.82,1
59,TLS Single,6.67,1
60,TLS Single,5.51,1
61,TLS Single,5.69,1
62,TLS Single,5.92,1
63,TLS Single,9.02,1
64,TLS Single,208.32,1
65,TLS Single,5.83,1
66,TLS Single,5.51,1
67,TLS Single,7.54,1
68,TLS Single,425.65,1
69,TLS Single,6.07,1
70,TLS Single,5.58,1
71,TLS Single,4339.68,1
72,TLS Single,6.02,1
73,TLS Single,7.44,1
74,TLS Single,624.9,1
75,TLS Single,5.87,1
76,TLS Single,6.57,1
77,TLS Single,5.85,1
78,TLS Single,6.22,1
79,TLS Single,6.64,1
80,TLS Single,4.06,1
81,TLS Single,2480.15,1
82,TLS Single,6.6,1
83,TLS Single,10.19,1
84,TLS Single,8.19,1
85,TLS Single,7.06,1
86,TLS Single,2.96,1
87,TLS Single,3.42,1
88,TLS Single,4.16,1
89,TLS Single,6.78,1
90,TLS Single,2.74,1
91,TLS Single,1063.19,1
92,TLS Single,5.76,1
93,TLS Single,5.91,1
94,TLS Single,9.17,1
95,TLS Single,6.04,1
96,TLS Single,6.58,1
97,TLS Single,217.94,1
98,TLS Single,5.71,1
99,TLS Single,5.55,1
100,TLS Single,6.07,1
101,TLS Single,2281.28,1
102,TLS Single,5.68,1
103,TLS Single,6.17,1
104,TLS Single,1215.42,1
105,TLS Single,5.93,1
106,TLS Single,7.16,1
107,TLS Single,10.31,1
108,TLS Single,6.03,1
109,TLS Single,5.45,1
110,TLS Single,6.2,1
111,TLS Single,1272.45,1
112,TLS Single,6.52,1
113,TLS Single,6.11,1
114,TLS Single,1068.9,1
115,TLS Single,1251.83,1
116,TLS Single,6.07,1
117,TLS Single,7.12,1
118,TLS Single,6.33,1
119,TLS Single,6.03,1
120,TLS Single,6.39,1
121,TLS Single,2.82,1
122,TLS Single,2.73,1
123,TLS Single,417.26,1
124,TLS Single,5.92,1
125,TLS Single,5.68,1
126,TLS Single,6.36,1
127,TLS Single,10.15,1
128,TLS Single,8.44,1
129,TLS Single,620.77,1
130,TLS Single,5.98,1
131,TLS Single,5.67,1
132,TLS Single,6.09,1
133,TLS Single,5.46,1
134,TLS Single,5.46,1
135,TLS Single,5.69,1
136,TLS Single,5.22,1
137,TLS Single,6.72,1
138,TLS Single,5.88,1
139,TLS Single,218.25,1
140,TLS Single,6.09,1
141,TLS Single,5.7,1
142,TLS Single,5.87,1
143,TLS Single,5.95,1
144,TLS Single,5.65,1
145,TLS Single,5.58,1
146,TLS Single,2677.79,1
147,TLS Single,3097.74,1
148,TLS Single,6.04,1
149,TLS Single,1068.3,1
150,TLS Single,1044.15,1
151,TLS Single,5.25,1
152,TLS Single,213.69,1
153,TLS Single,5.73,1
154,TLS Single,1019.08,1
155,TLS Single,1255.5,1
156,TLS Single,7.51,1
157,TLS Single,1256.46,1
158,TLS Single,5.65,1
159,TLS Single,6.03,1
160,TLS Single,419.64,1
161,TLS Single,2081.99,1
162,TLS Single,1256.47,1
163,TLS Single,1443.74,1
164,TLS Single,6.58,1
165,TLS Single,6.29,1
166,TLS Single,5.4,1
167,TLS Single,6.55,1
168,TLS Single,219.65,1
169,TLS Single,1014.65,1
170,TLS Single,6.09,1
171,TLS Single,6.88,1
172,TLS Single,1015.74,1
173,TLS Single,5.74,1
174,TLS Single,1273.66,1
175,TLS Single,5.63,1
176,TLS Single,6.66,1
177,TLS Single,6.46,1
178,TLS Single,7.07,1
179,TLS Single,1484.41,1
180,TLS Single,6.0,1
181,TLS Single,5.33,1
182,TLS Single,3.47,1
183,TLS Single,2.62,1
184,TLS Single,2.54,1
185,TLS Single,1437.91,1
186,TLS Single,5.46,1
187,TLS Single,5.92,1
188,TLS Single,6.99,1
189,TLS Single,10.7,1
190,TLS Single,6.52,1
191,TLS Single,5.47,1
192,TLS Single,5.38,1
193,TLS Single,2.36,1
194,TLS Single,2.27,1
195,TLS Single,2.33,1
196,TLS Single,830.49,1
197,TLS Single,5.86,1
198,TLS Single,6.97,1
199,TLS Single,217.79,1
200,TLS Single,7.09,1
201,TLS Single,6.72,1
202,TLS Single,1058.37,1
203,TLS Single,5.74,1
204,TLS Single,5.47,1
205,TLS Single,7.7,1
206,TLS Single,6.23,1
207,TLS Single,5.38,1
208,TLS Single,7.49,1
209,TLS Single,5.26,1
210,TLS Single,2.68,1
211,TLS Single,3.3,1
212,TLS Single,2.49,1
213,TLS Single,1056.95,1
214,TLS Single,1429.37,1
215,TLS Single,6.57,1
216,TLS Single,1040.26,1
217,TLS Single,6.83,1
218,TLS Single,9.54,1
219,TLS Single,1030.53,1
220,TLS Single,7.44,1
221,TLS Single,8.12,1
222,TLS Single,1009.96,1
223,TLS Single,2067.16,1
224,TLS Single,5.72,1
225,TLS Single,8.01,1
226,TLS Single,6.13,1
227,TLS Single,9.89,1
228,TLS Single,1050.44,1
229,TLS Single,5.46,1
230,TLS Single,6.76,1
231,TLS Single,7.64,1
232,TLS Single,216.0,1
233,TLS Single,11.37,1
234,TLS Single,6.01,1
235,TLS Single,1066.44,1
236,TLS Single,6.19,1
237,TLS Single,5.77,1
238,TLS Single,1014.52,1
239,TLS Single,6.53,1
240,TLS Single,9.83,1
241,TLS Single,6.21,1
242,TLS Single,6.06,1
243,TLS Single,5.45,1
244,TLS Single,1432.66,1
245,TLS Single,5.96,1
246,TLS Single,1028.92,1
247,TLS Single,1663.92,1
248,TLS Single,1066.96,1
249,TLS Single,6.14,1
250,TLS Single,7.44,1
251,TLS Single,6.04,1
252,TLS Single,3.31,1
253,TLS Single,2.88,1
254,TLS Single,2.75,1
255,TLS Single,419.42,1
256,TLS Single,5.74,1
257,TLS Single,1048.79,1
258,TLS Single,1261.05,1
259,TLS Single,5.75,1
260,TLS Single,626.58,1
261,TLS Single,6.16,1
262,TLS Single,1242.49,1
263,TLS Single,7.85,1
264,TLS Single,215.31,1
265,TLS Single,1665.24,1
266,TLS Single,5.34,1
267,TLS Single,5.46,1
268,TLS Single,5.83,1
269,TLS Single,1057.37,1
270,TLS Single,5.98,1
271,TLS Single,5.55,1
272,TLS Single,1014.95,1
273,TLS Single,9.93,1
274,TLS Single,6.02,1
275,TLS Single,6.31,1
276,TLS Single,1024.44,1
277,TLS Single,1051.64,1
278,TLS Single,5.96,1
279,TLS Single,5.48,1
280,TLS Single,6.05,1
281,TLS Single,8.72,1
282,TLS Single,6.69,1
283,TLS Single,1023.89,1
284,TLS Single,5.73,1
285,TLS Single,5.95,1
286,TLS Single,6.43,1
287,TLS Single,1039.99,1
288,TLS Single,217.16,1
289,TLS Single,6.71,1
290,TLS Single,5.67,1
291,TLS Single,3.74,1
292,TLS Single,212.26,1
293,TLS Single,210.01,1
294,TLS Single,5.66,1
295,TLS Single,5.66,1
296,TLS Single,5.87,1
297,TLS Single,5.3,1
298,TLS Single,5.46,1
299,TLS Single,1066.23,1
300,TLS Single,5.7,1
301,TLS Single,219.0,1
302,TLS Single,5.56,1
303,TLS Single,1025.42,1
304,TLS Single,1671.69,1
305,TLS Single,1271.16,1
306,TLS Single,1238.68,1
307,TLS Single,5.75,1
308,TLS Single,11.79,1
309,TLS Single,5.89,1
310,TLS Single,5.89,1
311,TLS Single,6.17,1
312,TLS Single,5.72,1
313,TLS Single,5.95,1
314,TLS Single,10.67,1
315,TLS Single,5.46,1
316,TLS Single,5.6,1
317,TLS Single,6.13,1
318,TLS Single,6.29,1
319,TLS Single,5.52,1
320,TLS Single,5.51,1
321,TLS Single,208.9,1
322,TLS Single,217.01,1
323,TLS Single,6.07,1
324,TLS Single,5.42,1
325,TLS Single,214.6,1
326,TLS Single,5.3,1
327,TLS Single,1267.81,1
328,TLS Single,5.32,1
329,TLS Single,5.59,1
330,TLS Single,5.51,1
331,TLS Single,1240.81,1
332,TLS Single,1243.85,1
333,TLS Single,1448.9,1
334,TLS Single,5.69,1
335,TLS Single,5.2,1
336,TLS Single,4.61,1
337,TLS Single,213.0,1
338,TLS Single,6.19,1
339,TLS Single,1469.57,1
340,TLS Single,217.16,1
341,TLS Single,5.94,1
342,TLS Single,5.7,1
343,TLS Single,5.45,1
344,TLS Single,5.91,1
345,TLS Single,6.52,1
346,TLS Single,1063.62,1
347,TLS Single,1669.23,1
348,TLS Single,5.45,1
349,TLS Single,5.81,1
350,TLS Single,6.86,1
351,TLS Single,6.37,1
352,TLS Single,1067.44,1
353,TLS Single,621.3,1
354,TLS Single,1020.91,1
355,TLS Single,5.87,1
356,TLS Single,1070.96,1
357,TLS Single,6.82,1
358,TLS Single,1261.21,1
359,TLS Single,5.91,1
360,TLS Single,5.47,1
361,TLS Single,6.14,1
362,TLS Single,1031.38,1
363,TLS Single,1257.98,1
364,TLS Single,5.66,1
365,TLS Single,5.22,1
366,TLS Single,5.49,1
367,TLS Single,5.74,1
368,TLS Single,219.77,1
369,TLS Single,214.16,1
370,TLS Single,7.2,1
371,TLS Single,6.73,1
372,TLS Single,6.07,1
373,TLS Single,620.28,1
374,TLS Single,1427.03,1
375,TLS Single,6.62,1
376,TLS Single,1241.35,1
377,TLS Single,6.05,1
378,TLS Single,6.24,1
379,TLS Single,5.35,1
380,TLS Single,5.99,1
381,TLS Single,1250.41,1
382,TLS Single,5.24,1
383,TLS Single,1051.5,1
384,TLS Single,6.84,1
385,TLS Single,3115.18,1
386,TLS Single,620.61,1
387,TLS Single,7.21,1
388,TLS Single,7.78,1
389,TLS Single,6.61,1
390,TLS Single,9.33,1
391,TLS Single,6.37,1
392,TLS Single,2.93,1
393,TLS Single,1024.99,1
394,TLS Single,6.29,1
395,TLS Single,5.62,1
396,TLS Single,5.34,1
397,TLS Single,6.53,1
398,TLS Single,3547.28,1
399,TLS Single,6.79,1
400,TLS Single,1270.58,1
401,TLS Single,6.3,1
402,TLS Single,6.09,1
403,TLS Single,5.6,1
404,TLS Single,6.64,1
405,TLS Single,10.23,1
406,TLS Single,3.42,1
407,TLS Single,2.92,1
408,TLS Single,1016.63,1
409,TLS Single,6.09,1
410,TLS Single,5.67,1
411,TLS Single,7.0,1
412,TLS Single,832.53,1
413,TLS Single,827.1,1
414,TLS Single,2480.45,1
415,TLS Single,6.51,1
416,TLS Single,5.82,1
417,TLS Single,3.5,1
418,TLS Single,3.1,1
419,TLS Single,2.69,1
420,TLS Single,1224.34,1
421,TLS Single,6.89,1
422,TLS Single,5.82,1
