execution,mode,handshake_duration_ms,success
1,TLS Single,25.8,1
2,TLS Single,22.45,1
3,TLS Single,22.97,1
4,TLS Single,23.41,1
5,TLS Single,22.76,1
6,TLS Single,23.18,1
7,TLS Single,23.17,1
8,TLS Single,23.34,1
9,TLS Single,24.73,1
10,TLS Single,23.26,1
11,TLS Single,23.26,1
12,TLS Single,23.22,1
13,TLS Single,22.55,1
14,TLS Single,22.42,1
15,TLS Single,23.2,1
16,TLS Single,22.34,1
17,TLS Single,22.38,1
18,TLS Single,22.9,1
19,TLS Single,23.15,1
20,TLS Single,23.7,1
21,TLS Single,22.88,1
22,TLS Single,23.05,1
23,TLS Single,25.09,1
24,TLS Single,24.71,1
25,TLS Single,23.56,1
26,TLS Single,22.86,1
27,TLS Single,23.04,1
28,TLS Single,22.74,1
29,TLS Single,23.47,1
30,TLS Single,23.43,1
31,TLS Single,22.81,1
32,TLS Single,23.24,1
33,TLS Single,22.52,1
34,TLS Single,23.21,1
35,TLS Single,23.28,1
36,TLS Single,23.65,1
37,TLS Single,23.72,1
38,TLS Single,23.4,1
39,TLS Single,23.76,1
40,TLS Single,24.0,1
41,TLS Single,23.85,1
42,TLS Single,24.31,1
43,TLS Single,24.03,1
44,TLS Single,23.19,1
45,TLS Single,22.52,1
46,TLS Single,23.34,1
47,TLS Single,22.79,1
48,TLS Single,22.84,1
49,TLS Single,23.59,1
50,TLS Single,25.14,1
51,TLS Single,24.72,1
52,TLS Single,24.07,1
53,TLS Single,23.29,1
54,TLS Single,23.42,1
55,TLS Single,24.32,1
56,TLS Single,24.32,1
57,TLS Single,23.41,1
58,TLS Single,28.2,1
59,TLS Single,23.4,1
60,TLS Single,23.48,1
61,TLS Single,23.57,1
62,TLS Single,26.86,1
63,TLS Single,23.27,1
64,TLS Single,23.41,1
65,TLS Single,25.09,1
66,TLS Single,23.47,1
67,TLS Single,24.32,1
68,TLS Single,24.05,1
69,TLS Single,23.36,1
70,TLS Single,22.74,1
71,TLS Single,23.44,1
72,TLS Single,23.22,1
73,TLS Single,22.71,1
74,TLS Single,24.96,1
75,TLS Single,22.61,1
76,TLS Single,22.54,1
77,TLS Single,22.59,1
78,TLS Single,22.69,1
79,TLS Single,22.43,1
80,TLS Single,23.05,1
81,TLS Single,23.41,1
82,TLS Single,23.86,1
83,TLS Single,23.39,1
