execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,1100.32,1,3,4
2,TLS Single,23.27,1,3,4
3,TLS Single,1309.9,1,3,4
4,TLS Single,40.87,1,3,4
5,TLS Single,34.08,1,3,4
6,TLS Single,33.56,1,3,4
7,TLS Single,22.46,1,3,4
8,TLS Single,22.11,1,3,4
9,TLS Single,23.67,1,3,4
10,TLS Single,1881.0,1,3,4
11,TLS Single,23.8,1,3,4
12,TLS Single,833.69,1,3,4
13,TLS Single,26.53,1,3,4
14,TLS Single,632.17,1,3,4
15,TLS Single,641.66,1,3,4
16,TLS Single,1052.33,1,3,4
17,TLS Single,27.47,1,3,4
18,TLS Single,26.56,1,3,4
19,TLS Single,23.8,1,3,4
20,TLS Single,22.48,1,3,4
21,TLS Single,21.71,1,3,4
22,TLS Single,21.31,1,3,4
23,TLS Single,224.83,1,3,4
24,TLS Single,35.03,1,3,4
25,TLS Single,23.92,1,3,4
26,TLS Single,23.27,1,3,4
27,TLS Single,625.42,1,3,4
28,TLS Single,27.28,1,3,4
29,TLS Single,24.03,1,3,4
30,TLS Single,23.2,1,3,4
31,TLS Single,23.53,1,3,4
32,TLS Single,22.51,1,3,4
33,TLS Single,22.98,1,3,4
34,TLS Single,627.09,1,3,4
35,TLS Single,225.5,1,3,4
36,TLS Single,28.95,1,3,4
37,TLS Single,23.49,1,3,4
38,TLS Single,1304.15,1,3,4
39,TLS Single,25.6,1,3,4
40,TLS Single,24.22,1,3,4
41,TLS Single,436.2,1,3,4
42,TLS Single,35.2,1,3,4
43,TLS Single,34.64,1,3,4
44,TLS Single,22.92,1,3,4
45,TLS Single,226.56,1,3,4
46,TLS Single,38.38,1,3,4
47,TLS Single,2117.5,1,3,4
48,TLS Single,32.67,1,3,4
49,TLS Single,27.1,1,3,4
50,TLS Single,3300.46,1,3,4
51,TLS Single,24.31,1,3,4
52,TLS Single,3103.34,1,3,4
53,TLS Single,27.79,1,3,4
54,TLS Single,23.28,1,3,4
55,TLS Single,22.65,1,3,4
56,TLS Single,626.21,1,3,4
57,TLS Single,23.32,1,3,4
58,TLS Single,1304.1,1,3,4
59,TLS Single,2063.14,1,3,4
60,TLS Single,1718.45,1,3,4
61,TLS Single,2518.53,1,3,4
62,TLS Single,1092.56,1,3,4
63,TLS Single,25.81,1,3,4
64,TLS Single,1037.18,1,3,4
65,TLS Single,24.8,1,3,4
66,TLS Single,24.85,1,3,4
67,TLS Single,23.14,1,3,4
68,TLS Single,631.83,1,3,4
69,TLS Single,28.72,1,3,4
70,TLS Single,23.94,1,3,4
71,TLS Single,1452.34,1,3,4
72,TLS Single,25.13,1,3,4
73,TLS Single,24.28,1,3,4
74,TLS Single,630.99,1,3,4
75,TLS Single,39.22,1,3,4
76,TLS Single,228.53,1,3,4
77,TLS Single,31.84,1,3,4
78,TLS Single,23.41,1,3,4
79,TLS Single,23.41,1,3,4
80,TLS Single,22.99,1,3,4
81,TLS Single,224.54,1,3,4
82,TLS Single,30.99,1,3,4
83,TLS Single,1063.95,1,3,4
84,TLS Single,24.03,1,3,4
85,TLS Single,24.73,1,3,4
86,TLS Single,22.88,1,3,4
87,TLS Single,22.63,1,3,4
88,TLS Single,23.71,1,3,4
89,TLS Single,23.09,1,3,4
90,TLS Single,1261.92,1,3,4
91,TLS Single,633.76,1,3,4
92,TLS Single,26.65,1,3,4
93,TLS Single,1278.54,1,3,4
94,TLS Single,3148.95,1,3,4
95,TLS Single,27.41,1,3,4
96,TLS Single,23.48,1,3,4
97,TLS Single,22.61,1,3,4
98,TLS Single,22.41,1,3,4
99,TLS Single,21.89,1,3,4
100,TLS Single,225.17,1,3,4
101,TLS Single,34.91,1,3,4
102,TLS Single,23.14,1,3,4
103,TLS Single,22.86,1,3,4
104,TLS Single,21.83,1,3,4
105,TLS Single,23.44,1,3,4
106,TLS Single,23.21,1,3,4
107,TLS Single,21.83,1,3,4
108,TLS Single,21.47,1,3,4
109,TLS Single,22.93,1,3,4
110,TLS Single,23.21,1,3,4
111,TLS Single,23.48,1,3,4
112,TLS Single,1261.09,1,3,4
113,TLS Single,24.63,1,3,4
114,TLS Single,23.14,1,3,4
115,TLS Single,22.47,1,3,4
116,TLS Single,1285.97,1,3,4
117,TLS Single,3303.72,1,3,4
118,TLS Single,28.62,1,3,4
119,TLS Single,23.41,1,3,4
120,TLS Single,23.21,1,3,4
121,TLS Single,23.0,1,3,4
122,TLS Single,22.57,1,3,4
123,TLS Single,22.26,1,3,4
124,TLS Single,1031.89,1,3,4
125,TLS Single,25.02,1,3,4
