execution,mode,handshake_duration_ms,success
1,TLS Single,6.54,1
2,TLS Single,4.95,1
3,TLS Single,4.7,1
4,TLS Single,5.0,1
5,TLS Single,5.17,1
6,TLS Single,1046.9,1
7,TLS Single,6.01,1
8,TLS Single,5.78,1
9,TLS Single,1026.99,1
10,TLS Single,5.5,1
11,TLS Single,7.36,1
12,TLS Single,5.46,1
13,TLS Single,11.44,1
14,TLS Single,6.2,1
15,TLS Single,5.37,1
16,TLS Single,5.67,1
17,TLS Single,6.39,1
18,TLS Single,625.94,1
19,TLS Single,5.79,1
20,TLS Single,1443.92,1
21,TLS Single,2491.53,1
22,TLS Single,6.16,1
23,TLS Single,4.8,1
24,TLS Single,4.98,1
25,TLS Single,1033.27,1
26,TLS Single,5.86,1
27,TLS Single,6.42,1
28,TLS Single,217.33,1
29,TLS Single,5.57,1
30,TLS Single,5.54,1
31,TLS Single,5.69,1
32,TLS Single,6.28,1
33,TLS Single,5.64,1
34,TLS Single,218.54,1
35,TLS Single,1069.25,1
36,TLS Single,3305.26,1
37,TLS Single,2.45,1
38,TLS Single,623.0,1
39,TLS Single,5.52,1
40,TLS Single,5.29,1
41,TLS Single,5.89,1
42,TLS Single,5.09,1
43,TLS Single,10.88,1
44,TLS Single,415.18,1
45,TLS Single,6.52,1
46,TLS Single,5.34,1
47,TLS Single,5.25,1
48,TLS Single,5.37,1
49,TLS Single,6.55,1
50,TLS Single,5.45,1
51,TLS Single,5.41,1
52,TLS Single,1015.6,1
53,TLS Single,214.07,1
54,TLS Single,617.19,1
55,TLS Single,5.25,1
56,TLS Single,6.91,1
57,TLS Single,5.87,1
58,TLS Single,211.54,1
59,TLS Single,419.29,1
60,TLS Single,6.0,1
61,TLS Single,214.64,1
62,TLS Single,5.88,1
63,TLS Single,5.44,1
64,TLS Single,10.19,1
65,TLS Single,6.39,1
66,TLS Single,1065.96,1
67,TLS Single,5.31,1
68,TLS Single,5.94,1
69,TLS Single,2051.91,1
70,TLS Single,5.84,1
71,TLS Single,5.48,1
72,TLS Single,5.33,1
73,TLS Single,6.61,1
74,TLS Single,6.88,1
75,TLS Single,5.21,1
76,TLS Single,6.11,1
77,TLS Single,6.45,1
78,TLS Single,6.57,1
79,TLS Single,5.36,1
80,TLS Single,5.74,1
81,TLS Single,3339.32,1
82,TLS Single,5.33,1
83,TLS Single,10.45,1
84,TLS Single,7.99,1
85,TLS Single,5.41,1
86,TLS Single,5.37,1
87,TLS Single,5.62,1
88,TLS Single,5.25,1
89,TLS Single,218.26,1
90,TLS Single,5.25,1
91,TLS Single,1043.52,1
92,TLS Single,6.59,1
93,TLS Single,5.42,1
94,TLS Single,6.5,1
95,TLS Single,6.92,1
96,TLS Single,1637.26,1
97,TLS Single,5.49,1
98,TLS Single,5.74,1
99,TLS Single,5.39,1
100,TLS Single,6.13,1
101,TLS Single,9.63,1
102,TLS Single,1437.12,1
103,TLS Single,2.05,1
104,TLS Single,617.97,1
105,TLS Single,1012.81,1
106,TLS Single,5.68,1
107,TLS Single,214.0,1
108,TLS Single,216.8,1
109,TLS Single,6.01,1
110,TLS Single,212.78,1
111,TLS Single,5.79,1
112,TLS Single,1058.53,1
113,TLS Single,6.06,1
114,TLS Single,5.34,1
115,TLS Single,6.09,1
116,TLS Single,5.31,1
117,TLS Single,3114.53,1
118,TLS Single,5.94,1
119,TLS Single,5.64,1
120,TLS Single,6.16,1
121,TLS Single,10.36,1
122,TLS Single,614.26,1
123,TLS Single,5.45,1
124,TLS Single,5.48,1
125,TLS Single,6.01,1
126,TLS Single,5.98,1
127,TLS Single,5.39,1
128,TLS Single,5.35,1
129,TLS Single,6.64,1
130,TLS Single,10.33,1
131,TLS Single,218.99,1
132,TLS Single,5.97,1
