execution,mode,handshake_duration_ms,success
1,TLS Single,11.65,1
2,TLS Single,9.76,1
3,TLS Single,9.67,1
4,TLS Single,8.7,1
5,TLS Single,8.66,1
6,TLS Single,10.06,1
7,TLS Single,9.54,1
8,TLS Single,9.13,1
9,TLS Single,1047.8,1
10,TLS Single,9.56,1
11,TLS Single,10.4,1
12,TLS Single,214.94,1
13,TLS Single,7461.16,1
14,TLS Single,15.63,1
15,TLS Single,1032.99,1
16,TLS Single,12.42,1
17,TLS Single,1256.93,1
18,TLS Single,12.06,1
19,TLS Single,8.59,1
20,TLS Single,10.6,1
21,TLS Single,8.95,1
22,TLS Single,1034.3,1
23,TLS Single,17.0,1
24,TLS Single,10.44,1
25,TLS Single,620.61,1
26,TLS Single,634.76,1
27,TLS Single,1078.99,1
28,TLS Single,9.84,1
29,TLS Single,8.52,1
30,TLS Single,8.54,1
31,TLS Single,8.74,1
32,TLS Single,217.62,1
33,TLS Single,1029.42,1
34,TLS Single,16.73,1
35,TLS Single,9.61,1
36,TLS Single,9.15,1
37,TLS Single,219.83,1
38,TLS Single,1064.28,1
39,TLS Single,9.38,1
40,TLS Single,625.7,1
41,TLS Single,831.83,1
42,TLS Single,14.31,1
43,TLS Single,8.87,1
44,TLS Single,8.86,1
45,TLS Single,629.35,1
46,TLS Single,14.7,1
47,TLS Single,8.98,1
48,TLS Single,11.59,1
49,TLS Single,9.47,1
50,TLS Single,1081.17,1
51,TLS Single,10.18,1
52,TLS Single,11.0,1
53,TLS Single,10.87,1
54,TLS Single,1075.05,1
55,TLS Single,9.66,1
56,TLS Single,8.87,1
57,TLS Single,9.1,1
58,TLS Single,1236.87,1
59,TLS Single,12.01,1
60,TLS Single,9.15,1
61,TLS Single,621.68,1
62,TLS Single,430.93,1
63,TLS Single,10.17,1
64,TLS Single,1884.74,1
65,TLS Single,14.56,1
66,TLS Single,1054.97,1
67,TLS Single,13.57,1
68,TLS Single,13.32,1
69,TLS Single,13.51,1
70,TLS Single,13.88,1
71,TLS Single,13.37,1
72,TLS Single,13.39,1
73,TLS Single,19.42,1
74,TLS Single,14.34,1
75,TLS Single,1033.93,1
76,TLS Single,9.05,1
77,TLS Single,2292.55,1
78,TLS Single,1471.78,1
79,TLS Single,1061.56,1
80,TLS Single,1870.05,1
81,TLS Single,15.71,1
82,TLS Single,9.13,1
83,TLS Single,8.87,1
84,TLS Single,218.21,1
85,TLS Single,13.76,1
86,TLS Single,8.73,1
87,TLS Single,626.57,1
88,TLS Single,631.16,1
89,TLS Single,13.84,1
90,TLS Single,219.95,1
91,TLS Single,12.36,1
92,TLS Single,11.61,1
93,TLS Single,1042.51,1
94,TLS Single,14.73,1
95,TLS Single,229.79,1
96,TLS Single,226.47,1
97,TLS Single,11.39,1
98,TLS Single,8.68,1
99,TLS Single,1438.36,1
100,TLS Single,630.36,1
101,TLS Single,1079.55,1
102,TLS Single,6362.75,1
103,TLS Single,13.85,1
104,TLS Single,221.82,1
105,TLS Single,14.77,1
106,TLS Single,14.7,1
107,TLS Single,12.77,1
108,TLS Single,12.18,1
109,TLS Single,11.56,1
110,TLS Single,11.65,1
111,TLS Single,225.23,1
112,TLS Single,15.99,1
113,TLS Single,10.2,1
114,TLS Single,1454.14,1
115,TLS Single,14.56,1
116,TLS Single,10.09,1
117,TLS Single,1252.04,1
118,TLS Single,10.55,1
119,TLS Single,10.53,1
120,TLS Single,227.33,1
121,TLS Single,11.82,1
122,TLS Single,9.49,1
123,TLS Single,1474.32,1
124,TLS Single,14.8,1
125,TLS Single,1040.76,1
126,TLS Single,1686.19,1
127,TLS Single,11.92,1
128,TLS Single,9.92,1
129,TLS Single,9.44,1
130,TLS Single,9.35,1
131,TLS Single,8.49,1
132,TLS Single,9.33,1
133,TLS Single,9.16,1
134,TLS Single,1024.01,1
135,TLS Single,12.05,1
136,TLS Single,1243.77,1
137,TLS Single,15.75,1
138,TLS Single,1072.94,1
139,TLS Single,11.09,1
140,TLS Single,9.89,1
141,TLS Single,1466.23,1
142,TLS Single,10.29,1
143,TLS Single,10.29,1
144,TLS Single,10.0,1
145,TLS Single,9.75,1
146,TLS Single,1063.9,1
147,TLS Single,1056.62,1
148,TLS Single,11.89,1
149,TLS Single,8.75,1
150,TLS Single,619.68,1
151,TLS Single,10.08,1
152,TLS Single,9.8,1
153,TLS Single,9.95,1
154,TLS Single,213.63,1
155,TLS Single,15.33,1
156,TLS Single,11.67,1
157,TLS Single,2500.36,1
158,TLS Single,14.09,1
159,TLS Single,9.4,1
160,TLS Single,8.93,1
161,TLS Single,8.78,1
162,TLS Single,8.25,1
163,TLS Single,2081.59,1
164,TLS Single,10.02,1
165,TLS Single,1022.84,1
166,TLS Single,216.43,1
167,TLS Single,1086.74,1
168,TLS Single,12.53,1
169,TLS Single,8.6,1
170,TLS Single,1905.68,1
171,TLS Single,9.59,1
172,TLS Single,9.29,1
173,TLS Single,1030.71,1
174,TLS Single,13.72,1
175,TLS Single,14.77,1
176,TLS Single,13.52,1
177,TLS Single,8.95,1
178,TLS Single,213.61,1
179,TLS Single,10.36,1
180,TLS Single,224.15,1
181,TLS Single,1854.13,1
182,TLS Single,1024.29,1
183,TLS Single,17.1,1
184,TLS Single,10.07,1
185,TLS Single,10.84,1
186,TLS Single,8.38,1
187,TLS Single,833.45,1
188,TLS Single,12.71,1
189,TLS Single,9.04,1
190,TLS Single,426.67,1
191,TLS Single,1076.9,1
192,TLS Single,16.02,1
193,TLS Single,15.85,1
194,TLS Single,2082.5,1
195,TLS Single,1435.47,1
196,TLS Single,16.26,1
197,TLS Single,1057.78,1
198,TLS Single,9.16,1
199,TLS Single,8.96,1
200,TLS Single,8.86,1
201,TLS Single,9.2,1
202,TLS Single,8.87,1
203,TLS Single,618.03,1
204,TLS Single,218.7,1
205,TLS Single,17.07,1
206,TLS Single,12.61,1
207,TLS Single,12.02,1
208,TLS Single,13.53,1
209,TLS Single,1265.6,1
210,TLS Single,12.62,1
211,TLS Single,9.18,1
212,TLS Single,9.19,1
213,TLS Single,627.44,1
214,TLS Single,1025.57,1
215,TLS Single,1070.35,1
216,TLS Single,1073.0,1
217,TLS Single,17.51,1
218,TLS Single,15.49,1
219,TLS Single,1079.66,1
220,TLS Single,2309.69,1
221,TLS Single,215.95,1
222,TLS Single,15.62,1
223,TLS Single,1075.4,1
224,TLS Single,15.91,1
225,TLS Single,10.52,1
226,TLS Single,630.09,1
227,TLS Single,1042.58,1
228,TLS Single,9.53,1
229,TLS Single,9.17,1
230,TLS Single,224.41,1
231,TLS Single,18.02,1
232,TLS Single,218.04,1
233,TLS Single,428.89,1
234,TLS Single,4143.72,1
235,TLS Single,8.89,1
236,TLS Single,1265.12,1
237,TLS Single,9.5,1
238,TLS Single,9.38,1
239,TLS Single,221.35,1
240,TLS Single,11.9,1
241,TLS Single,9.2,1
242,TLS Single,8.85,1
243,TLS Single,12.07,1
244,TLS Single,9.0,1
245,TLS Single,221.97,1
246,TLS Single,421.71,1
247,TLS Single,214.74,1
248,TLS Single,13.9,1
249,TLS Single,9.24,1
250,TLS Single,3327.63,1
251,TLS Single,1053.58,1
252,TLS Single,3129.38,1
253,TLS Single,1489.94,1
254,TLS Single,218.31,1
255,TLS Single,15.1,1
256,TLS Single,218.74,1
257,TLS Single,424.17,1
258,TLS Single,13.45,1
259,TLS Single,14.39,1
260,TLS Single,13.59,1
261,TLS Single,13.14,1
262,TLS Single,9.76,1
263,TLS Single,9.35,1
264,TLS Single,9.5,1
265,TLS Single,9.81,1
266,TLS Single,9.99,1
267,TLS Single,10.85,1
268,TLS Single,9.54,1
269,TLS Single,8.39,1
270,TLS Single,8.54,1
271,TLS Single,9.15,1
272,TLS Single,8.79,1
273,TLS Single,8.29,1
274,TLS Single,8.33,1
275,TLS Single,213.03,1
276,TLS Single,10.86,1
277,TLS Single,833.84,1
278,TLS Single,1078.51,1
279,TLS Single,13.74,1
280,TLS Single,9.17,1
281,TLS Single,8.97,1
282,TLS Single,8.67,1
283,TLS Single,8.77,1
284,TLS Single,8.31,1
285,TLS Single,218.74,1
286,TLS Single,14.78,1
287,TLS Single,9.85,1
288,TLS Single,8.62,1
289,TLS Single,8.89,1
290,TLS Single,10.32,1
291,TLS Single,9.19,1
292,TLS Single,8.89,1
293,TLS Single,8.63,1
294,TLS Single,8.6,1
295,TLS Single,8.62,1
296,TLS Single,8.47,1
297,TLS Single,7626.88,1
298,TLS Single,1083.92,1
299,TLS Single,223.43,1
300,TLS Single,13.3,1
301,TLS Single,9.07,1
302,TLS Single,3295.07,1
303,TLS Single,13.87,1
304,TLS Single,9.44,1
305,TLS Single,1049.22,1
306,TLS Single,11.38,1
307,TLS Single,8.62,1
308,TLS Single,1661.61,1
309,TLS Single,13.83,1
310,TLS Single,9.13,1
311,TLS Single,8.84,1
312,TLS Single,213.33,1
313,TLS Single,15.04,1
314,TLS Single,9.86,1
315,TLS Single,9.46,1
316,TLS Single,9.19,1
317,TLS Single,8.89,1
318,TLS Single,8.72,1
319,TLS Single,8.88,1
320,TLS Single,628.05,1
321,TLS Single,14.69,1
322,TLS Single,10.14,1
323,TLS Single,8.87,1
324,TLS Single,1240.48,1
325,TLS Single,213.78,1
326,TLS Single,1039.59,1
327,TLS Single,16.55,1
328,TLS Single,8.51,1
329,TLS Single,8.79,1
330,TLS Single,8.72,1
331,TLS Single,1038.69,1
332,TLS Single,10.92,1
333,TLS Single,8.84,1
334,TLS Single,9.92,1
335,TLS Single,215.32,1
336,TLS Single,16.64,1
337,TLS Single,8.92,1
338,TLS Single,8.94,1
339,TLS Single,209.4,1
340,TLS Single,832.92,1
341,TLS Single,1077.85,1
342,TLS Single,9.17,1
343,TLS Single,8.58,1
344,TLS Single,10.39,1
345,TLS Single,8.94,1
346,TLS Single,1276.02,1
347,TLS Single,1056.06,1
348,TLS Single,1052.69,1
349,TLS Single,12.64,1
350,TLS Single,8.81,1
351,TLS Single,8.86,1
352,TLS Single,9.11,1
353,TLS Single,10.22,1
354,TLS Single,8.82,1
355,TLS Single,1027.46,1
356,TLS Single,2732.63,1
357,TLS Single,624.85,1
358,TLS Single,14.79,1
359,TLS Single,1025.96,1
360,TLS Single,9.09,1
361,TLS Single,8.76,1
362,TLS Single,9.22,1
363,TLS Single,10.94,1
364,TLS Single,9.59,1
365,TLS Single,3133.37,1
366,TLS Single,1063.39,1
367,TLS Single,12.15,1
368,TLS Single,1058.68,1
369,TLS Single,218.61,1
370,TLS Single,1064.49,1
371,TLS Single,8.91,1
372,TLS Single,9.41,1
373,TLS Single,9.67,1
374,TLS Single,218.11,1
375,TLS Single,14.46,1
376,TLS Single,9.47,1
377,TLS Single,1439.59,1
378,TLS Single,15.1,1
379,TLS Single,219.82,1
380,TLS Single,13.72,1
381,TLS Single,9.93,1
382,TLS Single,9.32,1
383,TLS Single,9.37,1
384,TLS Single,9.05,1
385,TLS Single,9.31,1
386,TLS Single,9.81,1
387,TLS Single,1251.81,1
388,TLS Single,16.3,1
389,TLS Single,215.86,1
390,TLS Single,3117.92,1
391,TLS Single,10.87,1
392,TLS Single,622.05,1
393,TLS Single,227.33,1
394,TLS Single,16.59,1
395,TLS Single,10.5,1
396,TLS Single,8.82,1
397,TLS Single,9.03,1
398,TLS Single,1041.65,1
399,TLS Single,15.66,1
400,TLS Single,1025.09,1
401,TLS Single,11.7,1
402,TLS Single,11.94,1
403,TLS Single,626.77,1
404,TLS Single,1065.5,1
405,TLS Single,11.56,1
406,TLS Single,10.8,1
407,TLS Single,1035.06,1
408,TLS Single,9.88,1
409,TLS Single,1045.24,1
410,TLS Single,20.0,1
411,TLS Single,1469.91,1
412,TLS Single,10.93,1
413,TLS Single,9.43,1
414,TLS Single,217.33,1
415,TLS Single,1047.73,1
416,TLS Single,422.21,1
417,TLS Single,12.08,1
418,TLS Single,9.51,1
419,TLS Single,8.81,1
420,TLS Single,9.21,1
421,TLS Single,8.39,1
422,TLS Single,1051.51,1
423,TLS Single,14.79,1
424,TLS Single,9.1,1
425,TLS Single,8.65,1
426,TLS Single,1253.16,1
427,TLS Single,14.36,1
428,TLS Single,11.47,1
429,TLS Single,8.79,1
430,TLS Single,1045.8,1
431,TLS Single,218.66,1
432,TLS Single,13.04,1
433,TLS Single,13.03,1
434,TLS Single,9.16,1
435,TLS Single,9.22,1
436,TLS Single,8.26,1
437,TLS Single,1022.92,1
438,TLS Single,1060.14,1
439,TLS Single,12.53,1
440,TLS Single,826.87,1
441,TLS Single,10.7,1
442,TLS Single,9.9,1
443,TLS Single,9.73,1
444,TLS Single,1085.64,1
445,TLS Single,837.54,1
446,TLS Single,1032.53,1
447,TLS Single,5150.74,1
448,TLS Single,11.13,1
449,TLS Single,11.6,1
450,TLS Single,11.06,1
451,TLS Single,1269.85,1
452,TLS Single,12.65,1
453,TLS Single,10.5,1
454,TLS Single,8.92,1
455,TLS Single,8.79,1
456,TLS Single,219.48,1
457,TLS Single,1856.3,1
458,TLS Single,1261.33,1
459,TLS Single,13.06,1
460,TLS Single,8.93,1
461,TLS Single,8.62,1
462,TLS Single,427.41,1
463,TLS Single,14.9,1
464,TLS Single,10.59,1
465,TLS Single,9.03,1
466,TLS Single,8.98,1
467,TLS Single,8.77,1
468,TLS Single,1255.2,1
469,TLS Single,1440.79,1
470,TLS Single,13.97,1
471,TLS Single,8.76,1
472,TLS Single,8.81,1
473,TLS Single,1071.43,1
474,TLS Single,10.55,1
475,TLS Single,8.89,1
476,TLS Single,8.89,1
477,TLS Single,9.2,1
478,TLS Single,8.76,1
479,TLS Single,8.58,1
480,TLS Single,8.46,1
481,TLS Single,1473.17,1
482,TLS Single,222.08,1
483,TLS Single,14.36,1
484,TLS Single,218.34,1
485,TLS Single,15.44,1
486,TLS Single,8.8,1
487,TLS Single,9.16,1
488,TLS Single,419.91,1
489,TLS Single,222.22,1
490,TLS Single,10.19,1
491,TLS Single,9.98,1
492,TLS Single,9.13,1
493,TLS Single,1023.5,1
494,TLS Single,1072.03,1
495,TLS Single,11.07,1
496,TLS Single,10.41,1
497,TLS Single,10.2,1
498,TLS Single,11.3,1
499,TLS Single,9.19,1
500,TLS Single,8.64,1
