execution,mode,handshake_duration_ms,success
1,TLS Single,51.84,1
2,TLS Single,49.31,1
3,TLS Single,51.06,1
4,TLS Single,52.36,1
5,TLS Single,53.04,1
6,TLS Single,51.79,1
7,TLS Single,51.51,1
8,TLS Single,50.75,1
9,TLS Single,50.28,1
10,TLS Single,53.51,1
11,TLS Single,52.37,1
12,TLS Single,51.56,1
13,TLS Single,53.35,1
14,TLS Single,50.83,1
15,TLS Single,51.07,1
16,TLS Single,50.67,1
17,TLS Single,48.75,1
18,TLS Single,48.51,1
19,TLS Single,49.23,1
20,TLS Single,50.69,1
21,TLS Single,48.54,1
22,TLS Single,49.38,1
23,TLS Single,49.32,1
24,TLS Single,51.27,1
25,TLS Single,50.92,1
26,TLS Single,50.85,1
27,TLS Single,48.14,1
28,TLS Single,50.47,1
29,TLS Single,50.38,1
30,TLS Single,55.5,1
31,TLS Single,49.14,1
32,TLS Single,49.98,1
33,TLS Single,48.96,1
34,TLS Single,48.64,1
35,TLS Single,49.01,1
36,TLS Single,53.35,1
37,TLS Single,49.94,1
38,TLS Single,56.7,1
39,TLS Single,50.26,1
40,TLS Single,49.96,1
41,TLS Single,50.52,1
42,TLS Single,49.43,1
43,TLS Single,51.57,1
44,TLS Single,48.48,1
45,TLS Single,49.56,1
46,TLS Single,49.0,1
47,TLS Single,46.57,1
48,TLS Single,47.08,1
49,TLS Single,48.76,1
50,TLS Single,46.41,1
51,TLS Single,47.37,1
52,TLS Single,48.51,1
53,TLS Single,46.75,1
54,TLS Single,48.92,1
55,TLS Single,46.6,1
56,TLS Single,50.34,1
57,TLS Single,46.95,1
58,TLS Single,49.3,1
59,TLS Single,50.96,1
60,TLS Single,51.76,1
61,TLS Single,48.62,1
62,TLS Single,52.92,1
63,TLS Single,50.75,1
64,TLS Single,48.08,1
65,TLS Single,48.18,1
66,TLS Single,47.21,1
67,TLS Single,48.54,1
68,TLS Single,47.01,1
69,TLS Single,51.66,1
70,TLS Single,50.44,1
71,TLS Single,49.41,1
72,TLS Single,50.98,1
73,TLS Single,49.11,1
