execution,mode,handshake_duration_ms,success
1,TLS Single,3.24,1
2,TLS Single,2.7,1
3,TLS Single,1277.67,1
4,TLS Single,210.95,1
5,TLS Single,216.23,1
6,TLS Single,4.67,1
7,TLS Single,1043.81,1
8,TLS Single,829.5,1
9,TLS Single,3.47,1
10,TLS Single,3.69,1
11,TLS Single,4.07,1
12,TLS Single,3.84,1
13,TLS Single,1061.32,1
14,TLS Single,1449.3,1
15,TLS Single,5.92,1
16,TLS Single,5.15,1
17,TLS Single,205.1,1
18,TLS Single,215.35,1
19,TLS Single,210.38,1
20,TLS Single,214.89,1
21,TLS Single,216.31,1
22,TLS Single,1064.63,1
23,TLS Single,1259.2,1
24,TLS Single,3.46,1
25,TLS Single,3.37,1
26,TLS Single,210.23,1
27,TLS Single,5.94,1
28,TLS Single,3062.87,1
29,TLS Single,1038.02,1
30,TLS Single,6.67,1
31,TLS Single,3.64,1
32,TLS Single,205.52,1
33,TLS Single,1072.4,1
34,TLS Single,6.26,1
35,TLS Single,3.01,1
36,TLS Single,3.82,1
37,TLS Single,211.92,1
38,TLS Single,4.96,1
39,TLS Single,1067.62,1
40,TLS Single,6.16,1
41,TLS Single,4.01,1
42,TLS Single,4.17,1
43,TLS Single,1061.81,1
44,TLS Single,5.8,1
45,TLS Single,3.42,1
46,TLS Single,2455.83,1
47,TLS Single,3.64,1
48,TLS Single,3.75,1
49,TLS Single,206.63,1
50,TLS Single,6.53,1
51,TLS Single,3.48,1
52,TLS Single,3.57,1
53,TLS Single,3.84,1
54,TLS Single,3.48,1
55,TLS Single,3.61,1
56,TLS Single,416.6,1
57,TLS Single,6.02,1
58,TLS Single,4.16,1
59,TLS Single,4.15,1
60,TLS Single,3.66,1
61,TLS Single,210.31,1
62,TLS Single,5.98,1
63,TLS Single,4.0,1
64,TLS Single,3.38,1
65,TLS Single,3.42,1
66,TLS Single,3.5,1
67,TLS Single,212.25,1
68,TLS Single,212.72,1
69,TLS Single,6.07,1
70,TLS Single,1035.08,1
71,TLS Single,1638.62,1
72,TLS Single,1018.48,1
73,TLS Single,3.68,1
74,TLS Single,3.2,1
75,TLS Single,1045.02,1
76,TLS Single,210.92,1
77,TLS Single,1065.09,1
78,TLS Single,4.44,1
79,TLS Single,4.12,1
80,TLS Single,4.01,1
81,TLS Single,209.75,1
82,TLS Single,7.03,1
83,TLS Single,4.43,1
84,TLS Single,1679.48,1
85,TLS Single,5.5,1
86,TLS Single,3.15,1
87,TLS Single,3.0,1
88,TLS Single,209.29,1
89,TLS Single,1485.08,1
90,TLS Single,4.17,1
91,TLS Single,1879.88,1
92,TLS Single,5.74,1
93,TLS Single,1051.17,1
94,TLS Single,4.06,1
95,TLS Single,4.25,1
96,TLS Single,1241.38,1
97,TLS Single,1039.08,1
98,TLS Single,1455.32,1
99,TLS Single,5.3,1
100,TLS Single,4.46,1
101,TLS Single,212.68,1
102,TLS Single,207.42,1
103,TLS Single,1058.19,1
104,TLS Single,6.08,1
105,TLS Single,615.18,1
106,TLS Single,212.38,1
107,TLS Single,1047.84,1
108,TLS Single,204.64,1
109,TLS Single,4.35,1
110,TLS Single,3.08,1
111,TLS Single,3.01,1
112,TLS Single,3.28,1
113,TLS Single,3.12,1
114,TLS Single,2.76,1
115,TLS Single,207.15,1
116,TLS Single,6.67,1
117,TLS Single,1070.12,1
118,TLS Single,204.46,1
119,TLS Single,5.86,1
120,TLS Single,3118.07,1
121,TLS Single,3.88,1
122,TLS Single,820.69,1
123,TLS Single,1035.06,1
124,TLS Single,3.21,1
125,TLS Single,3.13,1
126,TLS Single,3.15,1
127,TLS Single,3.1,1
128,TLS Single,3.51,1
129,TLS Single,3.16,1
130,TLS Single,203.74,1
131,TLS Single,215.45,1
132,TLS Single,7.64,1
133,TLS Single,3.95,1
134,TLS Single,4.07,1
135,TLS Single,2.89,1
136,TLS Single,3.01,1
137,TLS Single,3.06,1
138,TLS Single,2.87,1
139,TLS Single,1032.98,1
140,TLS Single,4.9,1
141,TLS Single,4.89,1
142,TLS Single,4.61,1
143,TLS Single,4.64,1
144,TLS Single,4.82,1
145,TLS Single,2.79,1
146,TLS Single,3.24,1
147,TLS Single,3.11,1
148,TLS Single,3.16,1
149,TLS Single,2.96,1
150,TLS Single,1041.87,1
151,TLS Single,5.49,1
152,TLS Single,4.4,1
153,TLS Single,3.99,1
154,TLS Single,3.94,1
155,TLS Single,4.01,1
156,TLS Single,3.94,1
157,TLS Single,4.15,1
158,TLS Single,4.12,1
159,TLS Single,4.2,1
160,TLS Single,2.98,1
161,TLS Single,1223.57,1
162,TLS Single,6.5,1
163,TLS Single,1218.23,1
164,TLS Single,211.97,1
165,TLS Single,206.49,1
166,TLS Single,5.58,1
167,TLS Single,1270.8,1
168,TLS Single,5.36,1
169,TLS Single,827.29,1
170,TLS Single,6.92,1
171,TLS Single,214.23,1
172,TLS Single,413.79,1
173,TLS Single,1014.1,1
174,TLS Single,1465.46,1
175,TLS Single,4.17,1
176,TLS Single,4.08,1
177,TLS Single,3.92,1
178,TLS Single,1471.44,1
179,TLS Single,826.01,1
180,TLS Single,4.77,1
181,TLS Single,3098.8,1
182,TLS Single,1065.0,1
183,TLS Single,3094.3,1
184,TLS Single,420.33,1
185,TLS Single,6.63,1
186,TLS Single,4.47,1
187,TLS Single,4.14,1
188,TLS Single,615.15,1
189,TLS Single,7.02,1
190,TLS Single,208.42,1
191,TLS Single,8.68,1
192,TLS Single,3.55,1
193,TLS Single,1064.63,1
194,TLS Single,4.69,1
195,TLS Single,3144.21,1
196,TLS Single,1260.36,1
197,TLS Single,5.11,1
198,TLS Single,209.11,1
199,TLS Single,5.49,1
200,TLS Single,4.03,1
201,TLS Single,2297.86,1
202,TLS Single,3.23,1
203,TLS Single,2.88,1
204,TLS Single,1026.84,1
205,TLS Single,4.62,1
206,TLS Single,3.32,1
207,TLS Single,6.03,1
208,TLS Single,4.04,1
209,TLS Single,1054.53,1
210,TLS Single,210.71,1
211,TLS Single,5.52,1
212,TLS Single,204.45,1
213,TLS Single,1021.35,1
214,TLS Single,6.89,1
215,TLS Single,4.01,1
216,TLS Single,4.02,1
217,TLS Single,206.75,1
218,TLS Single,3.96,1
219,TLS Single,3.98,1
220,TLS Single,4.18,1
221,TLS Single,417.63,1
222,TLS Single,6.56,1
223,TLS Single,4.39,1
224,TLS Single,624.25,1
225,TLS Single,1268.25,1
226,TLS Single,5.5,1
227,TLS Single,3.32,1
228,TLS Single,209.38,1
229,TLS Single,5.62,1
230,TLS Single,4.04,1
231,TLS Single,3.94,1
232,TLS Single,2.86,1
233,TLS Single,3.45,1
234,TLS Single,2.9,1
235,TLS Single,1060.63,1
236,TLS Single,205.23,1
237,TLS Single,1027.52,1
238,TLS Single,5.35,1
239,TLS Single,209.29,1
240,TLS Single,3.23,1
241,TLS Single,3.19,1
242,TLS Single,1038.6,1
243,TLS Single,1061.08,1
244,TLS Single,2666.77,1
245,TLS Single,1062.99,1
246,TLS Single,617.58,1
247,TLS Single,4.74,1
248,TLS Single,4.53,1
249,TLS Single,3.58,1
250,TLS Single,2097.84,1
251,TLS Single,8.0,1
252,TLS Single,3.35,1
253,TLS Single,3.15,1
254,TLS Single,3.01,1
255,TLS Single,3.6,1
256,TLS Single,2.97,1
257,TLS Single,3.26,1
258,TLS Single,2.85,1
259,TLS Single,3.27,1
260,TLS Single,206.58,1
261,TLS Single,1073.28,1
262,TLS Single,216.97,1
263,TLS Single,210.25,1
264,TLS Single,6.24,1
265,TLS Single,1867.61,1
266,TLS Single,2093.06,1
267,TLS Single,1263.46,1
268,TLS Single,4.33,1
269,TLS Single,4.66,1
270,TLS Single,4.5,1
271,TLS Single,1480.85,1
272,TLS Single,4.31,1
273,TLS Single,205.09,1
274,TLS Single,5.72,1
275,TLS Single,3.31,1
276,TLS Single,3.48,1
277,TLS Single,3.59,1
278,TLS Single,3.83,1
279,TLS Single,3.53,1
280,TLS Single,1009.9,1
281,TLS Single,5.19,1
282,TLS Single,2.98,1
283,TLS Single,3.14,1
284,TLS Single,3.12,1
285,TLS Single,3746.75,1
286,TLS Single,3.28,1
287,TLS Single,3.38,1
288,TLS Single,3.07,1
289,TLS Single,3.38,1
290,TLS Single,2.99,1
291,TLS Single,3.17,1
292,TLS Single,3.5,1
293,TLS Single,3.25,1
294,TLS Single,2.79,1
295,TLS Single,2.66,1
296,TLS Single,213.3,1
297,TLS Single,419.67,1
298,TLS Single,4.2,1
299,TLS Single,3.94,1
300,TLS Single,3.95,1
301,TLS Single,1040.93,1
302,TLS Single,218.86,1
303,TLS Single,206.35,1
304,TLS Single,6.72,1
305,TLS Single,1260.0,1
306,TLS Single,212.19,1
307,TLS Single,206.52,1
308,TLS Single,6.38,1
309,TLS Single,4.02,1
310,TLS Single,1031.81,1
311,TLS Single,7.63,1
312,TLS Single,1028.35,1
313,TLS Single,4.3,1
314,TLS Single,1265.56,1
315,TLS Single,4.43,1
316,TLS Single,4.08,1
317,TLS Single,418.74,1
318,TLS Single,6.88,1
319,TLS Single,2087.85,1
320,TLS Single,4.98,1
321,TLS Single,208.5,1
322,TLS Single,6.18,1
323,TLS Single,3.93,1
324,TLS Single,3.99,1
325,TLS Single,4.16,1
326,TLS Single,3.97,1
327,TLS Single,417.75,1
328,TLS Single,5.76,1
329,TLS Single,4.29,1
330,TLS Single,4.3,1
331,TLS Single,4.72,1
332,TLS Single,821.52,1
333,TLS Single,3.38,1
334,TLS Single,3.28,1
335,TLS Single,6.33,1
336,TLS Single,2.96,1
337,TLS Single,2.96,1
338,TLS Single,1262.23,1
339,TLS Single,1043.76,1
340,TLS Single,3.33,1
341,TLS Single,209.82,1
342,TLS Single,6.71,1
343,TLS Single,1425.99,1
344,TLS Single,419.87,1
345,TLS Single,5.58,1
346,TLS Single,4.36,1
347,TLS Single,1016.46,1
348,TLS Single,5.28,1
349,TLS Single,205.12,1
350,TLS Single,4.36,1
351,TLS Single,3.08,1
352,TLS Single,3.0,1
353,TLS Single,3.72,1
354,TLS Single,2.96,1
355,TLS Single,2.95,1
356,TLS Single,2.85,1
357,TLS Single,620.33,1
358,TLS Single,27420.64,1
359,TLS Single,2082.5,1
360,TLS Single,5.16,1
361,TLS Single,4.71,1
362,TLS Single,1036.98,1
363,TLS Single,827.35,1
364,TLS Single,3.42,1
365,TLS Single,2.98,1
366,TLS Single,3.1,1
367,TLS Single,2.92,1
368,TLS Single,3.12,1
369,TLS Single,3.33,1
370,TLS Single,2.86,1
371,TLS Single,2.88,1
372,TLS Single,2.98,1
373,TLS Single,3.25,1
374,TLS Single,5.96,1
375,TLS Single,616.16,1
376,TLS Single,5.24,1
377,TLS Single,1429.23,1
378,TLS Single,4.93,1
379,TLS Single,2068.41,1
380,TLS Single,3.45,1
381,TLS Single,3.83,1
382,TLS Single,4.03,1
383,TLS Single,623.78,1
384,TLS Single,4.95,1
385,TLS Single,3.23,1
386,TLS Single,3.19,1
387,TLS Single,3.42,1
388,TLS Single,2252.86,1
389,TLS Single,210.04,1
390,TLS Single,204.99,1
391,TLS Single,206.01,1
392,TLS Single,6.18,1
393,TLS Single,207.26,1
394,TLS Single,1427.18,1
395,TLS Single,4.64,1
396,TLS Single,211.51,1
397,TLS Single,6.12,1
398,TLS Single,5.12,1
399,TLS Single,210.6,1
400,TLS Single,1062.45,1
401,TLS Single,5.42,1
402,TLS Single,3.15,1
403,TLS Single,3.05,1
404,TLS Single,2.94,1
405,TLS Single,2.85,1
406,TLS Single,1061.8,1
407,TLS Single,1011.78,1
408,TLS Single,210.01,1
409,TLS Single,4.75,1
410,TLS Single,420.2,1
411,TLS Single,1015.76,1
412,TLS Single,3.01,1
413,TLS Single,3.02,1
414,TLS Single,3.66,1
415,TLS Single,3.28,1
416,TLS Single,1029.66,1
417,TLS Single,411.89,1
418,TLS Single,3.07,1
419,TLS Single,3.17,1
420,TLS Single,2.82,1
421,TLS Single,3.57,1
422,TLS Single,1043.17,1
423,TLS Single,6.15,1
424,TLS Single,3.05,1
425,TLS Single,2.87,1
426,TLS Single,2918.9,1
427,TLS Single,11.03,1
428,TLS Single,11.54,1
429,TLS Single,10.79,1
430,TLS Single,2876.83,1
431,TLS Single,12.14,1
432,TLS Single,1483.7,1
433,TLS Single,10.51,1
434,TLS Single,422.35,1
435,TLS Single,1230.89,1
436,TLS Single,1037.22,1
437,TLS Single,11.26,1
438,TLS Single,1066.85,1
439,TLS Single,213.95,1
440,TLS Single,1878.86,1
441,TLS Single,11.71,1
442,TLS Single,10.74,1
443,TLS Single,10.2,1
444,TLS Single,9.43,1
445,TLS Single,9.91,1
446,TLS Single,10.11,1
447,TLS Single,209.59,1
448,TLS Single,210.14,1
449,TLS Single,12.68,1
450,TLS Single,217.47,1
451,TLS Single,14.54,1
452,TLS Single,11.8,1
453,TLS Single,12.63,1
454,TLS Single,11.35,1
455,TLS Single,7.9,1
456,TLS Single,6.88,1
457,TLS Single,6605.93,1
458,TLS Single,1056.23,1
459,TLS Single,1050.52,1
460,TLS Single,11.18,1
461,TLS Single,10.77,1
462,TLS Single,2045.09,1
463,TLS Single,10.88,1
464,TLS Single,11.45,1
465,TLS Single,10.95,1
466,TLS Single,11.07,1
467,TLS Single,11.43,1
468,TLS Single,14.46,1
469,TLS Single,11.52,1
470,TLS Single,3896.61,1
471,TLS Single,622.37,1
472,TLS Single,12.77,1
473,TLS Single,213.13,1
474,TLS Single,11.09,1
475,TLS Single,209.26,1
476,TLS Single,16.84,1
477,TLS Single,11.09,1
478,TLS Single,1450.56,1
479,TLS Single,11.08,1
480,TLS Single,10.86,1
481,TLS Single,11.13,1
482,TLS Single,213.14,1
483,TLS Single,2484.11,1
484,TLS Single,11.01,1
485,TLS Single,7975.97,1
486,TLS Single,11.52,1
487,TLS Single,12.04,1
488,TLS Single,211.91,1
489,TLS Single,14.21,1
490,TLS Single,10.73,1
491,TLS Single,11.0,1
492,TLS Single,1075.0,1
493,TLS Single,1666.41,1
494,TLS Single,10.86,1
495,TLS Single,12.74,1
496,TLS Single,11.16,1
497,TLS Single,11.48,1
498,TLS Single,11.36,1
499,TLS Single,7.65,1
500,TLS Single,7.7,1
