execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,425.5,1,4,4
2,TLS Single,426.39,1,4,4
3,TLS Single,420.94,1,4,4
4,TLS Single,4.95,1,4,4
5,TLS Single,4.31,1,4,4
6,TLS Single,4.05,1,4,4
7,TLS Single,4.04,1,4,4
8,TLS Single,4.16,1,4,4
9,TLS Single,4.17,1,4,4
10,TLS Single,1051.28,1,4,4
11,TLS Single,219.82,1,4,4
12,TLS Single,6.72,1,4,4
13,TLS Single,212.51,1,4,4
14,TLS Single,4.96,1,4,4
15,TLS Single,4.75,1,4,4
16,TLS Single,212.2,1,4,4
17,TLS Single,5.08,1,4,4
18,TLS Single,4.89,1,4,4
19,TLS Single,4.24,1,4,4
20,TLS Single,2092.12,1,4,4
21,TLS Single,5.64,1,4,4
22,TLS Single,6.01,1,4,4
23,TLS Single,6.94,1,4,4
24,TLS Single,4.21,1,4,4
25,TLS Single,1057.63,1,4,4
26,TLS Single,4.96,1,4,4
27,TLS Single,4.92,1,4,4
28,TLS Single,1038.51,1,4,4
29,TLS Single,8.13,1,4,4
30,TLS Single,7.98,1,4,4
31,TLS Single,1014.82,1,4,4
32,TLS Single,4.63,1,4,4
33,TLS Single,4.28,1,4,4
34,TLS Single,4.33,1,4,4
35,TLS Single,3.96,1,4,4
36,TLS Single,4.16,1,4,4
37,TLS Single,4.1,1,4,4
38,TLS Single,4.09,1,4,4
39,TLS Single,3.94,1,4,4
40,TLS Single,3.96,1,4,4
41,TLS Single,419.0,1,4,4
42,TLS Single,1016.26,1,4,4
43,TLS Single,5.59,1,4,4
44,TLS Single,4376.96,1,4,4
45,TLS Single,423.47,1,4,4
46,TLS Single,210.86,1,4,4
47,TLS Single,4.72,1,4,4
48,TLS Single,1228.88,1,4,4
49,TLS Single,211.84,1,4,4
50,TLS Single,7.48,1,4,4
51,TLS Single,5.92,1,4,4
52,TLS Single,1028.9,1,4,4
53,TLS Single,5.08,1,4,4
54,TLS Single,214.16,1,4,4
55,TLS Single,6.67,1,4,4
56,TLS Single,4.15,1,4,4
57,TLS Single,4.25,1,4,4
58,TLS Single,1274.91,1,4,4
59,TLS Single,10.2,1,4,4
60,TLS Single,4.2,1,4,4
61,TLS Single,1055.99,1,4,4
62,TLS Single,5.67,1,4,4
63,TLS Single,2281.97,1,4,4
64,TLS Single,1265.27,1,4,4
65,TLS Single,5.81,1,4,4
66,TLS Single,215.54,1,4,4
67,TLS Single,1050.14,1,4,4
68,TLS Single,5.79,1,4,4
69,TLS Single,4.44,1,4,4
70,TLS Single,4.08,1,4,4
71,TLS Single,4.11,1,4,4
72,TLS Single,208.12,1,4,4
73,TLS Single,7.47,1,4,4
74,TLS Single,5.79,1,4,4
75,TLS Single,5.45,1,4,4
76,TLS Single,5.42,1,4,4
77,TLS Single,4.25,1,4,4
78,TLS Single,1063.42,1,4,4
79,TLS Single,1073.18,1,4,4
80,TLS Single,422.53,1,4,4
81,TLS Single,5.0,1,4,4
82,TLS Single,1261.29,1,4,4
83,TLS Single,4.5,1,4,4
84,TLS Single,4.74,1,4,4
85,TLS Single,1028.2,1,4,4
86,TLS Single,1074.42,1,4,4
87,TLS Single,215.52,1,4,4
88,TLS Single,4500.97,1,4,4
89,TLS Single,5.62,1,4,4
90,TLS Single,4.74,1,4,4
91,TLS Single,419.57,1,4,4
92,TLS Single,4.77,1,4,4
93,TLS Single,219.82,1,4,4
94,TLS Single,6.11,1,4,4
95,TLS Single,4.45,1,4,4
96,TLS Single,5.02,1,4,4
97,TLS Single,4.58,1,4,4
98,TLS Single,1275.42,1,4,4
99,TLS Single,5.64,1,4,4
100,TLS Single,4.41,1,4,4
101,TLS Single,4.15,1,4,4
102,TLS Single,4.01,1,4,4
103,TLS Single,1062.92,1,4,4
104,TLS Single,421.15,1,4,4
105,TLS Single,9.26,1,4,4
106,TLS Single,212.79,1,4,4
107,TLS Single,1057.62,1,4,4
108,TLS Single,4.95,1,4,4
109,TLS Single,4.12,1,4,4
110,TLS Single,4.23,1,4,4
111,TLS Single,4.09,1,4,4
112,TLS Single,1018.01,1,4,4
113,TLS Single,5.73,1,4,4
114,TLS Single,216.44,1,4,4
115,TLS Single,4.97,1,4,4
116,TLS Single,4.89,1,4,4
117,TLS Single,1034.43,1,4,4
118,TLS Single,4.75,1,4,4
119,TLS Single,4.77,1,4,4
120,TLS Single,213.94,1,4,4
121,TLS Single,5.39,1,4,4
122,TLS Single,5.45,1,4,4
123,TLS Single,4.7,1,4,4
124,TLS Single,1219.44,1,4,4
125,TLS Single,4.92,1,4,4
