execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,47.67,1,3,4
2,TLS Single,46.13,1,3,4
3,TLS Single,1679.01,1,3,4
4,TLS Single,504.05,1,3,4
5,TLS Single,46.57,1,3,4
6,TLS Single,1339.0,1,3,4
7,TLS Single,50.67,1,3,4
8,TLS Single,49.13,1,3,4
9,TLS Single,443.17,1,3,4
10,TLS Single,59.22,1,3,4
11,TLS Single,235.06,1,3,4
12,TLS Single,58.79,1,3,4
13,TLS Single,47.98,1,3,4
14,TLS Single,234.37,1,3,4
15,TLS Single,56.15,1,3,4
16,TLS Single,1288.84,1,3,4
17,TLS Single,287.95,1,3,4
18,TLS Single,236.42,1,3,4
19,TLS Single,56.04,1,3,4
20,TLS Single,47.69,1,3,4
21,TLS Single,238.52,1,3,4
22,TLS Single,59.99,1,3,4
23,TLS Single,48.24,1,3,4
24,TLS Single,1302.81,1,3,4
25,TLS Single,1087.07,1,3,4
26,TLS Single,1528.13,1,3,4
27,TLS Single,47.55,1,3,4
28,TLS Single,47.81,1,3,4
29,TLS Single,45.28,1,3,4
30,TLS Single,46.25,1,3,4
31,TLS Single,1122.08,1,3,4
32,TLS Single,49.08,1,3,4
33,TLS Single,240.47,1,3,4
34,TLS Single,58.97,1,3,4
35,TLS Single,238.01,1,3,4
36,TLS Single,55.73,1,3,4
37,TLS Single,47.75,1,3,4
38,TLS Single,46.05,1,3,4
39,TLS Single,1111.36,1,3,4
40,TLS Single,48.33,1,3,4
41,TLS Single,1294.63,1,3,4
42,TLS Single,2130.3,1,3,4
43,TLS Single,232.1,1,3,4
44,TLS Single,288.94,1,3,4
45,TLS Single,47.0,1,3,4
46,TLS Single,234.07,1,3,4
47,TLS Single,59.27,1,3,4
48,TLS Single,236.6,1,3,4
49,TLS Single,245.2,1,3,4
50,TLS Single,243.22,1,3,4
51,TLS Single,1113.45,1,3,4
52,TLS Single,50.63,1,3,4
53,TLS Single,1090.85,1,3,4
54,TLS Single,49.99,1,3,4
55,TLS Single,46.94,1,3,4
56,TLS Single,47.38,1,3,4
57,TLS Single,493.85,1,3,4
58,TLS Single,266.31,1,3,4
59,TLS Single,50.13,1,3,4
60,TLS Single,47.23,1,3,4
61,TLS Single,48.15,1,3,4
62,TLS Single,1287.78,1,3,4
63,TLS Single,294.81,1,3,4
64,TLS Single,51.5,1,3,4
65,TLS Single,49.74,1,3,4
66,TLS Single,45.81,1,3,4
67,TLS Single,1294.26,1,3,4
68,TLS Single,47.66,1,3,4
69,TLS Single,1341.46,1,3,4
70,TLS Single,50.9,1,3,4
71,TLS Single,46.67,1,3,4
72,TLS Single,46.76,1,3,4
73,TLS Single,282.69,1,3,4
74,TLS Single,284.3,1,3,4
75,TLS Single,51.39,1,3,4
76,TLS Single,239.04,1,3,4
77,TLS Single,60.41,1,3,4
78,TLS Single,50.91,1,3,4
79,TLS Single,48.09,1,3,4
80,TLS Single,48.8,1,3,4
81,TLS Single,46.3,1,3,4
82,TLS Single,49.3,1,3,4
83,TLS Single,48.42,1,3,4
84,TLS Single,47.42,1,3,4
85,TLS Single,46.75,1,3,4
86,TLS Single,880.28,1,3,4
87,TLS Single,49.63,1,3,4
88,TLS Single,51.71,1,3,4
89,TLS Single,1775.03,1,3,4
90,TLS Single,50.48,1,3,4
91,TLS Single,47.57,1,3,4
92,TLS Single,284.93,1,3,4
93,TLS Single,50.99,1,3,4
94,TLS Single,49.65,1,3,4
95,TLS Single,235.07,1,3,4
96,TLS Single,55.63,1,3,4
97,TLS Single,48.68,1,3,4
98,TLS Single,45.11,1,3,4
99,TLS Single,47.37,1,3,4
100,TLS Single,47.32,1,3,4
101,TLS Single,46.26,1,3,4
102,TLS Single,241.21,1,3,4
103,TLS Single,59.05,1,3,4
104,TLS Single,51.06,1,3,4
105,TLS Single,49.79,1,3,4
106,TLS Single,45.33,1,3,4
107,TLS Single,1135.48,1,3,4
108,TLS Single,289.89,1,3,4
109,TLS Single,444.95,1,3,4
110,TLS Single,56.09,1,3,4
111,TLS Single,51.24,1,3,4
112,TLS Single,284.62,1,3,4
113,TLS Single,497.26,1,3,4
114,TLS Single,50.07,1,3,4
115,TLS Single,2082.62,1,3,4
116,TLS Single,49.78,1,3,4
117,TLS Single,46.77,1,3,4
118,TLS Single,50.38,1,3,4
119,TLS Single,236.82,1,3,4
120,TLS Single,62.52,1,3,4
121,TLS Single,51.2,1,3,4
122,TLS Single,45.1,1,3,4
123,TLS Single,1071.71,1,3,4
124,TLS Single,3134.84,1,3,4
125,TLS Single,667.36,1,3,4
