execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,11.96,1,3,4
2,TLS Single,10.86,1,3,4
3,TLS Single,1059.14,1,3,4
4,TLS Single,3115.25,1,3,4
5,TLS Single,1078.54,1,3,4
6,TLS Single,13.45,1,3,4
7,TLS Single,10.82,1,3,4
8,TLS Single,1024.79,1,3,4
9,TLS Single,12.01,1,3,4
10,TLS Single,10.65,1,3,4
11,TLS Single,11.32,1,3,4
12,TLS Single,9.89,1,3,4
13,TLS Single,9.64,1,3,4
14,TLS Single,15.53,1,3,4
15,TLS Single,10.02,1,3,4
16,TLS Single,14.18,1,3,4
17,TLS Single,10.51,1,3,4
18,TLS Single,15.61,1,3,4
19,TLS Single,1451.14,1,3,4
20,TLS Single,638.79,1,3,4
21,TLS Single,9.98,1,3,4
22,TLS Single,10.73,1,3,4
23,TLS Single,10.87,1,3,4
24,TLS Single,10.03,1,3,4
25,TLS Single,10.24,1,3,4
26,TLS Single,10.83,1,3,4
27,TLS Single,1028.23,1,3,4
28,TLS Single,10.15,1,3,4
29,TLS Single,1039.36,1,3,4
30,TLS Single,16.74,1,3,4
31,TLS Single,10.05,1,3,4
32,TLS Single,228.64,1,3,4
33,TLS Single,20.25,1,3,4
34,TLS Single,12.06,1,3,4
35,TLS Single,11.53,1,3,4
36,TLS Single,11.15,1,3,4
37,TLS Single,10.16,1,3,4
38,TLS Single,1224.27,1,3,4
39,TLS Single,2087.05,1,3,4
40,TLS Single,21.32,1,3,4
41,TLS Single,11.87,1,3,4
42,TLS Single,633.23,1,3,4
43,TLS Single,12.36,1,3,4
44,TLS Single,13.36,1,3,4
45,TLS Single,14.33,1,3,4
46,TLS Single,230.91,1,3,4
47,TLS Single,13.31,1,3,4
48,TLS Single,10.33,1,3,4
49,TLS Single,10.51,1,3,4
50,TLS Single,11.19,1,3,4
51,TLS Single,10.14,1,3,4
52,TLS Single,10.34,1,3,4
53,TLS Single,10.99,1,3,4
54,TLS Single,10.07,1,3,4
55,TLS Single,1074.52,1,3,4
56,TLS Single,16.59,1,3,4
57,TLS Single,10.87,1,3,4
58,TLS Single,9.91,1,3,4
59,TLS Single,9.95,1,3,4
60,TLS Single,1282.64,1,3,4
61,TLS Single,1887.86,1,3,4
62,TLS Single,1069.92,1,3,4
63,TLS Single,11.49,1,3,4
64,TLS Single,9.78,1,3,4
65,TLS Single,10.86,1,3,4
66,TLS Single,10.27,1,3,4
67,TLS Single,9.69,1,3,4
68,TLS Single,1025.57,1,3,4
69,TLS Single,16.82,1,3,4
70,TLS Single,11.91,1,3,4
71,TLS Single,9.7,1,3,4
72,TLS Single,14.94,1,3,4
73,TLS Single,1041.06,1,3,4
74,TLS Single,10.74,1,3,4
75,TLS Single,11.33,1,3,4
76,TLS Single,10.62,1,3,4
77,TLS Single,9.65,1,3,4
78,TLS Single,1050.59,1,3,4
79,TLS Single,11.49,1,3,4
80,TLS Single,11.06,1,3,4
81,TLS Single,9.92,1,3,4
82,TLS Single,1479.94,1,3,4
83,TLS Single,221.5,1,3,4
84,TLS Single,15.76,1,3,4
85,TLS Single,1039.72,1,3,4
86,TLS Single,10.84,1,3,4
87,TLS Single,11.14,1,3,4
88,TLS Single,11.87,1,3,4
89,TLS Single,1062.68,1,3,4
90,TLS Single,12.03,1,3,4
91,TLS Single,10.13,1,3,4
92,TLS Single,637.99,1,3,4
93,TLS Single,11.38,1,3,4
94,TLS Single,10.95,1,3,4
95,TLS Single,10.75,1,3,4
96,TLS Single,9.83,1,3,4
97,TLS Single,9.72,1,3,4
98,TLS Single,11.14,1,3,4
99,TLS Single,1079.53,1,3,4
100,TLS Single,1268.44,1,3,4
101,TLS Single,232.33,1,3,4
102,TLS Single,1045.9,1,3,4
103,TLS Single,1068.7,1,3,4
104,TLS Single,17.2,1,3,4
105,TLS Single,1040.07,1,3,4
106,TLS Single,11.28,1,3,4
107,TLS Single,10.29,1,3,4
108,TLS Single,10.8,1,3,4
109,TLS Single,3117.74,1,3,4
110,TLS Single,16.19,1,3,4
111,TLS Single,14.62,1,3,4
112,TLS Single,14.42,1,3,4
113,TLS Single,13.67,1,3,4
114,TLS Single,1017.8,1,3,4
115,TLS Single,16.32,1,3,4
116,TLS Single,11.55,1,3,4
117,TLS Single,1226.08,1,3,4
118,TLS Single,13.08,1,3,4
119,TLS Single,10.57,1,3,4
120,TLS Single,13.94,1,3,4
121,TLS Single,10.12,1,3,4
122,TLS Single,9.63,1,3,4
123,TLS Single,10.42,1,3,4
124,TLS Single,10.64,1,3,4
125,TLS Single,10.29,1,3,4
