execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,4.11,1,4,4
2,TLS Single,3.47,1,4,4
3,TLS Single,1058.58,1,4,4
4,TLS Single,5.88,1,4,4
5,TLS Single,4.34,1,4,4
6,TLS Single,4.1,1,4,4
7,TLS Single,1223.02,1,4,4
8,TLS Single,8.26,1,4,4
9,TLS Single,6.04,1,4,4
10,TLS Single,212.45,1,4,4
11,TLS Single,2301.55,1,4,4
12,TLS Single,4.1,1,4,4
13,TLS Single,4.15,1,4,4
14,TLS Single,4.34,1,4,4
15,TLS Single,211.06,1,4,4
16,TLS Single,11.04,1,4,4
17,TLS Single,3.83,1,4,4
18,TLS Single,1046.56,1,4,4
19,TLS Single,4.42,1,4,4
20,TLS Single,209.78,1,4,4
21,TLS Single,8.83,1,4,4
22,TLS Single,832.12,1,4,4
23,TLS Single,4.34,1,4,4
24,TLS Single,3068.68,1,4,4
25,TLS Single,4.15,1,4,4
26,TLS Single,4.22,1,4,4
27,TLS Single,4.21,1,4,4
28,TLS Single,4.15,1,4,4
29,TLS Single,1067.02,1,4,4
30,TLS Single,4.04,1,4,4
31,TLS Single,3.73,1,4,4
32,TLS Single,1045.88,1,4,4
33,TLS Single,8.15,1,4,4
34,TLS Single,1232.1,1,4,4
35,TLS Single,4.43,1,4,4
36,TLS Single,4.39,1,4,4
37,TLS Single,3.87,1,4,4
38,TLS Single,4.11,1,4,4
39,TLS Single,1059.02,1,4,4
40,TLS Single,4.33,1,4,4
41,TLS Single,4.4,1,4,4
42,TLS Single,3.72,1,4,4
43,TLS Single,422.54,1,4,4
44,TLS Single,3.99,1,4,4
45,TLS Single,2042.51,1,4,4
46,TLS Single,4.19,1,4,4
47,TLS Single,4.3,1,4,4
48,TLS Single,1045.38,1,4,4
49,TLS Single,4.38,1,4,4
50,TLS Single,4.43,1,4,4
51,TLS Single,3.67,1,4,4
52,TLS Single,3.69,1,4,4
53,TLS Single,216.66,1,4,4
54,TLS Single,1073.71,1,4,4
55,TLS Single,4.05,1,4,4
56,TLS Single,4.1,1,4,4
57,TLS Single,4.08,1,4,4
58,TLS Single,1022.94,1,4,4
59,TLS Single,5.49,1,4,4
60,TLS Single,3.81,1,4,4
61,TLS Single,1021.92,1,4,4
62,TLS Single,4.37,1,4,4
63,TLS Single,4.52,1,4,4
64,TLS Single,4.43,1,4,4
65,TLS Single,1022.93,1,4,4
66,TLS Single,214.27,1,4,4
67,TLS Single,213.85,1,4,4
68,TLS Single,214.69,1,4,4
69,TLS Single,4.35,1,4,4
70,TLS Single,216.92,1,4,4
71,TLS Single,1264.93,1,4,4
72,TLS Single,5.64,1,4,4
73,TLS Single,216.96,1,4,4
74,TLS Single,8.86,1,4,4
75,TLS Single,3.9,1,4,4
76,TLS Single,3.97,1,4,4
77,TLS Single,3.83,1,4,4
78,TLS Single,214.73,1,4,4
79,TLS Single,212.83,1,4,4
80,TLS Single,8.85,1,4,4
81,TLS Single,420.24,1,4,4
82,TLS Single,4.96,1,4,4
83,TLS Single,424.58,1,4,4
84,TLS Single,1036.21,1,4,4
85,TLS Single,13.55,1,4,4
86,TLS Single,216.38,1,4,4
87,TLS Single,217.4,1,4,4
88,TLS Single,4.25,1,4,4
89,TLS Single,1013.38,1,4,4
90,TLS Single,1049.39,1,4,4
91,TLS Single,206.65,1,4,4
92,TLS Single,5.08,1,4,4
93,TLS Single,4.98,1,4,4
94,TLS Single,5.0,1,4,4
95,TLS Single,4.98,1,4,4
96,TLS Single,4.92,1,4,4
97,TLS Single,1021.11,1,4,4
98,TLS Single,1214.96,1,4,4
99,TLS Single,4.91,1,4,4
100,TLS Single,5.04,1,4,4
101,TLS Single,1024.4,1,4,4
102,TLS Single,5.02,1,4,4
103,TLS Single,1053.57,1,4,4
104,TLS Single,4.17,1,4,4
105,TLS Single,4.01,1,4,4
106,TLS Single,4.38,1,4,4
107,TLS Single,4.0,1,4,4
108,TLS Single,3.55,1,4,4
109,TLS Single,3.53,1,4,4
110,TLS Single,3.56,1,4,4
111,TLS Single,418.39,1,4,4
112,TLS Single,3.73,1,4,4
113,TLS Single,3.61,1,4,4
114,TLS Single,1075.7,1,4,4
115,TLS Single,6.0,1,4,4
116,TLS Single,4.25,1,4,4
117,TLS Single,1019.0,1,4,4
118,TLS Single,1072.68,1,4,4
119,TLS Single,4.05,1,4,4
120,TLS Single,4.05,1,4,4
121,TLS Single,215.03,1,4,4
122,TLS Single,5.88,1,4,4
123,TLS Single,3.76,1,4,4
124,TLS Single,3.77,1,4,4
125,TLS Single,4.26,1,4,4
