execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,261.8,1,4,4
2,TLS Single,1585.16,1,4,4
3,TLS Single,86.31,1,4,4
4,TLS Single,5389.3,1,4,4
5,TLS Single,1177.89,1,4,4
6,TLS Single,91.5,1,4,4
7,TLS Single,85.93,1,4,4
8,TLS Single,1366.51,1,4,4
9,TLS Single,1144.92,1,4,4
10,TLS Single,708.26,1,4,4
11,TLS Single,87.77,1,4,4
12,TLS Single,323.13,1,4,4
13,TLS Single,86.0,1,4,4
14,TLS Single,86.13,1,4,4
15,TLS Single,85.96,1,4,4
16,TLS Single,85.75,1,4,4
17,TLS Single,327.6,1,4,4
18,TLS Single,1147.99,1,4,4
19,TLS Single,86.04,1,4,4
20,TLS Single,85.61,1,4,4
21,TLS Single,917.48,1,4,4
22,TLS Single,875.85,1,4,4
23,TLS Single,338.18,1,4,4
24,TLS Single,328.23,1,4,4
25,TLS Single,708.48,1,4,4
26,TLS Single,87.65,1,4,4
27,TLS Single,89.45,1,4,4
28,TLS Single,85.39,1,4,4
29,TLS Single,85.65,1,4,4
30,TLS Single,305.06,1,4,4
31,TLS Single,324.6,1,4,4
32,TLS Single,85.96,1,4,4
33,TLS Single,328.0,1,4,4
34,TLS Single,86.06,1,4,4
35,TLS Single,85.57,1,4,4
36,TLS Single,86.07,1,4,4
37,TLS Single,85.82,1,4,4
38,TLS Single,85.83,1,4,4
39,TLS Single,85.87,1,4,4
40,TLS Single,325.71,1,4,4
41,TLS Single,1147.91,1,4,4
42,TLS Single,86.01,1,4,4
43,TLS Single,85.54,1,4,4
44,TLS Single,339.58,1,4,4
45,TLS Single,3182.03,1,4,4
46,TLS Single,85.55,1,4,4
47,TLS Single,85.37,1,4,4
48,TLS Single,1121.95,1,4,4
49,TLS Single,715.16,1,4,4
50,TLS Single,86.68,1,4,4
51,TLS Single,2987.32,1,4,4
52,TLS Single,92.21,1,4,4
53,TLS Single,85.7,1,4,4
54,TLS Single,85.75,1,4,4
55,TLS Single,85.58,1,4,4
56,TLS Single,330.12,1,4,4
57,TLS Single,85.69,1,4,4
58,TLS Single,86.76,1,4,4
59,TLS Single,716.9,1,4,4
60,TLS Single,87.61,1,4,4
61,TLS Single,258.1,1,4,4
62,TLS Single,2159.36,1,4,4
63,TLS Single,85.92,1,4,4
64,TLS Single,85.67,1,4,4
65,TLS Single,86.02,1,4,4
66,TLS Single,1177.46,1,4,4
67,TLS Single,85.91,1,4,4
68,TLS Single,86.39,1,4,4
69,TLS Single,85.54,1,4,4
70,TLS Single,258.07,1,4,4
71,TLS Single,266.72,1,4,4
72,TLS Single,95.51,1,4,4
73,TLS Single,262.14,1,4,4
74,TLS Single,1336.8,1,4,4
75,TLS Single,1775.31,1,4,4
76,TLS Single,86.42,1,4,4
77,TLS Single,1330.82,1,4,4
78,TLS Single,96.0,1,4,4
79,TLS Single,260.2,1,4,4
80,TLS Single,91.99,1,4,4
81,TLS Single,85.53,1,4,4
82,TLS Single,509.04,1,4,4
83,TLS Single,86.32,1,4,4
84,TLS Single,327.18,1,4,4
85,TLS Single,1358.59,1,4,4
86,TLS Single,88.59,1,4,4
87,TLS Single,85.72,1,4,4
88,TLS Single,86.5,1,4,4
89,TLS Single,85.94,1,4,4
90,TLS Single,714.62,1,4,4
91,TLS Single,89.59,1,4,4
92,TLS Single,515.24,1,4,4
93,TLS Single,316.92,1,4,4
94,TLS Single,86.12,1,4,4
95,TLS Single,85.67,1,4,4
96,TLS Single,1161.44,1,4,4
97,TLS Single,85.55,1,4,4
98,TLS Single,85.97,1,4,4
99,TLS Single,85.58,1,4,4
100,TLS Single,85.51,1,4,4
101,TLS Single,329.02,1,4,4
102,TLS Single,262.3,1,4,4
103,TLS Single,91.78,1,4,4
104,TLS Single,85.48,1,4,4
105,TLS Single,85.61,1,4,4
106,TLS Single,85.51,1,4,4
107,TLS Single,85.75,1,4,4
108,TLS Single,258.79,1,4,4
109,TLS Single,542.25,1,4,4
110,TLS Single,86.77,1,4,4
111,TLS Single,86.56,1,4,4
112,TLS Single,85.86,1,4,4
113,TLS Single,262.05,1,4,4
114,TLS Single,102.32,1,4,4
115,TLS Single,86.04,1,4,4
116,TLS Single,86.7,1,4,4
117,TLS Single,85.88,1,4,4
118,TLS Single,88.05,1,4,4
119,TLS Single,85.19,1,4,4
120,TLS Single,85.72,1,4,4
121,TLS Single,86.8,1,4,4
122,TLS Single,86.8,1,4,4
123,TLS Single,333.92,1,4,4
124,TLS Single,4016.18,1,4,4
125,TLS Single,305.12,1,4,4
