security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,1434.175,1989.479,-27.9
L1,ed25519,hqc128,pq_pur,2816.424,1989.479,41.6
L1,ed25519,mlkem512,pq_pur,1175.313,1989.479,-40.9
L1,ed25519,p256_hqc128,hybride,2276.591,1989.479,14.4
L1,ed25519,p256_mlkem512,hybride,1632.656,1989.479,-17.9
L1,ed25519,x25519_hqc128,hybride,2938.892,1989.479,47.7
L1,ed25519,x25519_mlkem512,hybride,1152.857,1989.479,-42.1
L1,ed25519,x25519,classique,1251.877,1989.479,-37.1
L1,mldsa44,P-256,classique,2469.791,1989.479,24.1
L1,mldsa44,hqc128,pq_pur,3617.063,1989.479,81.8
L1,mldsa44,mlkem512,pq_pur,3171.0,1989.479,59.4
L1,mldsa44,p256_hqc128,hybride,4499.221,1989.479,126.2
L1,mldsa44,p256_mlkem512,hybride,3014.573,1989.479,51.5
L1,mldsa44,x25519_hqc128,hybride,5244.554,1989.479,163.6
L1,mldsa44,x25519_mlkem512,hybride,2505.464,1989.479,25.9
L1,mldsa44,x25519,classique,2802.074,1989.479,40.8
L3,mldsa65,P-384,classique,9255.454,3619.41,155.7
L3,mldsa65,hqc192,pq_pur,4786.747,3619.41,32.3
L3,mldsa65,mlkem768,pq_pur,4745.582,3619.41,31.1
L3,mldsa65,p384_hqc192,hybride,6319.634,3619.41,74.6
L3,mldsa65,p384_mlkem768,hybride,3647.981,3619.41,0.8
L3,mldsa65,x448_hqc192,hybride,5262.529,3619.41,45.4
L3,mldsa65,x448_mlkem768,hybride,3665.98,3619.41,1.3
L3,mldsa65,x448,classique,2586.181,3619.41,-28.5
L5,mldsa87,P-521,classique,3563.268,2337.265,52.5
L5,mldsa87,hqc256,pq_pur,7713.212,2337.265,230.0
L5,mldsa87,mlkem1024,pq_pur,3964.394,2337.265,69.6
L5,mldsa87,p521_hqc256,hybride,7150.632,2337.265,205.9
L5,mldsa87,p521_mlkem1024,hybride,3461.567,2337.265,48.1
L3,secp384r1,P-384,classique,1159.395,3619.41,-68.0
L3,secp384r1,hqc192,pq_pur,3502.631,3619.41,-3.2
L3,secp384r1,mlkem768,pq_pur,1561.271,3619.41,-56.9
L3,secp384r1,p384_hqc192,hybride,3737.721,3619.41,3.3
L3,secp384r1,p384_mlkem768,hybride,1957.043,3619.41,-45.9
L3,secp384r1,x448_hqc192,hybride,3175.736,3619.41,-12.3
L3,secp384r1,x448_mlkem768,hybride,2114.894,3619.41,-41.6
L3,secp384r1,x448,classique,1476.609,3619.41,-59.2
L5,secp521r1,P-521,classique,1111.261,2337.265,-52.5
L5,secp521r1,hqc256,pq_pur,5541.366,2337.265,137.1
L5,secp521r1,mlkem1024,pq_pur,2300.169,2337.265,-1.6
L5,secp521r1,p521_hqc256,hybride,4611.059,2337.265,97.3
L5,secp521r1,p521_mlkem1024,hybride,1727.63,2337.265,-26.1
