execution,mode,handshake_duration_ms,success
1,TLS Single,3.3,1
2,TLS Single,419.76,1
3,TLS Single,7.69,1
4,TLS Single,7.61,1
5,TLS Single,209.21,1
6,TLS Single,7.62,1
7,TLS Single,423.63,1
8,TLS Single,1449.91,1
9,TLS Single,215.15,1
10,TLS Single,6.42,1
11,TLS Single,1041.84,1
12,TLS Single,826.85,1
13,TLS Single,1230.8,1
14,TLS Single,6.24,1
15,TLS Single,1264.37,1
16,TLS Single,212.38,1
17,TLS Single,3913.3,1
18,TLS Single,11443.35,1
19,TLS Single,211.3,1
20,TLS Single,2274.38,1
21,TLS Single,6.14,1
22,TLS Single,6.04,1
23,TLS Single,1024.29,1
24,TLS Single,1049.94,1
25,TLS Single,1051.44,1
26,TLS Single,5.41,1
27,TLS Single,215.26,1
28,TLS Single,6.17,1
29,TLS Single,6.53,1
30,TLS Single,6.6,1
31,TLS Single,6.33,1
32,TLS Single,215.49,1
33,TLS Single,1251.62,1
34,TLS Single,1672.64,1
35,TLS Single,212.24,1
36,TLS Single,5.53,1
37,TLS Single,6.26,1
38,TLS Single,4324.48,1
39,TLS Single,6.3,1
40,TLS Single,7.3,1
41,TLS Single,5.97,1
42,TLS Single,4369.46,1
43,TLS Single,6.61,1
44,TLS Single,1009.52,1
45,TLS Single,4378.37,1
46,TLS Single,209.38,1
47,TLS Single,5.63,1
48,TLS Single,5.97,1
49,TLS Single,5.47,1
50,TLS Single,2.87,1
51,TLS Single,2.39,1
52,TLS Single,1044.77,1
53,TLS Single,8.8,1
54,TLS Single,827.75,1
55,TLS Single,1242.0,1
56,TLS Single,5.4,1
57,TLS Single,208.9,1
58,TLS Single,5.5,1
59,TLS Single,6.68,1
60,TLS Single,6.42,1
61,TLS Single,1061.94,1
62,TLS Single,6.15,1
63,TLS Single,6.6,1
64,TLS Single,1236.41,1
65,TLS Single,1448.09,1
66,TLS Single,6.19,1
67,TLS Single,416.83,1
68,TLS Single,2060.99,1
69,TLS Single,6.37,1
70,TLS Single,213.26,1
71,TLS Single,7.72,1
72,TLS Single,8452.16,1
73,TLS Single,5.75,1
74,TLS Single,3695.47,1
75,TLS Single,5.61,1
76,TLS Single,1012.18,1
77,TLS Single,1051.51,1
78,TLS Single,831.47,1
79,TLS Single,1834.49,1
80,TLS Single,214.47,1
81,TLS Single,1067.01,1
82,TLS Single,207.96,1
83,TLS Single,6.19,1
84,TLS Single,4725.75,1
85,TLS Single,4380.51,1
86,TLS Single,5.73,1
87,TLS Single,421.1,1
88,TLS Single,6566.17,1
89,TLS Single,210.4,1
90,TLS Single,6.14,1
91,TLS Single,5116.85,1
92,TLS Single,6.4,1
93,TLS Single,212.02,1
94,TLS Single,422.69,1
95,TLS Single,6.2,1
96,TLS Single,1025.51,1
97,TLS Single,5.69,1
98,TLS Single,6.42,1
99,TLS Single,1858.66,1
100,TLS Single,828.09,1
101,TLS Single,6.35,1
102,TLS Single,1052.54,1
103,TLS Single,52504.12,1
104,TLS Single,209.15,1
105,TLS Single,421.63,1
106,TLS Single,211.71,1
107,TLS Single,825.1,1
108,TLS Single,6.34,1
109,TLS Single,6.28,1
110,TLS Single,3309.61,1
111,TLS Single,1691.39,1
112,TLS Single,2715.38,1
113,TLS Single,1052.33,1
114,TLS Single,1053.49,1
115,TLS Single,1690.24,1
116,TLS Single,1057.1,1
117,TLS Single,5.57,1
118,TLS Single,5.48,1
119,TLS Single,2271.97,1
120,TLS Single,1034.31,1
121,TLS Single,2077.03,1
122,TLS Single,6.32,1
123,TLS Single,4903.77,1
