execution,mode,handshake_duration_ms,success
1,TLS Single,17.95,1
2,TLS Single,21.52,1
3,TLS Single,17.69,1
4,TLS Single,7852.39,1
5,TLS Single,861.83,1
6,TLS Single,221.11,1
7,TLS Single,3162.05,1
8,TLS Single,32.34,1
9,TLS Single,17.71,1
10,TLS Single,17.39,1
11,TLS Single,1529.78,1
12,TLS Single,254.89,1
13,TLS Single,1500.15,1
14,TLS Single,242.77,1
15,TLS Single,19.0,1
16,TLS Single,17.82,1
17,TLS Single,1925.58,1
18,TLS Single,18.52,1
19,TLS Single,1515.71,1
20,TLS Single,18.9,1
21,TLS Single,7221.81,1
22,TLS Single,220.08,1
23,TLS Single,30.28,1
24,TLS Single,243.87,1
25,TLS Single,1524.56,1
26,TLS Single,22.03,1
27,TLS Single,18.01,1
28,TLS Single,18.53,1
29,TLS Single,2911.11,1
30,TLS Single,5820.08,1
31,TLS Single,1707.98,1
32,TLS Single,22.89,1
33,TLS Single,225.08,1
34,TLS Single,4354.03,1
35,TLS Single,19.83,1
36,TLS Single,428.94,1
37,TLS Single,1459.42,1
38,TLS Single,226.38,1
39,TLS Single,29.69,1
40,TLS Single,18.53,1
41,TLS Single,4399.12,1
42,TLS Single,18.25,1
43,TLS Single,18.44,1
44,TLS Single,18.57,1
45,TLS Single,832.25,1
46,TLS Single,22.04,1
47,TLS Single,869.2,1
48,TLS Single,19.71,1
49,TLS Single,1065.33,1
50,TLS Single,41.17,1
51,TLS Single,215.26,1
52,TLS Single,1663.69,1
53,TLS Single,459.14,1
54,TLS Single,19.41,1
55,TLS Single,53511.31,1
56,TLS Single,25.44,1
57,TLS Single,9537.3,1
58,TLS Single,1300.05,1
59,TLS Single,1290.69,1
60,TLS Single,247.5,1
61,TLS Single,33917.96,1
62,TLS Single,245.85,1
63,TLS Single,461.64,1
64,TLS Single,31.73,1
65,TLS Single,660.69,1
66,TLS Single,3385.33,1
67,TLS Single,2300.72,1
68,TLS Single,2704.7,1
69,TLS Single,41.64,1
70,TLS Single,221.52,1
71,TLS Single,24.05,1
72,TLS Single,18.29,1
73,TLS Single,217.03,1
74,TLS Single,23.93,1
75,TLS Single,240.06,1
76,TLS Single,1072.22,1
77,TLS Single,3589.79,1
78,TLS Single,848.01,1
79,TLS Single,19.07,1
80,TLS Single,17.3,1
81,TLS Single,17.11,1
82,TLS Single,5405.29,1
83,TLS Single,20.69,1
84,TLS Single,19.29,1
85,TLS Single,1501.09,1
86,TLS Single,4841.68,1
87,TLS Single,7058.17,1
88,TLS Single,40.93,1
89,TLS Single,243.02,1
90,TLS Single,18.38,1
91,TLS Single,2716.96,1
92,TLS Single,251.67,1
93,TLS Single,453.84,1
94,TLS Single,23.48,1
95,TLS Single,1719.8,1
96,TLS Single,17.73,1
97,TLS Single,17.64,1
98,TLS Single,17.03,1
99,TLS Single,16.64,1
100,TLS Single,1229.64,1
101,TLS Single,2944.78,1
102,TLS Single,429.85,1
103,TLS Single,1066.84,1
104,TLS Single,1445.46,1
105,TLS Single,462.17,1
106,TLS Single,7916.45,1
107,TLS Single,17.84,1
108,TLS Single,17.66,1
109,TLS Single,426.05,1
110,TLS Single,17473.85,1
111,TLS Single,4165.59,1
112,TLS Single,19.49,1
113,TLS Single,18.27,1
114,TLS Single,18.91,1
115,TLS Single,2545.9,1
116,TLS Single,3115.05,1
117,TLS Single,22.18,1
118,TLS Single,6432.77,1
119,TLS Single,32.45,1
120,TLS Single,2747.14,1
121,TLS Single,427.45,1
122,TLS Single,20.0,1
123,TLS Single,451.37,1
124,TLS Single,255.81,1
125,TLS Single,4217.48,1
126,TLS Single,4357.14,1
127,TLS Single,27.26,1
128,TLS Single,21.2,1
129,TLS Single,456.3,1
130,TLS Single,245.69,1
131,TLS Single,18.83,1
132,TLS Single,249.61,1
133,TLS Single,3719.96,1
134,TLS Single,2504.05,1
135,TLS Single,54633.85,1
136,TLS Single,18.68,1
137,TLS Single,3704.72,1
138,TLS Single,24.4,1
139,TLS Single,17.64,1
140,TLS Single,2700.81,1
141,TLS Single,5677.16,1
142,TLS Single,424.29,1
143,TLS Single,29.35,1
144,TLS Single,1296.47,1
145,TLS Single,1888.59,1
146,TLS Single,31.44,1
147,TLS Single,2342.26,1
148,TLS Single,1648.74,1
149,TLS Single,1089.93,1
150,TLS Single,17.77,1
151,TLS Single,1230.99,1
152,TLS Single,1914.13,1
153,TLS Single,862.48,1
154,TLS Single,246.84,1
155,TLS Single,1068.93,1
156,TLS Single,18.96,1
157,TLS Single,1714.63,1
158,TLS Single,1049.82,1
159,TLS Single,60646.86,1
160,TLS Single,253.95,1
161,TLS Single,1689.65,1
162,TLS Single,249.68,1
163,TLS Single,1300.69,1
164,TLS Single,662.76,1
165,TLS Single,5569.51,1
166,TLS Single,2501.51,1
167,TLS Single,426.51,1
168,TLS Single,23.16,1
169,TLS Single,17.67,1
170,TLS Single,1084.3,1
171,TLS Single,248.83,1
172,TLS Single,6622.84,1
173,TLS Single,19.06,1
174,TLS Single,17.92,1
175,TLS Single,661.27,1
176,TLS Single,25.98,1
177,TLS Single,17.68,1
178,TLS Single,17.27,1
179,TLS Single,1072.24,1
180,TLS Single,1110.26,1
181,TLS Single,3963.89,1
182,TLS Single,2137.64,1
183,TLS Single,22.09,1
184,TLS Single,431.96,1
185,TLS Single,1274.13,1
186,TLS Single,424.88,1
187,TLS Single,54806.7,1
188,TLS Single,18.46,1
189,TLS Single,1480.04,1
190,TLS Single,426.57,1
191,TLS Single,4149.34,1
192,TLS Single,4562.23,1
193,TLS Single,1326.2,1
194,TLS Single,14015.54,1
195,TLS Single,2127.72,1
196,TLS Single,31.57,1
197,TLS Single,1465.5,1
198,TLS Single,27.43,1
199,TLS Single,21.46,1
200,TLS Single,21.31,1
201,TLS Single,21.21,1
202,TLS Single,219.71,1
203,TLS Single,459.1,1
204,TLS Single,228.41,1
205,TLS Single,1055.73,1
206,TLS Single,219.28,1
207,TLS Single,2087.4,1
208,TLS Single,1460.37,1
209,TLS Single,232.79,1
210,TLS Single,217.81,1
211,TLS Single,19.43,1
212,TLS Single,21.98,1
213,TLS Single,22.63,1
214,TLS Single,836.09,1
215,TLS Single,22.56,1
216,TLS Single,1688.13,1
217,TLS Single,18.51,1
218,TLS Single,21.85,1
219,TLS Single,18.13,1
220,TLS Single,1293.55,1
221,TLS Single,2523.24,1
222,TLS Single,3143.42,1
223,TLS Single,1487.06,1
224,TLS Single,230.97,1
225,TLS Single,19.99,1
226,TLS Single,20.95,1
227,TLS Single,5645.23,1
228,TLS Single,4379.99,1
229,TLS Single,1301.96,1
230,TLS Single,41.07,1
231,TLS Single,1468.17,1
232,TLS Single,17.9,1
233,TLS Single,17.72,1
234,TLS Single,107080.37,1
235,TLS Single,1099.83,1
236,TLS Single,2065.62,1
237,TLS Single,13165.59,1
238,TLS Single,455.57,1
239,TLS Single,14343.15,1
240,TLS Single,22.56,1
241,TLS Single,656.02,1
242,TLS Single,226.41,1
243,TLS Single,10365.61,1
244,TLS Single,1302.48,1
245,TLS Single,1102.82,1
246,TLS Single,846.19,1
247,TLS Single,24.82,1
248,TLS Single,20.12,1
249,TLS Single,868.52,1
250,TLS Single,3603.22,1
251,TLS Single,23.52,1
252,TLS Single,22.55,1
253,TLS Single,17.57,1
254,TLS Single,2055.15,1
255,TLS Single,427.23,1
256,TLS Single,28.42,1
257,TLS Single,220.62,1
