execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,2.0,1,3,4
2,TLS Single,1.69,1,3,4
3,TLS Single,1.63,1,3,4
4,TLS Single,1852.28,1,3,4
5,TLS Single,1225.14,1,3,4
6,TLS Single,1049.04,1,3,4
7,TLS Single,1068.57,1,3,4
8,TLS Single,2.07,1,3,4
9,TLS Single,2.17,1,3,4
10,TLS Single,1676.73,1,3,4
11,TLS Single,207.63,1,3,4
12,TLS Single,1020.67,1,3,4
13,TLS Single,206.27,1,3,4
14,TLS Single,2.53,1,3,4
15,TLS Single,1020.55,1,3,4
16,TLS Single,2238.8,1,3,4
17,TLS Single,2.13,1,3,4
18,TLS Single,2.03,1,3,4
19,TLS Single,1.81,1,3,4
20,TLS Single,822.06,1,3,4
21,TLS Single,2.03,1,3,4
22,TLS Single,211.0,1,3,4
23,TLS Single,213.58,1,3,4
24,TLS Single,4.0,1,3,4
25,TLS Single,1059.6,1,3,4
26,TLS Single,3.89,1,3,4
27,TLS Single,1234.21,1,3,4
28,TLS Single,3099.4,1,3,4
29,TLS Single,3097.2,1,3,4
30,TLS Single,2.73,1,3,4
31,TLS Single,209.06,1,3,4
32,TLS Single,421.04,1,3,4
33,TLS Single,2.32,1,3,4
34,TLS Single,1.96,1,3,4
35,TLS Single,1.72,1,3,4
36,TLS Single,1.77,1,3,4
37,TLS Single,827.66,1,3,4
38,TLS Single,2.6,1,3,4
39,TLS Single,212.01,1,3,4
40,TLS Single,1226.05,1,3,4
41,TLS Single,1.98,1,3,4
42,TLS Single,417.95,1,3,4
43,TLS Single,2716.22,1,3,4
44,TLS Single,1215.55,1,3,4
45,TLS Single,1058.53,1,3,4
46,TLS Single,210.1,1,3,4
47,TLS Single,2260.02,1,3,4
48,TLS Single,2.56,1,3,4
49,TLS Single,2059.31,1,3,4
50,TLS Single,2090.31,1,3,4
51,TLS Single,413.52,1,3,4
52,TLS Single,1020.32,1,3,4
53,TLS Single,1214.84,1,3,4
54,TLS Single,207.48,1,3,4
55,TLS Single,1068.79,1,3,4
56,TLS Single,213.75,1,3,4
57,TLS Single,1029.45,1,3,4
58,TLS Single,420.7,1,3,4
59,TLS Single,1057.75,1,3,4
60,TLS Single,213.91,1,3,4
61,TLS Single,1853.13,1,3,4
62,TLS Single,211.78,1,3,4
63,TLS Single,2.02,1,3,4
64,TLS Single,2.1,1,3,4
65,TLS Single,1006.09,1,3,4
66,TLS Single,417.04,1,3,4
67,TLS Single,205.47,1,3,4
68,TLS Single,2.22,1,3,4
69,TLS Single,416.38,1,3,4
70,TLS Single,2.37,1,3,4
71,TLS Single,208.37,1,3,4
72,TLS Single,3.11,1,3,4
73,TLS Single,1.86,1,3,4
74,TLS Single,2.5,1,3,4
75,TLS Single,1.65,1,3,4
76,TLS Single,4125.69,1,3,4
77,TLS Single,2.07,1,3,4
78,TLS Single,1053.75,1,3,4
79,TLS Single,3748.34,1,3,4
80,TLS Single,2.13,1,3,4
81,TLS Single,1.76,1,3,4
82,TLS Single,2285.87,1,3,4
83,TLS Single,2.65,1,3,4
84,TLS Single,1038.59,1,3,4
85,TLS Single,2.34,1,3,4
86,TLS Single,829.19,1,3,4
87,TLS Single,2.0,1,3,4
88,TLS Single,826.11,1,3,4
89,TLS Single,1431.29,1,3,4
90,TLS Single,2.31,1,3,4
91,TLS Single,2.07,1,3,4
92,TLS Single,1219.66,1,3,4
93,TLS Single,6560.26,1,3,4
94,TLS Single,2.2,1,3,4
95,TLS Single,7202.94,1,3,4
96,TLS Single,213.84,1,3,4
97,TLS Single,212.98,1,3,4
98,TLS Single,2.99,1,3,4
99,TLS Single,2.4,1,3,4
100,TLS Single,212.39,1,3,4
101,TLS Single,1013.19,1,3,4
102,TLS Single,1421.51,1,3,4
103,TLS Single,4.4,1,3,4
104,TLS Single,211.95,1,3,4
105,TLS Single,3.01,1,3,4
106,TLS Single,1050.91,1,3,4
107,TLS Single,52842.13,1,3,4
108,TLS Single,1.96,1,3,4
109,TLS Single,1475.28,1,3,4
110,TLS Single,2.62,1,3,4
111,TLS Single,4094.11,1,3,4
112,TLS Single,206.99,1,3,4
113,TLS Single,4320.82,1,3,4
114,TLS Single,1880.1,1,3,4
115,TLS Single,2.72,1,3,4
116,TLS Single,2.15,1,3,4
117,TLS Single,1.74,1,3,4
118,TLS Single,822.12,1,3,4
119,TLS Single,417.08,1,3,4
120,TLS Single,207.93,1,3,4
121,TLS Single,1220.73,1,3,4
122,TLS Single,4337.4,1,3,4
123,TLS Single,2.85,1,3,4
124,TLS Single,2.14,1,3,4
125,TLS Single,1.76,1,3,4
