execution,mode,handshake_duration_ms,success
1,TLS Single,1909.31,1
2,TLS Single,217.22,1
3,TLS Single,1516.51,1
4,TLS Single,247.73,1
5,TLS Single,32.57,1
6,TLS Single,4180.85,1
7,TLS Single,3718.04,1
8,TLS Single,1683.78,1
9,TLS Single,18.77,1
10,TLS Single,17.67,1
11,TLS Single,3176.55,1
12,TLS Single,1095.54,1
13,TLS Single,2686.75,1
14,TLS Single,20.85,1
15,TLS Single,220.42,1
16,TLS Single,25.59,1
17,TLS Single,18.16,1
18,TLS Single,22.24,1
19,TLS Single,862.13,1
20,TLS Single,14166.4,1
21,TLS Single,654.75,1
22,TLS Single,18.33,1
23,TLS Single,18.06,1
24,TLS Single,849.75,1
25,TLS Single,3361.47,1
26,TLS Single,7251.3,1
27,TLS Single,2093.6,1
28,TLS Single,2970.22,1
29,TLS Single,1302.61,1
30,TLS Single,18.35,1
31,TLS Single,452.2,1
32,TLS Single,41.1,1
33,TLS Single,1252.71,1
34,TLS Single,3357.6,1
35,TLS Single,1078.0,1
36,TLS Single,1487.4,1
37,TLS Single,31.89,1
38,TLS Single,1121.68,1
39,TLS Single,18.88,1
40,TLS Single,4382.09,1
41,TLS Single,3142.98,1
42,TLS Single,214.75,1
43,TLS Single,29.59,1
44,TLS Single,18.03,1
45,TLS Single,461041.11,1
46,TLS Single,9301.12,1
47,TLS Single,3139.14,1
48,TLS Single,2111.93,1
49,TLS Single,18.73,1
50,TLS Single,18.0,1
51,TLS Single,218.55,1
52,TLS Single,28.66,1
53,TLS Single,19.44,1
54,TLS Single,215.12,1
55,TLS Single,1677.46,1
56,TLS Single,33.74,1
57,TLS Single,26.82,1
58,TLS Single,22.67,1
59,TLS Single,221.72,1
60,TLS Single,2299.55,1
61,TLS Single,2099.52,1
62,TLS Single,221.54,1
63,TLS Single,4383.13,1
64,TLS Single,18.58,1
65,TLS Single,1042.55,1
66,TLS Single,23.55,1
67,TLS Single,837.92,1
68,TLS Single,27.09,1
69,TLS Single,18.18,1
70,TLS Single,1265.98,1
71,TLS Single,1254.44,1
72,TLS Single,216.69,1
73,TLS Single,1243.54,1
