execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,17.17,1,4,4
2,TLS Single,17.77,1,4,4
3,TLS Single,2924.3,1,4,4
4,TLS Single,25.63,1,4,4
5,TLS Single,17.73,1,4,4
6,TLS Single,17.6,1,4,4
7,TLS Single,219.47,1,4,4
8,TLS Single,27.95,1,4,4
9,TLS Single,1473.26,1,4,4
10,TLS Single,19.11,1,4,4
11,TLS Single,426.66,1,4,4
12,TLS Single,2073.61,1,4,4
13,TLS Single,1509.02,1,4,4
14,TLS Single,426.9,1,4,4
15,TLS Single,430.46,1,4,4
16,TLS Single,24.41,1,4,4
17,TLS Single,1042.12,1,4,4
18,TLS Single,1520.91,1,4,4
19,TLS Single,18.27,1,4,4
20,TLS Single,247.79,1,4,4
21,TLS Single,2715.63,1,4,4
22,TLS Single,4364.85,1,4,4
23,TLS Single,18.75,1,4,4
24,TLS Single,18.84,1,4,4
25,TLS Single,3303.02,1,4,4
26,TLS Single,217.35,1,4,4
27,TLS Single,218.05,1,4,4
28,TLS Single,1275.89,1,4,4
29,TLS Single,18.5,1,4,4
30,TLS Single,1715.14,1,4,4
31,TLS Single,1909.54,1,4,4
32,TLS Single,23.97,1,4,4
33,TLS Single,251.3,1,4,4
34,TLS Single,41.84,1,4,4
35,TLS Single,1030.39,1,4,4
36,TLS Single,2929.21,1,4,4
37,TLS Single,21.13,1,4,4
38,TLS Single,425.12,1,4,4
39,TLS Single,1504.82,1,4,4
40,TLS Single,41.8,1,4,4
41,TLS Single,7277.06,1,4,4
42,TLS Single,41.88,1,4,4
43,TLS Single,17.3,1,4,4
44,TLS Single,423.46,1,4,4
45,TLS Single,222.71,1,4,4
46,TLS Single,28.98,1,4,4
47,TLS Single,19.35,1,4,4
48,TLS Single,5181.45,1,4,4
49,TLS Single,217.64,1,4,4
50,TLS Single,105669.42,1,4,4
51,TLS Single,41.19,1,4,4
52,TLS Single,26.69,1,4,4
53,TLS Single,219.25,1,4,4
54,TLS Single,5022.36,1,4,4
55,TLS Single,248.89,1,4,4
56,TLS Single,36635.9,1,4,4
57,TLS Single,1257.93,1,4,4
58,TLS Single,254.14,1,4,4
59,TLS Single,2146.57,1,4,4
60,TLS Single,41.19,1,4,4
61,TLS Single,245.96,1,4,4
62,TLS Single,18.8,1,4,4
63,TLS Single,18.15,1,4,4
64,TLS Single,17.08,1,4,4
65,TLS Single,16.86,1,4,4
66,TLS Single,1258.1,1,4,4
67,TLS Single,1275.15,1,4,4
68,TLS Single,18.7,1,4,4
69,TLS Single,245.49,1,4,4
70,TLS Single,218.29,1,4,4
71,TLS Single,1041.11,1,4,4
72,TLS Single,17.99,1,4,4
73,TLS Single,247.17,1,4,4
74,TLS Single,223.53,1,4,4
75,TLS Single,870.6,1,4,4
76,TLS Single,1303.88,1,4,4
77,TLS Single,22.87,1,4,4
78,TLS Single,835.6,1,4,4
79,TLS Single,21.55,1,4,4
80,TLS Single,19.19,1,4,4
81,TLS Single,242.82,1,4,4
82,TLS Single,20.07,1,4,4
83,TLS Single,18.18,1,4,4
84,TLS Single,17.81,1,4,4
85,TLS Single,2465.79,1,4,4
86,TLS Single,2112.51,1,4,4
87,TLS Single,27194.64,1,4,4
88,TLS Single,14320.17,1,4,4
89,TLS Single,650.78,1,4,4
90,TLS Single,3113.11,1,4,4
91,TLS Single,3747.19,1,4,4
92,TLS Single,20.82,1,4,4
93,TLS Single,18.35,1,4,4
94,TLS Single,17.85,1,4,4
95,TLS Single,1670.85,1,4,4
96,TLS Single,53129.65,1,4,4
97,TLS Single,3133.87,1,4,4
98,TLS Single,2089.84,1,4,4
99,TLS Single,20.89,1,4,4
100,TLS Single,1914.28,1,4,4
101,TLS Single,1079.85,1,4,4
102,TLS Single,18.12,1,4,4
103,TLS Single,17.91,1,4,4
104,TLS Single,244.26,1,4,4
105,TLS Single,31.56,1,4,4
106,TLS Single,18.61,1,4,4
107,TLS Single,1243.96,1,4,4
108,TLS Single,1699.99,1,4,4
109,TLS Single,1067.45,1,4,4
110,TLS Single,1299.33,1,4,4
111,TLS Single,1267.42,1,4,4
112,TLS Single,1683.68,1,4,4
113,TLS Single,5035.76,1,4,4
114,TLS Single,249.28,1,4,4
115,TLS Single,1079.29,1,4,4
116,TLS Single,18.28,1,4,4
117,TLS Single,2684.34,1,4,4
118,TLS Single,3954.43,1,4,4
119,TLS Single,216.95,1,4,4
120,TLS Single,28.83,1,4,4
121,TLS Single,17.9,1,4,4
122,TLS Single,17.3,1,4,4
123,TLS Single,2082.9,1,4,4
124,TLS Single,239.69,1,4,4
125,TLS Single,18.68,1,4,4
