execution,mode,handshake_duration_ms,success
1,TLS Single,2.37,1
2,TLS Single,2.04,1
3,TLS Single,1033.09,1
4,TLS Single,3.55,1
5,TLS Single,215.16,1
6,TLS Single,214.37,1
7,TLS Single,1043.17,1
8,TLS Single,3.98,1
9,TLS Single,2696.76,1
10,TLS Single,3.47,1
11,TLS Single,1041.88,1
12,TLS Single,416.52,1
13,TLS Single,3.02,1
14,TLS Single,3083.52,1
15,TLS Single,3.58,1
16,TLS Single,216589.55,1
17,TLS Single,2.8,1
18,TLS Single,1694.31,1
19,TLS Single,2.67,1
20,TLS Single,2.78,1
21,TLS Single,1043.57,1
22,TLS Single,2.39,1
23,TLS Single,2.49,1
24,TLS Single,2065.39,1
25,TLS Single,4335.62,1
26,TLS Single,209.05,1
27,TLS Single,1483.69,1
28,TLS Single,212.28,1
29,TLS Single,4.56,1
30,TLS Single,212.52,1
31,TLS Single,3.48,1
32,TLS Single,2.47,1
33,TLS Single,3.25,1
34,TLS Single,11624.66,1
35,TLS Single,1021.12,1
36,TLS Single,7211.55,1
37,TLS Single,208.07,1
38,TLS Single,2477.14,1
39,TLS Single,3.76,1
40,TLS Single,2.5,1
41,TLS Single,2.42,1
42,TLS Single,2.05,1
43,TLS Single,1027.7,1
44,TLS Single,2079.8,1
45,TLS Single,1070.3,1
46,TLS Single,213.52,1
47,TLS Single,13365.87,1
48,TLS Single,1056.14,1
49,TLS Single,2.22,1
50,TLS Single,2.27,1
51,TLS Single,2.26,1
52,TLS Single,1028.51,1
53,TLS Single,1255.21,1
54,TLS Single,418.6,1
55,TLS Single,213.21,1
56,TLS Single,4.31,1
57,TLS Single,416.25,1
58,TLS Single,1258.9,1
59,TLS Single,418.52,1
60,TLS Single,2897.64,1
61,TLS Single,1021.02,1
62,TLS Single,1690.86,1
63,TLS Single,2.38,1
64,TLS Single,3295.62,1
65,TLS Single,1047.01,1
66,TLS Single,1.97,1
67,TLS Single,1066.87,1
68,TLS Single,2.5,1
69,TLS Single,2.45,1
70,TLS Single,414.1,1
71,TLS Single,13227.87,1
72,TLS Single,4.25,1
73,TLS Single,2.94,1
74,TLS Single,2.39,1
75,TLS Single,2.4,1
76,TLS Single,2.83,1
77,TLS Single,1241.54,1
78,TLS Single,210.19,1
79,TLS Single,3.37,1
80,TLS Single,2.1,1
81,TLS Single,1431.12,1
82,TLS Single,3.66,1
83,TLS Single,1008.71,1
84,TLS Single,828.85,1
85,TLS Single,421.17,1
86,TLS Single,2.35,1
87,TLS Single,824.24,1
88,TLS Single,212.77,1
89,TLS Single,209.43,1
90,TLS Single,2.88,1
91,TLS Single,213.23,1
92,TLS Single,212.29,1
93,TLS Single,210.82,1
94,TLS Single,3.61,1
95,TLS Single,2.55,1
96,TLS Single,1453.96,1
97,TLS Single,1020.28,1
98,TLS Single,420.27,1
99,TLS Single,4.43,1
100,TLS Single,1231.76,1
101,TLS Single,1059.83,1
102,TLS Single,1068.48,1
103,TLS Single,1277.15,1
104,TLS Single,4365.57,1
105,TLS Single,2.39,1
106,TLS Single,1878.59,1
107,TLS Single,5.04,1
108,TLS Single,214.78,1
109,TLS Single,3.67,1
110,TLS Single,2.61,1
111,TLS Single,829.07,1
112,TLS Single,4139.07,1
113,TLS Single,1058.68,1
114,TLS Single,3.5,1
115,TLS Single,419.03,1
116,TLS Single,1032.07,1
117,TLS Single,6623.13,1
118,TLS Single,1471.32,1
119,TLS Single,1024.24,1
120,TLS Single,209.22,1
121,TLS Single,2083.53,1
122,TLS Single,2.69,1
123,TLS Single,7647.31,1
124,TLS Single,5.62,1
125,TLS Single,3.3,1
126,TLS Single,3.71,1
127,TLS Single,3.59,1
128,TLS Single,2.33,1
129,TLS Single,823.6,1
130,TLS Single,1018.58,1
131,TLS Single,415.77,1
132,TLS Single,1049.14,1
133,TLS Single,1059.04,1
134,TLS Single,1257.75,1
135,TLS Single,2707.7,1
136,TLS Single,3.98,1
137,TLS Single,1035.55,1
138,TLS Single,1051.74,1
139,TLS Single,4.6,1
140,TLS Single,2.23,1
141,TLS Single,1226.45,1
142,TLS Single,1039.1,1
143,TLS Single,3099.45,1
144,TLS Single,418.92,1
145,TLS Single,2.58,1
146,TLS Single,2.85,1
147,TLS Single,211.88,1
148,TLS Single,210.71,1
149,TLS Single,3.49,1
150,TLS Single,2.35,1
151,TLS Single,212.39,1
152,TLS Single,3.46,1
153,TLS Single,2.37,1
154,TLS Single,1063.69,1
155,TLS Single,5148.14,1
156,TLS Single,1010.46,1
157,TLS Single,2.22,1
158,TLS Single,1055.17,1
159,TLS Single,1055.29,1
160,TLS Single,3.65,1
161,TLS Single,1036.91,1
162,TLS Single,3.54,1
163,TLS Single,1037.8,1
164,TLS Single,1009.05,1
165,TLS Single,212.5,1
166,TLS Single,3.9,1
167,TLS Single,419.01,1
168,TLS Single,207.32,1
169,TLS Single,2.42,1
170,TLS Single,2.5,1
171,TLS Single,3.28,1
172,TLS Single,2.96,1
173,TLS Single,2451.22,1
174,TLS Single,3.68,1
175,TLS Single,1479.34,1
176,TLS Single,2.37,1
177,TLS Single,206.72,1
178,TLS Single,4748.16,1
179,TLS Single,3.98,1
180,TLS Single,1240.65,1
181,TLS Single,1040.86,1
182,TLS Single,7154.06,1
183,TLS Single,1009.75,1
184,TLS Single,2.8,1
185,TLS Single,1631.91,1
186,TLS Single,2081.64,1
187,TLS Single,210.95,1
188,TLS Single,1014.18,1
189,TLS Single,1047.32,1
190,TLS Single,1017.51,1
191,TLS Single,6618.28,1
192,TLS Single,2.79,1
193,TLS Single,2.32,1
194,TLS Single,422.24,1
195,TLS Single,420.65,1
196,TLS Single,2.2,1
197,TLS Single,2.03,1
198,TLS Single,210.53,1
199,TLS Single,1.88,1
200,TLS Single,1.92,1
201,TLS Single,1.98,1
202,TLS Single,419.87,1
203,TLS Single,212.11,1
204,TLS Single,4.54,1
205,TLS Single,2.69,1
206,TLS Single,1061.62,1
207,TLS Single,3304.72,1
208,TLS Single,2.2,1
209,TLS Single,2.25,1
210,TLS Single,2.62,1
211,TLS Single,415.46,1
212,TLS Single,4.1,1
213,TLS Single,207.98,1
214,TLS Single,3.55,1
215,TLS Single,2.39,1
216,TLS Single,207.05,1
