execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,213.63,1,4,4
2,TLS Single,1238.06,1,4,4
3,TLS Single,1265.33,1,4,4
4,TLS Single,211.92,1,4,4
5,TLS Single,2252.53,1,4,4
6,TLS Single,3.08,1,4,4
7,TLS Single,1239.95,1,4,4
8,TLS Single,417.5,1,4,4
9,TLS Single,214.38,1,4,4
10,TLS Single,1271.63,1,4,4
11,TLS Single,3309.41,1,4,4
12,TLS Single,1060.44,1,4,4
13,TLS Single,2730.57,1,4,4
14,TLS Single,2.15,1,4,4
15,TLS Single,2.1,1,4,4
16,TLS Single,3298.64,1,4,4
17,TLS Single,2.65,1,4,4
18,TLS Single,415.24,1,4,4
19,TLS Single,822.97,1,4,4
20,TLS Single,1052.15,1,4,4
21,TLS Single,3.9,1,4,4
22,TLS Single,212.92,1,4,4
23,TLS Single,5.53,1,4,4
24,TLS Single,3.46,1,4,4
25,TLS Single,3.35,1,4,4
26,TLS Single,3.28,1,4,4
27,TLS Single,3.3,1,4,4
28,TLS Single,3.54,1,4,4
29,TLS Single,3.22,1,4,4
30,TLS Single,3.45,1,4,4
31,TLS Single,1215.67,1,4,4
32,TLS Single,2.16,1,4,4
33,TLS Single,213.26,1,4,4
34,TLS Single,4.02,1,4,4
35,TLS Single,419.81,1,4,4
36,TLS Single,2.27,1,4,4
37,TLS Single,1843.52,1,4,4
38,TLS Single,1429.72,1,4,4
39,TLS Single,2.17,1,4,4
40,TLS Single,2686.04,1,4,4
41,TLS Single,2673.18,1,4,4
42,TLS Single,2.54,1,4,4
43,TLS Single,2.18,1,4,4
44,TLS Single,1681.17,1,4,4
45,TLS Single,4082.66,1,4,4
46,TLS Single,2447.78,1,4,4
47,TLS Single,213.32,1,4,4
48,TLS Single,213.13,1,4,4
49,TLS Single,2.69,1,4,4
50,TLS Single,1069.86,1,4,4
51,TLS Single,2.25,1,4,4
52,TLS Single,212.82,1,4,4
53,TLS Single,2044.97,1,4,4
54,TLS Single,5105.21,1,4,4
55,TLS Single,1272.86,1,4,4
56,TLS Single,2.22,1,4,4
57,TLS Single,2.17,1,4,4
58,TLS Single,2.17,1,4,4
59,TLS Single,1016.33,1,4,4
60,TLS Single,2.1,1,4,4
61,TLS Single,213.54,1,4,4
62,TLS Single,212.45,1,4,4
63,TLS Single,4.45,1,4,4
64,TLS Single,1482.05,1,4,4
65,TLS Single,825.79,1,4,4
66,TLS Single,2.29,1,4,4
67,TLS Single,1020.84,1,4,4
68,TLS Single,1274.93,1,4,4
69,TLS Single,208.4,1,4,4
70,TLS Single,1022.94,1,4,4
71,TLS Single,2.92,1,4,4
72,TLS Single,2080.36,1,4,4
73,TLS Single,2.21,1,4,4
74,TLS Single,2.24,1,4,4
75,TLS Single,1039.62,1,4,4
76,TLS Single,1212.19,1,4,4
77,TLS Single,2723.01,1,4,4
78,TLS Single,1010.93,1,4,4
79,TLS Single,2.44,1,4,4
80,TLS Single,1056.11,1,4,4
81,TLS Single,2.67,1,4,4
82,TLS Single,211.05,1,4,4
83,TLS Single,1025.95,1,4,4
84,TLS Single,2.15,1,4,4
85,TLS Single,1261.13,1,4,4
86,TLS Single,1264.67,1,4,4
87,TLS Single,1059.09,1,4,4
88,TLS Single,416.0,1,4,4
89,TLS Single,2.38,1,4,4
90,TLS Single,1213.16,1,4,4
91,TLS Single,2.36,1,4,4
92,TLS Single,2.04,1,4,4
93,TLS Single,2052.07,1,4,4
94,TLS Single,1007.08,1,4,4
95,TLS Single,415.45,1,4,4
96,TLS Single,1023.06,1,4,4
97,TLS Single,209.74,1,4,4
98,TLS Single,2.24,1,4,4
99,TLS Single,2.22,1,4,4
100,TLS Single,3059.15,1,4,4
101,TLS Single,828.57,1,4,4
102,TLS Single,2.17,1,4,4
103,TLS Single,2.18,1,4,4
104,TLS Single,2.03,1,4,4
105,TLS Single,1018.38,1,4,4
106,TLS Single,2085.27,1,4,4
107,TLS Single,1420.63,1,4,4
108,TLS Single,2.72,1,4,4
109,TLS Single,1027.17,1,4,4
110,TLS Single,1008.34,1,4,4
111,TLS Single,2.98,1,4,4
112,TLS Single,1052.74,1,4,4
113,TLS Single,823.01,1,4,4
114,TLS Single,207.25,1,4,4
115,TLS Single,214.73,1,4,4
116,TLS Single,1038.64,1,4,4
117,TLS Single,2.21,1,4,4
118,TLS Single,1474.95,1,4,4
119,TLS Single,210.25,1,4,4
120,TLS Single,414.88,1,4,4
121,TLS Single,1648.76,1,4,4
122,TLS Single,1423.8,1,4,4
123,TLS Single,1042.62,1,4,4
124,TLS Single,208.15,1,4,4
125,TLS Single,416.84,1,4,4
