execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,1232.09,1,3,4
2,TLS Single,212.84,1,3,4
3,TLS Single,1.81,1,3,4
4,TLS Single,1061.78,1,3,4
5,TLS Single,1.69,1,3,4
6,TLS Single,1057.9,1,3,4
7,TLS Single,2.2,1,3,4
8,TLS Single,2.22,1,3,4
9,TLS Single,2.16,1,3,4
10,TLS Single,4092.86,1,3,4
11,TLS Single,1006.07,1,3,4
12,TLS Single,1006.99,1,3,4
13,TLS Single,1009.66,1,3,4
14,TLS Single,1007.68,1,3,4
15,TLS Single,14446.29,1,3,4
16,TLS Single,419.18,1,3,4
17,TLS Single,1.81,1,3,4
18,TLS Single,3116.82,1,3,4
19,TLS Single,416.53,1,3,4
20,TLS Single,3.76,1,3,4
21,TLS Single,1.77,1,3,4
22,TLS Single,1.54,1,3,4
23,TLS Single,1857.29,1,3,4
24,TLS Single,212.14,1,3,4
25,TLS Single,55741.71,1,3,4
26,TLS Single,1215.58,1,3,4
27,TLS Single,1055.27,1,3,4
28,TLS Single,5.17,1,3,4
29,TLS Single,1028.74,1,3,4
30,TLS Single,1007.45,1,3,4
31,TLS Single,1011.71,1,3,4
32,TLS Single,2.58,1,3,4
33,TLS Single,1463.9,1,3,4
34,TLS Single,1248.64,1,3,4
35,TLS Single,3106.01,1,3,4
36,TLS Single,1.89,1,3,4
37,TLS Single,1263.29,1,3,4
38,TLS Single,825.35,1,3,4
39,TLS Single,208.53,1,3,4
40,TLS Single,1063.97,1,3,4
41,TLS Single,211.11,1,3,4
42,TLS Single,1671.0,1,3,4
43,TLS Single,11184.11,1,3,4
44,TLS Single,212.77,1,3,4
45,TLS Single,1031.64,1,3,4
46,TLS Single,2.0,1,3,4
47,TLS Single,418.19,1,3,4
48,TLS Single,2.19,1,3,4
49,TLS Single,2.28,1,3,4
50,TLS Single,1.71,1,3,4
51,TLS Single,1020.68,1,3,4
52,TLS Single,1.62,1,3,4
53,TLS Single,1.67,1,3,4
54,TLS Single,1049.52,1,3,4
55,TLS Single,1.83,1,3,4
56,TLS Single,823.33,1,3,4
57,TLS Single,2.57,1,3,4
58,TLS Single,4357.46,1,3,4
59,TLS Single,5105.34,1,3,4
60,TLS Single,3102.91,1,3,4
61,TLS Single,205.38,1,3,4
62,TLS Single,5773.56,1,3,4
63,TLS Single,1010.85,1,3,4
64,TLS Single,3516.21,1,3,4
65,TLS Single,1044.78,1,3,4
66,TLS Single,2.6,1,3,4
67,TLS Single,3308.21,1,3,4
68,TLS Single,1056.89,1,3,4
69,TLS Single,1.77,1,3,4
70,TLS Single,1.68,1,3,4
71,TLS Single,1044.88,1,3,4
72,TLS Single,1214.65,1,3,4
73,TLS Single,417.76,1,3,4
74,TLS Single,208.22,1,3,4
75,TLS Single,1.9,1,3,4
76,TLS Single,1023.65,1,3,4
77,TLS Single,2286.45,1,3,4
78,TLS Single,1058.58,1,3,4
79,TLS Single,822.36,1,3,4
80,TLS Single,2.35,1,3,4
81,TLS Single,1687.41,1,3,4
82,TLS Single,1424.84,1,3,4
83,TLS Single,1.86,1,3,4
84,TLS Single,1.79,1,3,4
85,TLS Single,206.73,1,3,4
86,TLS Single,5.11,1,3,4
87,TLS Single,6574.13,1,3,4
88,TLS Single,208.98,1,3,4
89,TLS Single,206.82,1,3,4
90,TLS Single,212.67,1,3,4
91,TLS Single,3.33,1,3,4
92,TLS Single,822.81,1,3,4
93,TLS Single,2.21,1,3,4
94,TLS Single,1042.19,1,3,4
95,TLS Single,3.78,1,3,4
96,TLS Single,1034.65,1,3,4
97,TLS Single,2.36,1,3,4
98,TLS Single,7196.41,1,3,4
99,TLS Single,1214.11,1,3,4
100,TLS Single,1261.0,1,3,4
101,TLS Single,3313.0,1,3,4
102,TLS Single,1473.28,1,3,4
103,TLS Single,1042.93,1,3,4
104,TLS Single,1007.73,1,3,4
105,TLS Single,206.15,1,3,4
106,TLS Single,4367.99,1,3,4
107,TLS Single,1.8,1,3,4
108,TLS Single,2284.48,1,3,4
109,TLS Single,1.95,1,3,4
110,TLS Single,1.81,1,3,4
111,TLS Single,1.89,1,3,4
112,TLS Single,1836.56,1,3,4
113,TLS Single,1018.59,1,3,4
114,TLS Single,1008.52,1,3,4
115,TLS Single,2.26,1,3,4
116,TLS Single,3.15,1,3,4
117,TLS Single,822.13,1,3,4
118,TLS Single,1863.6,1,3,4
119,TLS Single,4293.82,1,3,4
120,TLS Single,2.59,1,3,4
121,TLS Single,1041.01,1,3,4
122,TLS Single,1004.85,1,3,4
123,TLS Single,1.57,1,3,4
124,TLS Single,1.56,1,3,4
125,TLS Single,1.8,1,3,4
