execution,mode,handshake_duration_ms,success
1,TLS Single,1500.07,1
2,TLS Single,678.45,1
3,TLS Single,1508.49,1
4,TLS Single,84.27,1
5,TLS Single,84.94,1
6,TLS Single,78.3,1
7,TLS Single,58.72,1
8,TLS Single,54.43,1
9,TLS Single,249.39,1
10,TLS Single,1321.4,1
11,TLS Single,1137.33,1
12,TLS Single,82.56,1
13,TLS Single,1336.12,1
14,TLS Single,1280.59,1
15,TLS Single,1722.07,1
16,TLS Single,46.12,1
17,TLS Single,3182.75,1
18,TLS Single,91.51,1
19,TLS Single,59.3,1
20,TLS Single,1721.25,1
21,TLS Single,2519.85,1
22,TLS Single,1916.82,1
23,TLS Single,2092.42,1
24,TLS Single,11188.05,1
25,TLS Single,80.96,1
26,TLS Single,466.76,1
27,TLS Single,1903.7,1
28,TLS Single,77.98,1
29,TLS Single,2513.84,1
30,TLS Single,79.96,1
31,TLS Single,106781.21,1
32,TLS Single,1113.14,1
33,TLS Single,78.3,1
34,TLS Single,1138.28,1
35,TLS Single,3169.15,1
36,TLS Single,663.41,1
37,TLS Single,83.22,1
38,TLS Single,665.21,1
39,TLS Single,1343.95,1
40,TLS Single,1105.73,1
41,TLS Single,98.77,1
42,TLS Single,2745.94,1
43,TLS Single,94.05,1
44,TLS Single,643.26,1
45,TLS Single,872.17,1
46,TLS Single,3159.07,1
47,TLS Single,84.36,1
48,TLS Single,81.69,1
49,TLS Single,1681.32,1
50,TLS Single,3953.04,1
51,TLS Single,78.77,1
52,TLS Single,77.11,1
53,TLS Single,1128.33,1
54,TLS Single,877.29,1
55,TLS Single,3998.61,1
56,TLS Single,276.09,1
57,TLS Single,2717.4,1
58,TLS Single,4399.45,1
59,TLS Single,870.95,1
60,TLS Single,1894.85,1
61,TLS Single,78.22,1
62,TLS Single,264983.24,1
63,TLS Single,7255.83,1
64,TLS Single,665.27,1
65,TLS Single,3379.11,1
66,TLS Single,1302.15,1
67,TLS Single,4571.9,1
68,TLS Single,77.79,1
69,TLS Single,19801.4,1
70,TLS Single,1471.88,1
71,TLS Single,79.57,1
72,TLS Single,3017.24,1
73,TLS Single,1264.12,1
74,TLS Single,79.3,1
