execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,255.68,1,1,4
2,TLS Single,60.09,1,1,4
3,TLS Single,2126.44,1,1,4
4,TLS Single,3179.2,1,1,4
5,TLS Single,58.97,1,1,4
6,TLS Single,9346.52,1,1,4
7,TLS Single,59.31,1,1,4
8,TLS Single,59.09,1,1,4
9,TLS Single,447.08,1,1,4
10,TLS Single,628375.13,1,1,4
11,TLS Single,3151.92,1,1,4
12,TLS Single,449.65,1,1,4
13,TLS Single,4144.38,1,1,4
14,TLS Single,NaN,0,1,4
15,TLS Single,1255.66,1,1,4
16,TLS Single,7883.25,1,1,4
17,TLS Single,1520.69,1,1,4
18,TLS Single,1727.93,1,1,4
19,TLS Single,8364.62,1,1,4
20,TLS Single,1921.22,1,1,4
21,TLS Single,268.11,1,1,4
22,TLS Single,1067.83,1,1,4
23,TLS Single,240.53,1,1,4
24,TLS Single,1490.92,1,1,4
25,TLS Single,14815.53,1,1,4
26,TLS Single,10395.9,1,1,4
27,TLS Single,11624.32,1,1,4
28,TLS Single,60.4,1,1,4
29,TLS Single,882.79,1,1,4
30,TLS Single,648.28,1,1,4
31,TLS Single,248.81,1,1,4
32,TLS Single,63.25,1,1,4
33,TLS Single,60.27,1,1,4
34,TLS Single,61.25,1,1,4
35,TLS Single,65.39,1,1,4
36,TLS Single,59.58,1,1,4
37,TLS Single,3130.63,1,1,4
38,TLS Single,451.04,1,1,4
39,TLS Single,61.23,1,1,4
40,TLS Single,2767.41,1,1,4
41,TLS Single,246.15,1,1,4
42,TLS Single,5577.16,1,1,4
43,TLS Single,60.97,1,1,4
44,TLS Single,5561.12,1,1,4
45,TLS Single,265.21,1,1,4
46,TLS Single,3124.29,1,1,4
47,TLS Single,1688.28,1,1,4
48,TLS Single,2309.89,1,1,4
49,TLS Single,26981.47,1,1,4
50,TLS Single,8457.96,1,1,4
51,TLS Single,60.0,1,1,4
52,TLS Single,59.35,1,1,4
53,TLS Single,1113.81,1,1,4
54,TLS Single,1530.37,1,1,4
55,TLS Single,106522.15,1,1,4
56,TLS Single,2282.08,1,1,4
57,TLS Single,104.89,1,1,4
58,TLS Single,1268.37,1,1,4
59,TLS Single,64.43,1,1,4
60,TLS Single,10490.78,1,1,4
61,TLS Single,683.29,1,1,4
62,TLS Single,1686.69,1,1,4
63,TLS Single,59.75,1,1,4
64,TLS Single,64.11,1,1,4
65,TLS Single,5603.35,1,1,4
66,TLS Single,61.16,1,1,4
67,TLS Single,62.15,1,1,4
68,TLS Single,71.38,1,1,4
69,TLS Single,1103.14,1,1,4
70,TLS Single,1324.96,1,1,4
71,TLS Single,59.92,1,1,4
72,TLS Single,64.03,1,1,4
73,TLS Single,59.31,1,1,4
74,TLS Single,2088.48,1,1,4
75,TLS Single,455.32,1,1,4
76,TLS Single,60.08,1,1,4
77,TLS Single,4152.81,1,1,4
78,TLS Single,1481.83,1,1,4
79,TLS Single,1500.96,1,1,4
80,TLS Single,1266.09,1,1,4
81,TLS Single,243.17,1,1,4
82,TLS Single,682.08,1,1,4
83,TLS Single,3995.4,1,1,4
84,TLS Single,60.5,1,1,4
85,TLS Single,1266.01,1,1,4
86,TLS Single,5201.1,1,1,4
87,TLS Single,63.75,1,1,4
88,TLS Single,1036.2,1,1,4
89,TLS Single,25.73,1,1,4
90,TLS Single,5360.98,1,1,4
91,TLS Single,3145.64,1,1,4
92,TLS Single,60.21,1,1,4
93,TLS Single,2289.55,1,1,4
94,TLS Single,63.0,1,1,4
95,TLS Single,59.45,1,1,4
96,TLS Single,3371.99,1,1,4
97,TLS Single,3739.58,1,1,4
98,TLS Single,60.99,1,1,4
99,TLS Single,2542.89,1,1,4
100,TLS Single,3136.37,1,1,4
101,TLS Single,53151.41,1,1,4
102,TLS Single,264.67,1,1,4
103,TLS Single,270.28,1,1,4
104,TLS Single,1502.24,1,1,4
105,TLS Single,2946.18,1,1,4
106,TLS Single,5170.91,1,1,4
107,TLS Single,224.56,1,1,4
108,TLS Single,2295.36,1,1,4
109,TLS Single,14238.34,1,1,4
110,TLS Single,59.22,1,1,4
111,TLS Single,452.15,1,1,4
112,TLS Single,59.95,1,1,4
113,TLS Single,61.04,1,1,4
114,TLS Single,1692.6,1,1,4
115,TLS Single,11239.09,1,1,4
116,TLS Single,30.58,1,1,4
117,TLS Single,629.37,1,1,4
118,TLS Single,64.48,1,1,4
119,TLS Single,6242.56,1,1,4
120,TLS Single,32.37,1,1,4
121,TLS Single,34.66,1,1,4
122,TLS Single,107441.69,1,1,4
123,TLS Single,6461.8,1,1,4
124,TLS Single,60.15,1,1,4
125,TLS Single,8254.55,1,1,4
