execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,3319.85,1,4,4
2,TLS Single,2456.36,1,4,4
3,TLS Single,3309.44,1,4,4
4,TLS Single,5.41,1,4,4
5,TLS Single,3.62,1,4,4
6,TLS Single,1849.76,1,4,4
7,TLS Single,217.76,1,4,4
8,TLS Single,1042.58,1,4,4
9,TLS Single,415.37,1,4,4
10,TLS Single,211.23,1,4,4
11,TLS Single,2295.11,1,4,4
12,TLS Single,1268.8,1,4,4
13,TLS Single,415.81,1,4,4
14,TLS Single,4.53,1,4,4
15,TLS Single,3.23,1,4,4
16,TLS Single,1842.68,1,4,4
17,TLS Single,832.81,1,4,4
18,TLS Single,1069.66,1,4,4
19,TLS Single,8254.16,1,4,4
20,TLS Single,419.97,1,4,4
21,TLS Single,1453.9,1,4,4
22,TLS Single,6.06,1,4,4
23,TLS Single,NaN,0,4,4
24,TLS Single,3092.97,1,4,4
25,TLS Single,2274.08,1,4,4
26,TLS Single,5.54,1,4,4
27,TLS Single,2098.45,1,4,4
28,TLS Single,2072.41,1,4,4
29,TLS Single,1244.01,1,4,4
30,TLS Single,6.12,1,4,4
31,TLS Single,1867.16,1,4,4
32,TLS Single,5554.56,1,4,4
33,TLS Single,826.59,1,4,4
34,TLS Single,5759.19,1,4,4
35,TLS Single,5.76,1,4,4
36,TLS Single,1653.58,1,4,4
37,TLS Single,1011.42,1,4,4
38,TLS Single,4.47,1,4,4
39,TLS Single,4.29,1,4,4
40,TLS Single,205.02,1,4,4
41,TLS Single,3303.67,1,4,4
42,TLS Single,6.85,1,4,4
43,TLS Single,1636.23,1,4,4
44,TLS Single,56975.49,1,4,4
45,TLS Single,826.56,1,4,4
46,TLS Single,413.59,1,4,4
47,TLS Single,7590.03,1,4,4
48,TLS Single,212.9,1,4,4
49,TLS Single,4098.06,1,4,4
50,TLS Single,1428.08,1,4,4
51,TLS Single,3.45,1,4,4
52,TLS Single,2485.92,1,4,4
53,TLS Single,9371.24,1,4,4
54,TLS Single,4.96,1,4,4
55,TLS Single,9286.9,1,4,4
56,TLS Single,1693.0,1,4,4
57,TLS Single,4.95,1,4,4
58,TLS Single,2697.07,1,4,4
59,TLS Single,421.82,1,4,4
60,TLS Single,221.6,1,4,4
61,TLS Single,6.02,1,4,4
62,TLS Single,207.51,1,4,4
63,TLS Single,5.49,1,4,4
64,TLS Single,3135.18,1,4,4
65,TLS Single,4132.24,1,4,4
66,TLS Single,107095.98,1,4,4
67,TLS Single,3308.56,1,4,4
68,TLS Single,2277.25,1,4,4
69,TLS Single,1426.63,1,4,4
70,TLS Single,8424.24,1,4,4
71,TLS Single,212.36,1,4,4
72,TLS Single,3945.06,1,4,4
73,TLS Single,212.69,1,4,4
74,TLS Single,14051.51,1,4,4
75,TLS Single,3.24,1,4,4
76,TLS Single,26285.33,1,4,4
77,TLS Single,4.99,1,4,4
78,TLS Single,3.35,1,4,4
79,TLS Single,2255.28,1,4,4
80,TLS Single,1440.74,1,4,4
81,TLS Single,8073.61,1,4,4
82,TLS Single,4.6,1,4,4
83,TLS Single,4.44,1,4,4
84,TLS Single,617.99,1,4,4
85,TLS Single,8647.21,1,4,4
86,TLS Single,1457.45,1,4,4
87,TLS Single,1278.7,1,4,4
88,TLS Single,6.37,1,4,4
89,TLS Single,208.8,1,4,4
90,TLS Single,4744.62,1,4,4
91,TLS Single,5.2,1,4,4
92,TLS Single,1243.3,1,4,4
93,TLS Single,4.28,1,4,4
94,TLS Single,1426.67,1,4,4
95,TLS Single,3718.5,1,4,4
96,TLS Single,1040.8,1,4,4
97,TLS Single,7.15,1,4,4
98,TLS Single,11726.15,1,4,4
99,TLS Single,1442.71,1,4,4
100,TLS Single,1467.4,1,4,4
101,TLS Single,1236.02,1,4,4
102,TLS Single,3.83,1,4,4
103,TLS Single,1874.62,1,4,4
104,TLS Single,4.63,1,4,4
105,TLS Single,1479.27,1,4,4
106,TLS Single,4779.77,1,4,4
107,TLS Single,621.19,1,4,4
108,TLS Single,417.77,1,4,4
109,TLS Single,3082.82,1,4,4
110,TLS Single,2932.25,1,4,4
111,TLS Single,5.49,1,4,4
112,TLS Single,414.4,1,4,4
113,TLS Single,5.35,1,4,4
114,TLS Single,2.91,1,4,4
115,TLS Single,1673.58,1,4,4
116,TLS Single,5.78,1,4,4
117,TLS Single,213.06,1,4,4
118,TLS Single,5.83,1,4,4
119,TLS Single,7.35,1,4,4
120,TLS Single,3.37,1,4,4
121,TLS Single,1884.56,1,4,4
122,TLS Single,3.93,1,4,4
123,TLS Single,1046.9,1,4,4
124,TLS Single,415.48,1,4,4
125,TLS Single,1427.39,1,4,4
