execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,3400.55,1,4,4
2,TLS Single,9171.6,1,4,4
3,TLS Single,54119.58,1,4,4
4,TLS Single,7879.12,1,4,4
5,TLS Single,79.38,1,4,4
6,TLS Single,157.91,1,4,4
7,TLS Single,2332.39,1,4,4
8,TLS Single,179.38,1,4,4
9,TLS Single,717.62,1,4,4
10,TLS Single,1415.79,1,4,4
11,TLS Single,1719.95,1,4,4
12,TLS Single,1454.72,1,4,4
13,TLS Single,1354.43,1,4,4
14,TLS Single,1850.06,1,4,4
15,TLS Single,488.79,1,4,4
16,TLS Single,3471.41,1,4,4
17,TLS Single,13012.8,1,4,4
18,TLS Single,NaN,0,4,4
19,TLS Single,175.56,1,4,4
20,TLS Single,7162.23,1,4,4
21,TLS Single,30101.93,1,4,4
22,TLS Single,2358.61,1,4,4
23,TLS Single,4675.87,1,4,4
24,TLS Single,1993.57,1,4,4
25,TLS Single,2969.07,1,4,4
26,TLS Single,5281.92,1,4,4
27,TLS Single,1785.96,1,4,4
28,TLS Single,1703.88,1,4,4
29,TLS Single,1256.17,1,4,4
30,TLS Single,53665.74,1,4,4
31,TLS Single,2470.46,1,4,4
32,TLS Single,4577.05,1,4,4
33,TLS Single,878.61,1,4,4
34,TLS Single,13119.26,1,4,4
35,TLS Single,309.01,1,4,4
36,TLS Single,2211.1,1,4,4
37,TLS Single,118.91,1,4,4
38,TLS Single,77.93,1,4,4
39,TLS Single,257.48,1,4,4
40,TLS Single,2183.35,1,4,4
41,TLS Single,110.62,1,4,4
42,TLS Single,7720.35,1,4,4
43,TLS Single,1758.46,1,4,4
44,TLS Single,6640.35,1,4,4
45,TLS Single,3245.45,1,4,4
46,TLS Single,71064.29,1,4,4
47,TLS Single,19493.44,1,4,4
48,TLS Single,2027.03,1,4,4
49,TLS Single,1314.55,1,4,4
50,TLS Single,3610.03,1,4,4
51,TLS Single,178.78,1,4,4
52,TLS Single,1740.96,1,4,4
53,TLS Single,3307.77,1,4,4
54,TLS Single,5314.66,1,4,4
55,TLS Single,1953.08,1,4,4
56,TLS Single,2618.53,1,4,4
57,TLS Single,6130.09,1,4,4
58,TLS Single,178.89,1,4,4
59,TLS Single,2800.45,1,4,4
60,TLS Single,182.97,1,4,4
61,TLS Single,7938.28,1,4,4
62,TLS Single,376.31,1,4,4
63,TLS Single,1526.66,1,4,4
64,TLS Single,3407.25,1,4,4
65,TLS Single,184.98,1,4,4
66,TLS Single,5484.69,1,4,4
67,TLS Single,303.57,1,4,4
68,TLS Single,1202.23,1,4,4
69,TLS Single,4008.86,1,4,4
70,TLS Single,7125.22,1,4,4
71,TLS Single,173.41,1,4,4
72,TLS Single,29375.88,1,4,4
73,TLS Single,129.16,1,4,4
74,TLS Single,70.66,1,4,4
75,TLS Single,1515.89,1,4,4
76,TLS Single,21904.47,1,4,4
77,TLS Single,7899.95,1,4,4
78,TLS Single,718.08,1,4,4
79,TLS Single,172.8,1,4,4
80,TLS Single,875.2,1,4,4
81,TLS Single,389.19,1,4,4
82,TLS Single,309.32,1,4,4
83,TLS Single,1759.12,1,4,4
84,TLS Single,110412.41,1,4,4
85,TLS Single,171.44,1,4,4
86,TLS Single,8971.93,1,4,4
87,TLS Single,10159.08,1,4,4
88,TLS Single,925.94,1,4,4
89,TLS Single,3335.44,1,4,4
90,TLS Single,4432.11,1,4,4
91,TLS Single,2204.19,1,4,4
92,TLS Single,3978.19,1,4,4
93,TLS Single,923.3,1,4,4
94,TLS Single,2406.64,1,4,4
95,TLS Single,169.23,1,4,4
96,TLS Single,121.92,1,4,4
97,TLS Single,123.99,1,4,4
98,TLS Single,117.01,1,4,4
99,TLS Single,1539.48,1,4,4
100,TLS Single,377.06,1,4,4
101,TLS Single,1628.98,1,4,4
102,TLS Single,299.38,1,4,4
103,TLS Single,721.22,1,4,4
104,TLS Single,2394.43,1,4,4
105,TLS Single,14467.13,1,4,4
106,TLS Single,2783.86,1,4,4
107,TLS Single,2341.76,1,4,4
108,TLS Single,168.63,1,4,4
109,TLS Single,167.18,1,4,4
110,TLS Single,94.3,1,4,4
111,TLS Single,261.31,1,4,4
112,TLS Single,3514.33,1,4,4
113,TLS Single,2345.03,1,4,4
114,TLS Single,927.05,1,4,4
115,TLS Single,169.76,1,4,4
116,TLS Single,120.96,1,4,4
117,TLS Single,3159.3,1,4,4
118,TLS Single,15586.89,1,4,4
119,TLS Single,1546.39,1,4,4
120,TLS Single,168.94,1,4,4
121,TLS Single,1102.05,1,4,4
122,TLS Single,1194.44,1,4,4
123,TLS Single,495.09,1,4,4
124,TLS Single,6449.45,1,4,4
125,TLS Single,2383.8,1,4,4
