execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,7228.9,1,1,4
2,TLS Single,185.7,1,1,4
3,TLS Single,194.56,1,1,4
4,TLS Single,765.39,1,1,4
5,TLS Single,1740.54,1,1,4
6,TLS Single,53521.59,1,1,4
7,TLS Single,935.43,1,1,4
8,TLS Single,2759.31,1,1,4
9,TLS Single,88032.68,1,1,4
10,TLS Single,402.09,1,1,4
11,TLS Single,5297.63,1,1,4
12,TLS Single,3422.88,1,1,4
13,TLS Single,2060.99,1,1,4
14,TLS Single,278.27,1,1,4
15,TLS Single,2792.95,1,1,4
16,TLS Single,190.24,1,1,4
17,TLS Single,6686.41,1,1,4
18,TLS Single,313.32,1,1,4
19,TLS Single,330.25,1,1,4
20,TLS Single,3462.93,1,1,4
21,TLS Single,1556.93,1,1,4
22,TLS Single,256.84,1,1,4
23,TLS Single,1447.62,1,1,4
24,TLS Single,1557.98,1,1,4
25,TLS Single,17434.23,1,1,4
26,TLS Single,933.87,1,1,4
27,TLS Single,317.82,1,1,4
28,TLS Single,9212.57,1,1,4
29,TLS Single,3214.62,1,1,4
30,TLS Single,3223.89,1,1,4
31,TLS Single,35966.4,1,1,4
32,TLS Single,192.63,1,1,4
33,TLS Single,2818.04,1,1,4
34,TLS Single,54356.67,1,1,4
35,TLS Single,190.86,1,1,4
36,TLS Single,280.28,1,1,4
37,TLS Single,1642.26,1,1,4
38,TLS Single,10607.18,1,1,4
39,TLS Single,7543.34,1,1,4
40,TLS Single,4283.08,1,1,4
41,TLS Single,1376.05,1,1,4
42,TLS Single,183.03,1,1,4
43,TLS Single,8750.54,1,1,4
44,TLS Single,1146.82,1,1,4
45,TLS Single,177.06,1,1,4
46,TLS Single,4013.03,1,1,4
47,TLS Single,197.54,1,1,4
48,TLS Single,13484.88,1,1,4
49,TLS Single,2168.01,1,1,4
50,TLS Single,2396.55,1,1,4
51,TLS Single,7748.44,1,1,4
52,TLS Single,13870.55,1,1,4
53,TLS Single,3037.58,1,1,4
54,TLS Single,14299.61,1,1,4
55,TLS Single,144.15,1,1,4
56,TLS Single,456.06,1,1,4
57,TLS Single,1241.57,1,1,4
58,TLS Single,17795.38,1,1,4
59,TLS Single,2453.83,1,1,4
60,TLS Single,1521.61,1,1,4
61,TLS Single,3796.25,1,1,4
62,TLS Single,1149.3,1,1,4
63,TLS Single,367.66,1,1,4
64,TLS Single,189.36,1,1,4
65,TLS Single,522.84,1,1,4
66,TLS Single,800.14,1,1,4
67,TLS Single,3252.8,1,1,4
68,TLS Single,8084.68,1,1,4
69,TLS Single,183.42,1,1,4
70,TLS Single,1648.13,1,1,4
71,TLS Single,6343.43,1,1,4
72,TLS Single,194.57,1,1,4
73,TLS Single,9556.94,1,1,4
74,TLS Single,731.75,1,1,4
75,TLS Single,2396.84,1,1,4
76,TLS Single,6492.94,1,1,4
77,TLS Single,2981.33,1,1,4
78,TLS Single,724.16,1,1,4
79,TLS Single,2806.01,1,1,4
80,TLS Single,179.54,1,1,4
81,TLS Single,13498.76,1,1,4
82,TLS Single,1962.79,1,1,4
83,TLS Single,3213.89,1,1,4
84,TLS Single,3395.1,1,1,4
85,TLS Single,1850.31,1,1,4
86,TLS Single,8982.1,1,1,4
87,TLS Single,1341.88,1,1,4
88,TLS Single,4862.2,1,1,4
89,TLS Single,4621.77,1,1,4
90,TLS Single,3334.03,1,1,4
91,TLS Single,6670.39,1,1,4
92,TLS Single,526.16,1,1,4
93,TLS Single,104957.85,1,1,4
94,TLS Single,2840.89,1,1,4
95,TLS Single,2166.41,1,1,4
96,TLS Single,6304.43,1,1,4
97,TLS Single,1215.78,1,1,4
98,TLS Single,72.36,1,1,4
99,TLS Single,2569.15,1,1,4
100,TLS Single,188.01,1,1,4
101,TLS Single,3882.64,1,1,4
102,TLS Single,179.86,1,1,4
103,TLS Single,2406.52,1,1,4
104,TLS Single,5059.74,1,1,4
105,TLS Single,178.12,1,1,4
106,TLS Single,107.91,1,1,4
107,TLS Single,NaN,0,1,4
108,TLS Single,3255.84,1,1,4
109,TLS Single,12952.2,1,1,4
110,TLS Single,10780.0,1,1,4
111,TLS Single,28575.87,1,1,4
112,TLS Single,7582.16,1,1,4
113,TLS Single,13326.24,1,1,4
114,TLS Single,1960.43,1,1,4
115,TLS Single,53846.04,1,1,4
116,TLS Single,2957.57,1,1,4
117,TLS Single,1543.02,1,1,4
118,TLS Single,2128.41,1,1,4
119,TLS Single,193.44,1,1,4
120,TLS Single,1963.08,1,1,4
121,TLS Single,190.0,1,1,4
122,TLS Single,1972.81,1,1,4
123,TLS Single,30297.01,1,1,4
124,TLS Single,2380.14,1,1,4
125,TLS Single,2643.94,1,1,4
