execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,3507.87,1,3,4
2,TLS Single,838.84,1,3,4
3,TLS Single,1049.48,1,3,4
4,TLS Single,219.96,1,3,4
5,TLS Single,12.92,1,3,4
6,TLS Single,27171.47,1,3,4
7,TLS Single,17.44,1,3,4
8,TLS Single,4565.63,1,3,4
9,TLS Single,16.04,1,3,4
10,TLS Single,9.0,1,3,4
11,TLS Single,1064.89,1,3,4
12,TLS Single,16.99,1,3,4
13,TLS Single,9.19,1,3,4
14,TLS Single,1011.23,1,3,4
15,TLS Single,8.45,1,3,4
16,TLS Single,52508.0,1,3,4
17,TLS Single,14.96,1,3,4
18,TLS Single,5390.46,1,3,4
19,TLS Single,9.54,1,3,4
20,TLS Single,214.9,1,3,4
21,TLS Single,1482.37,1,3,4
22,TLS Single,1242.13,1,3,4
23,TLS Single,1245.04,1,3,4
24,TLS Single,13.48,1,3,4
25,TLS Single,1660.79,1,3,4
26,TLS Single,9.71,1,3,4
27,TLS Single,222.33,1,3,4
28,TLS Single,18.53,1,3,4
29,TLS Single,3068.52,1,3,4
30,TLS Single,8.45,1,3,4
31,TLS Single,834.72,1,3,4
32,TLS Single,212.21,1,3,4
33,TLS Single,13.17,1,3,4
34,TLS Single,10.36,1,3,4
35,TLS Single,3113.72,1,3,4
36,TLS Single,9.23,1,3,4
37,TLS Single,628.51,1,3,4
38,TLS Single,9.79,1,3,4
39,TLS Single,1450.45,1,3,4
40,TLS Single,3287.78,1,3,4
41,TLS Single,218.0,1,3,4
42,TLS Single,2067.9,1,3,4
43,TLS Single,213.97,1,3,4
44,TLS Single,629.03,1,3,4
45,TLS Single,11.64,1,3,4
46,TLS Single,4340.56,1,3,4
47,TLS Single,3152.16,1,3,4
48,TLS Single,10.53,1,3,4
49,TLS Single,9.15,1,3,4
50,TLS Single,9.29,1,3,4
51,TLS Single,1219.6,1,3,4
52,TLS Single,1059.1,1,3,4
53,TLS Single,13120.0,1,3,4
54,TLS Single,2714.18,1,3,4
55,TLS Single,9.94,1,3,4
56,TLS Single,1474.92,1,3,4
57,TLS Single,1864.32,1,3,4
58,TLS Single,1026.72,1,3,4
59,TLS Single,6414.73,1,3,4
60,TLS Single,1019.01,1,3,4
61,TLS Single,3319.54,1,3,4
62,TLS Single,12.41,1,3,4
63,TLS Single,7874.26,1,3,4
64,TLS Single,11.39,1,3,4
65,TLS Single,10.22,1,3,4
66,TLS Single,8.45,1,3,4
67,TLS Single,8817.3,1,3,4
68,TLS Single,1018.86,1,3,4
69,TLS Single,423.79,1,3,4
70,TLS Single,6570.09,1,3,4
71,TLS Single,227.8,1,3,4
72,TLS Single,637.39,1,3,4
73,TLS Single,2075.36,1,3,4
74,TLS Single,1253.13,1,3,4
75,TLS Single,1039.8,1,3,4
76,TLS Single,9333.25,1,3,4
77,TLS Single,1267.05,1,3,4
78,TLS Single,1669.92,1,3,4
79,TLS Single,2264.28,1,3,4
80,TLS Single,3749.44,1,3,4
81,TLS Single,14.69,1,3,4
82,TLS Single,8.4,1,3,4
83,TLS Single,5791.49,1,3,4
84,TLS Single,9.99,1,3,4
85,TLS Single,9.51,1,3,4
86,TLS Single,1862.31,1,3,4
87,TLS Single,1277.74,1,3,4
88,TLS Single,15.45,1,3,4
89,TLS Single,9.23,1,3,4
90,TLS Single,1061.85,1,3,4
91,TLS Single,1277.01,1,3,4
92,TLS Single,29078.38,1,3,4
93,TLS Single,1023.89,1,3,4
94,TLS Single,1460.14,1,3,4
95,TLS Single,8263.53,1,3,4
96,TLS Single,1218.67,1,3,4
97,TLS Single,4141.95,1,3,4
98,TLS Single,1485.83,1,3,4
99,TLS Single,1020.61,1,3,4
100,TLS Single,2281.27,1,3,4
101,TLS Single,12.98,1,3,4
102,TLS Single,2076.65,1,3,4
103,TLS Single,225.28,1,3,4
104,TLS Single,10.7,1,3,4
105,TLS Single,216.07,1,3,4
106,TLS Single,52644.06,1,3,4
107,TLS Single,13.96,1,3,4
108,TLS Single,9.53,1,3,4
109,TLS Single,8.58,1,3,4
110,TLS Single,6793.18,1,3,4
111,TLS Single,6815.02,1,3,4
112,TLS Single,10.6,1,3,4
113,TLS Single,3308.91,1,3,4
114,TLS Single,3909.88,1,3,4
115,TLS Single,214.74,1,3,4
116,TLS Single,15721.31,1,3,4
117,TLS Single,1461.56,1,3,4
118,TLS Single,216.07,1,3,4
119,TLS Single,212.53,1,3,4
120,TLS Single,4616.51,1,3,4
121,TLS Single,212.38,1,3,4
122,TLS Single,1289.13,1,3,4
123,TLS Single,9517.47,1,3,4
124,TLS Single,3307.46,1,3,4
125,TLS Single,1837.84,1,3,4
