execution,mode,handshake_duration_ms,success
1,TLS Single,1274.09,1
2,TLS Single,5.2,1
3,TLS Single,5365.86,1
4,TLS Single,1041.66,1
5,TLS Single,1644.76,1
6,TLS Single,628.7,1
7,TLS Single,217.27,1
8,TLS Single,6.86,1
9,TLS Single,3.33,1
10,TLS Single,3.33,1
11,TLS Single,5.7,1
12,TLS Single,3.37,1
13,TLS Single,414.84,1
14,TLS Single,214.63,1
15,TLS Single,628.32,1
16,TLS Single,214.99,1
17,TLS Single,621.49,1
18,TLS Single,6.14,1
19,TLS Single,215.43,1
20,TLS Single,4.57,1
21,TLS Single,3532.11,1
22,TLS Single,7.26,1
23,TLS Single,4.16,1
24,TLS Single,3.68,1
25,TLS Single,1243.49,1
26,TLS Single,4.91,1
27,TLS Single,4124.96,1
28,TLS Single,5.31,1
29,TLS Single,2100.15,1
30,TLS Single,2516.73,1
31,TLS Single,5.09,1
32,TLS Single,3302.67,1
33,TLS Single,6.24,1
34,TLS Single,218.44,1
35,TLS Single,4.87,1
36,TLS Single,1669.64,1
37,TLS Single,14580.98,1
38,TLS Single,2060.63,1
39,TLS Single,5.26,1
40,TLS Single,15808.86,1
41,TLS Single,2086.58,1
42,TLS Single,4.6,1
43,TLS Single,2482.48,1
44,TLS Single,9695.75,1
45,TLS Single,52538.23,1
46,TLS Single,6877.75,1
47,TLS Single,830.47,1
48,TLS Single,8.27,1
49,TLS Single,2652.75,1
50,TLS Single,213.74,1
51,TLS Single,9.27,1
52,TLS Single,3.58,1
53,TLS Single,1047.33,1
54,TLS Single,2706.05,1
55,TLS Single,1880.59,1
56,TLS Single,621.04,1
57,TLS Single,825.91,1
58,TLS Single,3.12,1
59,TLS Single,4176.41,1
60,TLS Single,2524.27,1
61,TLS Single,211.59,1
62,TLS Single,3074.45,1
63,TLS Single,2081.74,1
64,TLS Single,1008.28,1
65,TLS Single,211.34,1
66,TLS Single,1472.64,1
67,TLS Single,5398.42,1
68,TLS Single,4103.53,1
69,TLS Single,6.17,1
70,TLS Single,3334.81,1
71,TLS Single,621.24,1
72,TLS Single,211.61,1
73,TLS Single,823.7,1
74,TLS Single,209.39,1
75,TLS Single,6382.76,1
76,TLS Single,1072.52,1
77,TLS Single,418.27,1
78,TLS Single,5.07,1
79,TLS Single,3.65,1
80,TLS Single,825.39,1
81,TLS Single,5.19,1
82,TLS Single,415.65,1
83,TLS Single,5.82,1
84,TLS Single,19139.2,1
85,TLS Single,1057.72,1
86,TLS Single,3.42,1
87,TLS Single,619.39,1
88,TLS Single,5.62,1
89,TLS Single,3.3,1
90,TLS Single,214.78,1
91,TLS Single,3149.98,1
92,TLS Single,5.58,1
93,TLS Single,222.42,1
94,TLS Single,4.48,1
95,TLS Single,1447.22,1
96,TLS Single,420.48,1
97,TLS Single,1043.23,1
98,TLS Single,5.97,1
99,TLS Single,3.68,1
100,TLS Single,1464.51,1
101,TLS Single,1250.62,1
102,TLS Single,3357.88,1
103,TLS Single,5.15,1
104,TLS Single,212.45,1
105,TLS Single,1668.51,1
106,TLS Single,5377.43,1
107,TLS Single,1667.71,1
108,TLS Single,212.31,1
109,TLS Single,4.96,1
110,TLS Single,830.56,1
111,TLS Single,7.73,1
112,TLS Single,4.2,1
113,TLS Single,217.11,1
114,TLS Single,1659.89,1
115,TLS Single,4.94,1
116,TLS Single,208.81,1
117,TLS Single,53933.81,1
118,TLS Single,4.89,1
119,TLS Single,2049.97,1
120,TLS Single,9294.86,1
121,TLS Single,5.12,1
122,TLS Single,27225.87,1
123,TLS Single,6.9,1
124,TLS Single,3.76,1
125,TLS Single,223.55,1
126,TLS Single,827.21,1
127,TLS Single,1074.9,1
128,TLS Single,4.32,1
129,TLS Single,1037.16,1
130,TLS Single,419.35,1
131,TLS Single,4.64,1
132,TLS Single,415.88,1
133,TLS Single,5.64,1
134,TLS Single,3135.51,1
135,TLS Single,3724.63,1
136,TLS Single,2689.67,1
137,TLS Single,219.6,1
138,TLS Single,8.1,1
139,TLS Single,1234.2,1
140,TLS Single,421.77,1
141,TLS Single,210.89,1
142,TLS Single,2723.13,1
143,TLS Single,5.44,1
144,TLS Single,3080.97,1
145,TLS Single,5.93,1
146,TLS Single,3347.36,1
147,TLS Single,213.17,1
148,TLS Single,2042.66,1
149,TLS Single,831.93,1
150,TLS Single,3133.39,1
151,TLS Single,2056.57,1
152,TLS Single,7413.07,1
153,TLS Single,1441.59,1
154,TLS Single,7606.79,1
155,TLS Single,2300.35,1
156,TLS Single,4.36,1
