execution,mode,handshake_duration_ms,success
1,TLS Single,1040.74,1
2,TLS Single,829.18,1
3,TLS Single,2.58,1
4,TLS Single,2.62,1
5,TLS Single,1039.36,1
6,TLS Single,2716.52,1
7,TLS Single,1272.33,1
8,TLS Single,52597.43,1
9,TLS Single,2.89,1
10,TLS Single,1050.44,1
11,TLS Single,1223.09,1
12,TLS Single,218.82,1
13,TLS Single,1280.74,1
14,TLS Single,3931.45,1
15,TLS Single,1650.94,1
16,TLS Single,7.52,1
17,TLS Single,2.56,1
18,TLS Single,113744.87,1
19,TLS Single,1621.77,1
20,TLS Single,1034.77,1
21,TLS Single,2.73,1
22,TLS Single,2.96,1
23,TLS Single,2.74,1
24,TLS Single,826.75,1
25,TLS Single,3.85,1
26,TLS Single,2.63,1
27,TLS Single,211.61,1
28,TLS Single,19622.58,1
29,TLS Single,4.79,1
30,TLS Single,1057.59,1
31,TLS Single,1621.7,1
32,TLS Single,208.09,1
33,TLS Single,1048.64,1
34,TLS Single,3.92,1
35,TLS Single,210.39,1
36,TLS Single,1627.33,1
37,TLS Single,54159.73,1
38,TLS Single,1274.11,1
39,TLS Single,211.62,1
40,TLS Single,10695.25,1
41,TLS Single,417.0,1
42,TLS Single,6.57,1
43,TLS Single,2.68,1
44,TLS Single,618.3,1
45,TLS Single,3146.78,1
46,TLS Single,2036.86,1
47,TLS Single,1421.09,1
48,TLS Single,1046.66,1
49,TLS Single,3518.09,1
50,TLS Single,3536.13,1
51,TLS Single,213.34,1
52,TLS Single,7.38,1
53,TLS Single,3.72,1
54,TLS Single,2.76,1
55,TLS Single,2.52,1
56,TLS Single,1660.35,1
57,TLS Single,1015.64,1
58,TLS Single,412.44,1
59,TLS Single,1025.87,1
60,TLS Single,4757.84,1
61,TLS Single,417.46,1
62,TLS Single,2.74,1
63,TLS Single,9100.44,1
64,TLS Single,6.67,1
65,TLS Single,204.76,1
66,TLS Single,4295.63,1
67,TLS Single,7610.49,1
68,TLS Single,210.48,1
69,TLS Single,1263.27,1
70,TLS Single,2.89,1
71,TLS Single,1036.72,1
72,TLS Single,1008.07,1
73,TLS Single,621.57,1
74,TLS Single,7618.53,1
75,TLS Single,5.16,1
76,TLS Single,619.39,1
77,TLS Single,2.83,1
78,TLS Single,1836.44,1
79,TLS Single,1225.12,1
80,TLS Single,2.88,1
81,TLS Single,208.92,1
82,TLS Single,1889.19,1
83,TLS Single,1225.93,1
84,TLS Single,6624.81,1
85,TLS Single,2.81,1
86,TLS Single,203.41,1
87,TLS Single,619.13,1
88,TLS Single,10093.59,1
89,TLS Single,6385.35,1
90,TLS Single,7.46,1
91,TLS Single,7432.2,1
92,TLS Single,413.63,1
93,TLS Single,3520.22,1
94,TLS Single,3058.51,1
95,TLS Single,2.7,1
96,TLS Single,6244.02,1
97,TLS Single,1425.85,1
98,TLS Single,2073.13,1
99,TLS Single,417.53,1
100,TLS Single,4.9,1
101,TLS Single,1471.42,1
102,TLS Single,108299.39,1
103,TLS Single,15219.53,1
104,TLS Single,2266.44,1
105,TLS Single,625.69,1
106,TLS Single,5385.66,1
107,TLS Single,4142.51,1
108,TLS Single,4760.1,1
109,TLS Single,5592.66,1
110,TLS Single,4785.57,1
111,TLS Single,19762.1,1
112,TLS Single,210.65,1
113,TLS Single,28534.64,1
114,TLS Single,1229.41,1
115,TLS Single,2490.48,1
116,TLS Single,2069.9,1
117,TLS Single,3.67,1
118,TLS Single,821.31,1
119,TLS Single,1465.79,1
120,TLS Single,208.33,1
121,TLS Single,3952.52,1
122,TLS Single,1634.7,1
123,TLS Single,1634.19,1
124,TLS Single,7215.28,1
125,TLS Single,5.74,1
126,TLS Single,1243.94,1
127,TLS Single,3.21,1
128,TLS Single,3.27,1
129,TLS Single,2.38,1
130,TLS Single,2485.29,1
131,TLS Single,2.9,1
132,TLS Single,2.85,1
133,TLS Single,3094.57,1
134,TLS Single,4119.19,1
135,TLS Single,7881.14,1
136,TLS Single,29122.51,1
137,TLS Single,2.76,1
138,TLS Single,4788.19,1
139,TLS Single,3.47,1
140,TLS Single,2.69,1
141,TLS Single,420.95,1
142,TLS Single,1440.72,1
143,TLS Single,2.91,1
144,TLS Single,1233.15,1
145,TLS Single,2.89,1
146,TLS Single,30162.54,1
147,TLS Single,211.36,1
148,TLS Single,5.3,1
149,TLS Single,6764.49,1
150,TLS Single,2074.4,1
151,TLS Single,1038.26,1
152,TLS Single,2.67,1
153,TLS Single,825.29,1
154,TLS Single,7838.86,1
155,TLS Single,2.72,1
156,TLS Single,620.65,1
157,TLS Single,3.37,1
158,TLS Single,2.67,1
159,TLS Single,212.28,1
160,TLS Single,3.72,1
161,TLS Single,1878.15,1
162,TLS Single,1226.58,1
163,TLS Single,7.68,1
164,TLS Single,623.63,1
165,TLS Single,2274.02,1
166,TLS Single,1655.44,1
167,TLS Single,1293.21,1
168,TLS Single,2916.75,1
169,TLS Single,1017.61,1
170,TLS Single,6567.99,1
171,TLS Single,8241.07,1
172,TLS Single,416.6,1
173,TLS Single,2.72,1
174,TLS Single,2299.51,1
175,TLS Single,1433.75,1
176,TLS Single,1014.39,1
177,TLS Single,2.72,1
178,TLS Single,3997.99,1
179,TLS Single,3474.62,1
180,TLS Single,2.95,1
181,TLS Single,2500.52,1
182,TLS Single,2.61,1
183,TLS Single,2.54,1
184,TLS Single,207.03,1
185,TLS Single,207.84,1
186,TLS Single,2.24,1
187,TLS Single,2059.42,1
188,TLS Single,3115.5,1
189,TLS Single,413.46,1
190,TLS Single,1662.73,1
191,TLS Single,6.33,1
192,TLS Single,2697.41,1
193,TLS Single,8624.53,1
194,TLS Single,1009.51,1
195,TLS Single,216.68,1
196,TLS Single,1431.85,1
197,TLS Single,4.76,1
198,TLS Single,206.07,1
199,TLS Single,2041.48,1
200,TLS Single,2.63,1
201,TLS Single,204.47,1
202,TLS Single,2070.73,1
203,TLS Single,2.85,1
204,TLS Single,6830.46,1
205,TLS Single,3298.51,1
206,TLS Single,54473.38,1
207,TLS Single,1248.23,1
208,TLS Single,2076.67,1
209,TLS Single,2041.84,1
210,TLS Single,1271.74,1
211,TLS Single,3.76,1
212,TLS Single,413.55,1
213,TLS Single,1442.5,1
214,TLS Single,9967.91,1
215,TLS Single,58302.62,1
216,TLS Single,2.83,1
217,TLS Single,1047.76,1
218,TLS Single,4.37,1
