execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,2.3,1,4,4
2,TLS Single,1219.18,1,4,4
3,TLS Single,3.19,1,4,4
4,TLS Single,2.7,1,4,4
5,TLS Single,2.38,1,4,4
6,TLS Single,210.04,1,4,4
7,TLS Single,1656.52,1,4,4
8,TLS Single,1009.97,1,4,4
9,TLS Single,3734.6,1,4,4
10,TLS Single,414.47,1,4,4
11,TLS Single,5.59,1,4,4
12,TLS Single,4.33,1,4,4
13,TLS Single,826.65,1,4,4
14,TLS Single,1248.26,1,4,4
15,TLS Single,3.24,1,4,4
16,TLS Single,3510.51,1,4,4
17,TLS Single,4.03,1,4,4
18,TLS Single,626.93,1,4,4
19,TLS Single,4.11,1,4,4
20,TLS Single,418.31,1,4,4
21,TLS Single,4383.54,1,4,4
22,TLS Single,29504.26,1,4,4
23,TLS Single,1038.39,1,4,4
24,TLS Single,419.49,1,4,4
25,TLS Single,1687.76,1,4,4
26,TLS Single,212.37,1,4,4
27,TLS Single,210.88,1,4,4
28,TLS Single,5.01,1,4,4
29,TLS Single,414.11,1,4,4
30,TLS Single,3.25,1,4,4
31,TLS Single,3.57,1,4,4
32,TLS Single,2.35,1,4,4
33,TLS Single,1872.27,1,4,4
34,TLS Single,622.01,1,4,4
35,TLS Single,1637.38,1,4,4
36,TLS Single,1237.28,1,4,4
37,TLS Single,5794.25,1,4,4
38,TLS Single,1643.46,1,4,4
39,TLS Single,1058.16,1,4,4
40,TLS Single,623.62,1,4,4
41,TLS Single,3.09,1,4,4
42,TLS Single,2.71,1,4,4
43,TLS Single,211.02,1,4,4
44,TLS Single,4.23,1,4,4
45,TLS Single,2.39,1,4,4
46,TLS Single,212.54,1,4,4
47,TLS Single,5.94,1,4,4
48,TLS Single,205.27,1,4,4
49,TLS Single,3.48,1,4,4
50,TLS Single,1069.74,1,4,4
51,TLS Single,1069.79,1,4,4
52,TLS Single,624.26,1,4,4
53,TLS Single,13096.6,1,4,4
54,TLS Single,3937.62,1,4,4
55,TLS Single,215.88,1,4,4
56,TLS Single,3694.06,1,4,4
57,TLS Single,2052.14,1,4,4
58,TLS Single,3.12,1,4,4
59,TLS Single,1662.67,1,4,4
60,TLS Single,8323.16,1,4,4
61,TLS Single,1012.77,1,4,4
62,TLS Single,9.76,1,4,4
63,TLS Single,1468.18,1,4,4
64,TLS Single,209.13,1,4,4
65,TLS Single,1673.95,1,4,4
66,TLS Single,4.66,1,4,4
67,TLS Single,3.34,1,4,4
68,TLS Single,204.78,1,4,4
69,TLS Single,5.3,1,4,4
70,TLS Single,2478.02,1,4,4
71,TLS Single,2.25,1,4,4
72,TLS Single,4201.67,1,4,4
73,TLS Single,3.14,1,4,4
74,TLS Single,2085.0,1,4,4
75,TLS Single,2.86,1,4,4
76,TLS Single,2.98,1,4,4
77,TLS Single,3293.73,1,4,4
78,TLS Single,2693.98,1,4,4
79,TLS Single,6619.11,1,4,4
80,TLS Single,1038.33,1,4,4
81,TLS Single,2047.47,1,4,4
82,TLS Single,4.12,1,4,4
83,TLS Single,3.86,1,4,4
84,TLS Single,3.13,1,4,4
85,TLS Single,3.03,1,4,4
86,TLS Single,6243.07,1,4,4
87,TLS Single,1457.05,1,4,4
88,TLS Single,414.41,1,4,4
89,TLS Single,6.52,1,4,4
90,TLS Single,3.4,1,4,4
91,TLS Single,417.39,1,4,4
92,TLS Single,219.65,1,4,4
93,TLS Single,1227.97,1,4,4
94,TLS Single,4960.31,1,4,4
95,TLS Single,4.13,1,4,4
96,TLS Single,5612.83,1,4,4
97,TLS Single,2.73,1,4,4
98,TLS Single,3.6,1,4,4
99,TLS Single,2.82,1,4,4
100,TLS Single,1269.38,1,4,4
101,TLS Single,824.59,1,4,4
102,TLS Single,4.06,1,4,4
103,TLS Single,210.76,1,4,4
104,TLS Single,826.44,1,4,4
105,TLS Single,2.97,1,4,4
106,TLS Single,833.84,1,4,4
107,TLS Single,4902.8,1,4,4
108,TLS Single,3.21,1,4,4
109,TLS Single,2090.22,1,4,4
110,TLS Single,1480.68,1,4,4
111,TLS Single,828.87,1,4,4
112,TLS Single,3.35,1,4,4
113,TLS Single,3.21,1,4,4
114,TLS Single,2.33,1,4,4
115,TLS Single,2.67,1,4,4
116,TLS Single,2.58,1,4,4
117,TLS Single,2.34,1,4,4
118,TLS Single,209.58,1,4,4
119,TLS Single,1221.51,1,4,4
120,TLS Single,1041.65,1,4,4
121,TLS Single,208.52,1,4,4
122,TLS Single,6.45,1,4,4
123,TLS Single,2.67,1,4,4
124,TLS Single,2.39,1,4,4
125,TLS Single,2.52,1,4,4
