execution,mode,handshake_duration_ms,success
1,TLS Single,16669.71,1
2,TLS Single,5224.66,1
3,TLS Single,7490.81,1
4,TLS Single,1699.76,1
5,TLS Single,877.99,1
6,TLS Single,4676.88,1
7,TLS Single,78.49,1
8,TLS Single,458.21,1
9,TLS Single,475.89,1
10,TLS Single,1935.9,1
11,TLS Single,3201.42,1
12,TLS Single,265.99,1
13,TLS Single,3594.91,1
14,TLS Single,6726.99,1
15,TLS Single,1331.88,1
16,TLS Single,266.69,1
17,TLS Single,679.03,1
18,TLS Single,3752.69,1
19,TLS Single,8414.53,1
20,TLS Single,3137.8,1
21,TLS Single,1133.14,1
22,TLS Single,2116.12,1
23,TLS Single,2547.0,1
24,TLS Single,1696.67,1
25,TLS Single,877.12,1
26,TLS Single,4783.48,1
27,TLS Single,680.68,1
28,TLS Single,85.7,1
29,TLS Single,252.55,1
30,TLS Single,89.3,1
31,TLS Single,10583.13,1
32,TLS Single,5466.77,1
33,TLS Single,5233.3,1
34,TLS Single,661.37,1
35,TLS Single,674.16,1
36,TLS Single,2344.37,1
37,TLS Single,8330.67,1
38,TLS Single,334.24,1
39,TLS Single,660.56,1
40,TLS Single,83.77,1
41,TLS Single,78.79,1
42,TLS Single,2725.68,1
43,TLS Single,82.38,1
44,TLS Single,2415.31,1
45,TLS Single,8404.91,1
46,TLS Single,879.83,1
47,TLS Single,4194.28,1
48,TLS Single,29537.13,1
49,TLS Single,2145.22,1
50,TLS Single,6880.19,1
51,TLS Single,2992.21,1
52,TLS Single,8097.27,1
53,TLS Single,472.1,1
54,TLS Single,28294.52,1
55,TLS Single,1763.66,1
56,TLS Single,102.88,1
57,TLS Single,82.86,1
58,TLS Single,1693.83,1
59,TLS Single,5439.31,1
60,TLS Single,82.85,1
61,TLS Single,87.8,1
62,TLS Single,361608.61,1
63,TLS Single,503.61,1
64,TLS Single,323.75,1
65,TLS Single,1987.33,1
66,TLS Single,4848.11,1
67,TLS Single,81.7,1
68,TLS Single,6884.36,1
69,TLS Single,4557.02,1
70,TLS Single,1997.94,1
71,TLS Single,1085.92,1
72,TLS Single,7434.32,1
73,TLS Single,2516.72,1
74,TLS Single,3629.6,1
75,TLS Single,3806.63,1
76,TLS Single,4846.14,1
77,TLS Single,265.75,1
78,TLS Single,3222.78,1
79,TLS Single,80.13,1
80,TLS Single,53848.37,1
81,TLS Single,3183.03,1
82,TLS Single,90.26,1
83,TLS Single,322.39,1
84,TLS Single,676.6,1
85,TLS Single,258.12,1
86,TLS Single,8760.16,1
87,TLS Single,3353.86,1
88,TLS Single,1503.52,1
89,TLS Single,873.79,1
90,TLS Single,685.35,1
91,TLS Single,466.45,1
92,TLS Single,92.8,1
93,TLS Single,86.16,1
94,TLS Single,462.97,1
95,TLS Single,331.0,1
96,TLS Single,3394.2,1
97,TLS Single,464.92,1
98,TLS Single,61180.07,1
99,TLS Single,1138.01,1
100,TLS Single,1688.49,1
101,TLS Single,19842.47,1
102,TLS Single,2391.72,1
103,TLS Single,335.88,1
104,TLS Single,83.2,1
105,TLS Single,322.67,1
106,TLS Single,1716.76,1
107,TLS Single,5408.82,1
108,TLS Single,27993.83,1
109,TLS Single,263.42,1
110,TLS Single,4820.91,1
111,TLS Single,55793.84,1
112,TLS Single,52488.86,1
113,TLS Single,2984.51,1
114,TLS Single,89.03,1
115,TLS Single,21635.32,1
116,TLS Single,915.94,1
117,TLS Single,2416.08,1
118,TLS Single,82.23,1
