execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,9057.95,1,3,4
2,TLS Single,217.03,1,3,4
3,TLS Single,5193.88,1,3,4
4,TLS Single,14407.73,1,3,4
5,TLS Single,204.84,1,3,4
6,TLS Single,9475.26,1,3,4
7,TLS Single,5.55,1,3,4
8,TLS Single,6399.97,1,3,4
9,TLS Single,216.48,1,3,4
10,TLS Single,1431.82,1,3,4
11,TLS Single,2894.46,1,3,4
12,TLS Single,2262.65,1,3,4
13,TLS Single,1654.7,1,3,4
14,TLS Single,211.04,1,3,4
15,TLS Single,1447.53,1,3,4
16,TLS Single,210.34,1,3,4
17,TLS Single,4333.73,1,3,4
18,TLS Single,207.78,1,3,4
19,TLS Single,4373.1,1,3,4
20,TLS Single,1217.17,1,3,4
21,TLS Single,7711.13,1,3,4
22,TLS Single,2.34,1,3,4
23,TLS Single,1.73,1,3,4
24,TLS Single,211.0,1,3,4
25,TLS Single,828.05,1,3,4
26,TLS Single,417.37,1,3,4
27,TLS Single,1459.39,1,3,4
28,TLS Single,6219.39,1,3,4
29,TLS Single,3125.03,1,3,4
30,TLS Single,2.31,1,3,4
31,TLS Single,414.46,1,3,4
32,TLS Single,1.98,1,3,4
33,TLS Single,819.94,1,3,4
34,TLS Single,4373.09,1,3,4
35,TLS Single,5995.21,1,3,4
36,TLS Single,14455.89,1,3,4
37,TLS Single,4351.08,1,3,4
38,TLS Single,3719.33,1,3,4
39,TLS Single,1.94,1,3,4
40,TLS Single,3746.71,1,3,4
41,TLS Single,626.44,1,3,4
42,TLS Single,1481.55,1,3,4
43,TLS Single,5.22,1,3,4
44,TLS Single,206.53,1,3,4
45,TLS Single,1467.36,1,3,4
46,TLS Single,3088.14,1,3,4
47,TLS Single,8495.59,1,3,4
48,TLS Single,41776.14,1,3,4
49,TLS Single,4.95,1,3,4
50,TLS Single,1447.76,1,3,4
51,TLS Single,206.88,1,3,4
52,TLS Single,1.98,1,3,4
53,TLS Single,1470.18,1,3,4
54,TLS Single,2039.96,1,3,4
55,TLS Single,2.3,1,3,4
56,TLS Single,2246.41,1,3,4
57,TLS Single,7.54,1,3,4
58,TLS Single,2.32,1,3,4
59,TLS Single,1240.8,1,3,4
60,TLS Single,7197.17,1,3,4
61,TLS Single,1885.57,1,3,4
62,TLS Single,3758.66,1,3,4
63,TLS Single,1.92,1,3,4
64,TLS Single,1.85,1,3,4
65,TLS Single,1260.86,1,3,4
66,TLS Single,2.34,1,3,4
67,TLS Single,833.73,1,3,4
68,TLS Single,14245.94,1,3,4
69,TLS Single,6.34,1,3,4
70,TLS Single,627.91,1,3,4
71,TLS Single,412.91,1,3,4
72,TLS Single,1430.07,1,3,4
73,TLS Single,1217.67,1,3,4
74,TLS Single,1262.33,1,3,4
75,TLS Single,1263.62,1,3,4
76,TLS Single,11553.74,1,3,4
77,TLS Single,618.44,1,3,4
78,TLS Single,206.76,1,3,4
79,TLS Single,1029.03,1,3,4
80,TLS Single,1861.57,1,3,4
81,TLS Single,419.92,1,3,4
82,TLS Single,1.88,1,3,4
83,TLS Single,1661.22,1,3,4
84,TLS Single,1428.95,1,3,4
85,TLS Single,617.65,1,3,4
86,TLS Single,2.76,1,3,4
87,TLS Single,205.48,1,3,4
88,TLS Single,6205.53,1,3,4
89,TLS Single,2.96,1,3,4
90,TLS Single,1.84,1,3,4
91,TLS Single,2526.93,1,3,4
92,TLS Single,6435.3,1,3,4
93,TLS Single,28267.12,1,3,4
94,TLS Single,1007.64,1,3,4
95,TLS Single,1688.95,1,3,4
96,TLS Single,1440.49,1,3,4
97,TLS Single,9952.06,1,3,4
98,TLS Single,10527.51,1,3,4
99,TLS Single,29034.77,1,3,4
100,TLS Single,4575.07,1,3,4
101,TLS Single,2237.79,1,3,4
102,TLS Single,626.76,1,3,4
103,TLS Single,30365.97,1,3,4
104,TLS Single,3261.2,1,3,4
105,TLS Single,52513.34,1,3,4
106,TLS Single,1838.64,1,3,4
107,TLS Single,1433.73,1,3,4
108,TLS Single,5221.54,1,3,4
109,TLS Single,54894.44,1,3,4
110,TLS Single,2.0,1,3,4
111,TLS Single,626.48,1,3,4
112,TLS Single,2.08,1,3,4
113,TLS Single,1046.43,1,3,4
114,TLS Single,2.69,1,3,4
115,TLS Single,6999.86,1,3,4
116,TLS Single,1841.31,1,3,4
117,TLS Single,3481.1,1,3,4
118,TLS Single,3313.06,1,3,4
119,TLS Single,6594.13,1,3,4
120,TLS Single,2098.09,1,3,4
121,TLS Single,415.65,1,3,4
122,TLS Single,4.27,1,3,4
123,TLS Single,1232.89,1,3,4
124,TLS Single,2451.74,1,3,4
125,TLS Single,824.44,1,3,4
