execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,3628.33,1,4,4
2,TLS Single,50.42,1,4,4
3,TLS Single,6661.75,1,4,4
4,TLS Single,1099.97,1,4,4
5,TLS Single,2741.05,1,4,4
6,TLS Single,53.01,1,4,4
7,TLS Single,1508.57,1,4,4
8,TLS Single,244.77,1,4,4
9,TLS Single,886.87,1,4,4
10,TLS Single,1513.36,1,4,4
11,TLS Single,241.54,1,4,4
12,TLS Single,4436.26,1,4,4
13,TLS Single,5039.05,1,4,4
14,TLS Single,2558.38,1,4,4
15,TLS Single,54.55,1,4,4
16,TLS Single,53.5,1,4,4
17,TLS Single,1701.86,1,4,4
18,TLS Single,2147.08,1,4,4
19,TLS Single,1069.3,1,4,4
20,TLS Single,58.63,1,4,4
21,TLS Single,17799.85,1,4,4
22,TLS Single,1528.08,1,4,4
23,TLS Single,6457.84,1,4,4
24,TLS Single,2117.9,1,4,4
25,TLS Single,3043.94,1,4,4
26,TLS Single,2352.52,1,4,4
27,TLS Single,1310.93,1,4,4
28,TLS Single,1546.52,1,4,4
29,TLS Single,2785.1,1,4,4
30,TLS Single,1303.71,1,4,4
31,TLS Single,3423.42,1,4,4
32,TLS Single,52.2,1,4,4
33,TLS Single,3636.44,1,4,4
34,TLS Single,52.68,1,4,4
35,TLS Single,8153.74,1,4,4
36,TLS Single,50.4,1,4,4
37,TLS Single,465.2,1,4,4
38,TLS Single,2805.68,1,4,4
39,TLS Single,2791.26,1,4,4
40,TLS Single,1112.59,1,4,4
41,TLS Single,286.01,1,4,4
42,TLS Single,9654.27,1,4,4
43,TLS Single,51.82,1,4,4
44,TLS Single,4415.96,1,4,4
45,TLS Single,693.28,1,4,4
46,TLS Single,701.22,1,4,4
47,TLS Single,2165.53,1,4,4
48,TLS Single,6933.98,1,4,4
49,TLS Single,1105.0,1,4,4
50,TLS Single,485.97,1,4,4
51,TLS Single,1519.66,1,4,4
52,TLS Single,51.04,1,4,4
53,TLS Single,1303.43,1,4,4
54,TLS Single,53.03,1,4,4
55,TLS Single,17288.41,1,4,4
56,TLS Single,284.7,1,4,4
57,TLS Single,240.72,1,4,4
58,TLS Single,294.17,1,4,4
59,TLS Single,48.67,1,4,4
60,TLS Single,29126.87,1,4,4
61,TLS Single,12134.15,1,4,4
62,TLS Single,1092.46,1,4,4
63,TLS Single,692.17,1,4,4
64,TLS Single,7728.43,1,4,4
65,TLS Single,696.76,1,4,4
66,TLS Single,2148.4,1,4,4
67,TLS Single,4474.02,1,4,4
68,TLS Single,51.64,1,4,4
69,TLS Single,281.41,1,4,4
70,TLS Single,1563.9,1,4,4
71,TLS Single,2956.69,1,4,4
72,TLS Single,283.18,1,4,4
73,TLS Single,50.51,1,4,4
74,TLS Single,909.68,1,4,4
75,TLS Single,4685.1,1,4,4
76,TLS Single,1337.43,1,4,4
77,TLS Single,52.12,1,4,4
78,TLS Single,7703.67,1,4,4
79,TLS Single,51.74,1,4,4
80,TLS Single,1109.44,1,4,4
81,TLS Single,241.88,1,4,4
82,TLS Single,1271.14,1,4,4
83,TLS Single,55.11,1,4,4
84,TLS Single,6716.82,1,4,4
85,TLS Single,106804.88,1,4,4
86,TLS Single,1947.27,1,4,4
87,TLS Single,52.84,1,4,4
88,TLS Single,7500.07,1,4,4
89,TLS Single,50.73,1,4,4
90,TLS Single,2127.3,1,4,4
91,TLS Single,50.9,1,4,4
92,TLS Single,4863.29,1,4,4
93,TLS Single,283.38,1,4,4
94,TLS Single,1663.43,1,4,4
95,TLS Single,296.18,1,4,4
96,TLS Single,53518.27,1,4,4
97,TLS Single,1100.31,1,4,4
98,TLS Single,48.95,1,4,4
99,TLS Single,287.77,1,4,4
100,TLS Single,2604.26,1,4,4
101,TLS Single,1748.76,1,4,4
102,TLS Single,54.83,1,4,4
103,TLS Single,287.01,1,4,4
104,TLS Single,4774.3,1,4,4
105,TLS Single,52.81,1,4,4
106,TLS Single,1291.19,1,4,4
107,TLS Single,51.63,1,4,4
108,TLS Single,29223.55,1,4,4
109,TLS Single,48.17,1,4,4
110,TLS Single,1964.31,1,4,4
111,TLS Single,2831.35,1,4,4
112,TLS Single,281.26,1,4,4
113,TLS Single,908.62,1,4,4
114,TLS Single,453.84,1,4,4
115,TLS Single,5959.5,1,4,4
116,TLS Single,49.12,1,4,4
117,TLS Single,46.07,1,4,4
118,TLS Single,2131.97,1,4,4
119,TLS Single,1519.91,1,4,4
120,TLS Single,3159.98,1,4,4
121,TLS Single,1541.86,1,4,4
122,TLS Single,51.15,1,4,4
123,TLS Single,46.09,1,4,4
124,TLS Single,1872.12,1,4,4
125,TLS Single,703.68,1,4,4
