execution,mode,handshake_duration_ms,success
1,TLS Single,2101.76,1
2,TLS Single,3296.85,1
3,TLS Single,16.16,1
4,TLS Single,1018.79,1
5,TLS Single,1047.34,1
6,TLS Single,222.3,1
7,TLS Single,15.69,1
8,TLS Single,435.68,1
9,TLS Single,11193.11,1
10,TLS Single,1043.11,1
11,TLS Single,15.69,1
12,TLS Single,429.82,1
13,TLS Single,17.42,1
14,TLS Single,1032.28,1
15,TLS Single,218.81,1
16,TLS Single,2491.38,1
17,TLS Single,219.31,1
18,TLS Single,1274.66,1
19,TLS Single,6599.66,1
20,TLS Single,4533.99,1
21,TLS Single,222.15,1
22,TLS Single,429.52,1
23,TLS Single,1052.33,1
24,TLS Single,6609.69,1
25,TLS Single,1049.11,1
26,TLS Single,14.64,1
27,TLS Single,427.71,1
28,TLS Single,15.48,1
29,TLS Single,1239.65,1
30,TLS Single,3082.99,1
31,TLS Single,221.08,1
32,TLS Single,3908.53,1
33,TLS Single,1470.37,1
34,TLS Single,220.13,1
35,TLS Single,219.86,1
36,TLS Single,5570.57,1
37,TLS Single,216.9,1
38,TLS Single,1045.91,1
39,TLS Single,1047.32,1
40,TLS Single,2706.74,1
41,TLS Single,1050.06,1
42,TLS Single,427.15,1
43,TLS Single,14.62,1
44,TLS Single,217.84,1
45,TLS Single,1660.47,1
46,TLS Single,15.9,1
47,TLS Single,2081.86,1
48,TLS Single,1035.52,1
49,TLS Single,214.31,1
50,TLS Single,211.74,1
51,TLS Single,425.17,1
52,TLS Single,14.02,1
53,TLS Single,14.83,1
54,TLS Single,839.47,1
55,TLS Single,223.36,1
56,TLS Single,14.36,1
57,TLS Single,14.33,1
58,TLS Single,15.79,1
59,TLS Single,1074.81,1
60,TLS Single,1049.81,1
61,TLS Single,14.05,1
62,TLS Single,426.57,1
63,TLS Single,431.21,1
64,TLS Single,1897.61,1
65,TLS Single,1053.78,1
66,TLS Single,1048.45,1
67,TLS Single,3343.83,1
68,TLS Single,16.3,1
69,TLS Single,15.02,1
70,TLS Single,2090.9,1
71,TLS Single,221.25,1
72,TLS Single,3090.61,1
73,TLS Single,432.55,1
74,TLS Single,1021.66,1
75,TLS Single,16.07,1
76,TLS Single,14.45,1
77,TLS Single,1062.07,1
78,TLS Single,425.1,1
79,TLS Single,16.46,1
80,TLS Single,1447.68,1
81,TLS Single,1019.3,1
82,TLS Single,1251.85,1
83,TLS Single,220.28,1
84,TLS Single,15.45,1
85,TLS Single,2059.64,1
86,TLS Single,3301.22,1
87,TLS Single,2266.47,1
88,TLS Single,1233.38,1
89,TLS Single,1670.96,1
90,TLS Single,14.3,1
91,TLS Single,224.0,1
92,TLS Single,15.61,1
93,TLS Single,14.71,1
94,TLS Single,432.04,1
95,TLS Single,427.68,1
96,TLS Single,14.14,1
97,TLS Single,838.13,1
98,TLS Single,17.66,1
99,TLS Single,225.92,1
100,TLS Single,1034.98,1
101,TLS Single,13.74,1
102,TLS Single,16.99,1
103,TLS Single,15.45,1
104,TLS Single,17.05,1
105,TLS Single,16.6,1
106,TLS Single,15.98,1
107,TLS Single,16.3,1
108,TLS Single,5373.82,1
109,TLS Single,6.24,1
110,TLS Single,835.52,1
111,TLS Single,4123.33,1
112,TLS Single,15.66,1
113,TLS Single,1262.11,1
114,TLS Single,428.99,1
115,TLS Single,3062.02,1
116,TLS Single,1054.92,1
117,TLS Single,13.21,1
118,TLS Single,13.78,1
119,TLS Single,221.15,1
120,TLS Single,3353.44,1
121,TLS Single,432.1,1
122,TLS Single,218.03,1
123,TLS Single,1019.15,1
124,TLS Single,4114.75,1
125,TLS Single,2074.93,1
126,TLS Single,4117.8,1
127,TLS Single,7638.68,1
128,TLS Single,15.92,1
129,TLS Single,1057.01,1
130,TLS Single,1048.88,1
131,TLS Single,13.96,1
132,TLS Single,3105.07,1
133,TLS Single,429.12,1
134,TLS Single,221.17,1
135,TLS Single,221.22,1
136,TLS Single,14.32,1
137,TLS Single,222.33,1
138,TLS Single,3311.68,1
139,TLS Single,1253.67,1
140,TLS Single,1449.4,1
141,TLS Single,217.75,1
142,TLS Single,14.6,1
143,TLS Single,14.59,1
144,TLS Single,14.33,1
145,TLS Single,15.51,1
146,TLS Single,1681.99,1
147,TLS Single,2487.72,1
148,TLS Single,15.0,1
149,TLS Single,15.73,1
150,TLS Single,840.95,1
151,TLS Single,3086.82,1
152,TLS Single,3091.11,1
153,TLS Single,2064.68,1
154,TLS Single,1047.37,1
155,TLS Single,1680.8,1
156,TLS Single,222.24,1
157,TLS Single,15.35,1
158,TLS Single,14.75,1
159,TLS Single,1055.98,1
160,TLS Single,15.6,1
161,TLS Single,1872.04,1
162,TLS Single,1266.44,1
163,TLS Single,15.38,1
164,TLS Single,14.14,1
165,TLS Single,15.47,1
166,TLS Single,1052.51,1
167,TLS Single,829.26,1
168,TLS Single,4104.5,1
169,TLS Single,14.4,1
170,TLS Single,15.72,1
171,TLS Single,1061.11,1
172,TLS Single,834.55,1
173,TLS Single,220.6,1
174,TLS Single,14.81,1
175,TLS Single,427.27,1
176,TLS Single,1245.43,1
177,TLS Single,14.78,1
178,TLS Single,16.25,1
179,TLS Single,424.88,1
180,TLS Single,14.93,1
181,TLS Single,426.63,1
182,TLS Single,2256.94,1
183,TLS Single,1854.72,1
184,TLS Single,1266.12,1
185,TLS Single,1854.8,1
186,TLS Single,1058.92,1
187,TLS Single,11220.0,1
188,TLS Single,1681.72,1
189,TLS Single,14.61,1
190,TLS Single,14.63,1
191,TLS Single,1265.63,1
192,TLS Single,15.39,1
193,TLS Single,1042.95,1
194,TLS Single,223.24,1
195,TLS Single,16.23,1
196,TLS Single,225.79,1
197,TLS Single,836.77,1
198,TLS Single,17.2,1
199,TLS Single,1054.56,1
200,TLS Single,1459.2,1
201,TLS Single,1020.16,1
202,TLS Single,2070.45,1
203,TLS Single,2074.97,1
204,TLS Single,835.13,1
205,TLS Single,14.41,1
206,TLS Single,216.41,1
207,TLS Single,15.46,1
208,TLS Single,1229.56,1
209,TLS Single,13.72,1
210,TLS Single,8654.38,1
211,TLS Single,222.17,1
212,TLS Single,14.9,1
213,TLS Single,218.62,1
214,TLS Single,223.13,1
215,TLS Single,1039.69,1
216,TLS Single,15.67,1
217,TLS Single,3515.76,1
218,TLS Single,838.18,1
219,TLS Single,1242.45,1
220,TLS Single,8.38,1
221,TLS Single,1032.8,1
222,TLS Single,3090.59,1
223,TLS Single,1049.21,1
224,TLS Single,222.78,1
225,TLS Single,15.94,1
226,TLS Single,225.68,1
227,TLS Single,832.36,1
228,TLS Single,3099.55,1
229,TLS Single,15.64,1
230,TLS Single,3918.06,1
231,TLS Single,4381.39,1
232,TLS Single,15.34,1
233,TLS Single,1883.77,1
234,TLS Single,1050.88,1
235,TLS Single,1459.0,1
236,TLS Single,220.13,1
237,TLS Single,15.78,1
238,TLS Single,427.93,1
239,TLS Single,431.23,1
240,TLS Single,15.36,1
241,TLS Single,14.94,1
242,TLS Single,10.43,1
243,TLS Single,1014.84,1
244,TLS Single,7630.9,1
245,TLS Single,1256.08,1
246,TLS Single,2060.16,1
247,TLS Single,14.95,1
248,TLS Single,14.09,1
249,TLS Single,13.77,1
250,TLS Single,4557.54,1
251,TLS Single,15.66,1
252,TLS Single,16.6,1
253,TLS Single,14.67,1
254,TLS Single,16.1,1
255,TLS Single,220.53,1
256,TLS Single,1035.61,1
257,TLS Single,1045.77,1
258,TLS Single,1048.65,1
259,TLS Single,14.95,1
260,TLS Single,222.08,1
261,TLS Single,215.52,1
262,TLS Single,14.46,1
263,TLS Single,1261.12,1
264,TLS Single,2053.81,1
265,TLS Single,14.48,1
266,TLS Single,16.02,1
267,TLS Single,834.05,1
268,TLS Single,16.69,1
269,TLS Single,223.38,1
270,TLS Single,1890.71,1
271,TLS Single,1061.29,1
272,TLS Single,220.51,1
273,TLS Single,15.0,1
274,TLS Single,1043.11,1
275,TLS Single,1046.61,1
276,TLS Single,26579.95,1
277,TLS Single,11230.26,1
278,TLS Single,1046.87,1
279,TLS Single,6609.26,1
280,TLS Single,1253.96,1
281,TLS Single,14.85,1
282,TLS Single,225.61,1
283,TLS Single,5127.48,1
284,TLS Single,15.47,1
285,TLS Single,1049.14,1
286,TLS Single,14.66,1
287,TLS Single,2490.22,1
288,TLS Single,429.97,1
289,TLS Single,215.64,1
290,TLS Single,432.99,1
291,TLS Single,1028.34,1
292,TLS Single,16.83,1
293,TLS Single,429.36,1
294,TLS Single,16.08,1
295,TLS Single,13.84,1
296,TLS Single,15.34,1
297,TLS Single,15.06,1
298,TLS Single,2086.76,1
299,TLS Single,15.44,1
300,TLS Single,835.08,1
301,TLS Single,223.21,1
302,TLS Single,221.87,1
303,TLS Single,14.41,1
304,TLS Single,15.68,1
305,TLS Single,221.09,1
306,TLS Single,426.99,1
