execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,2292.26,1,3,4
2,TLS Single,208.19,1,3,4
3,TLS Single,9.83,1,3,4
4,TLS Single,1468.93,1,3,4
5,TLS Single,1027.04,1,3,4
6,TLS Single,1479.84,1,3,4
7,TLS Single,3.92,1,3,4
8,TLS Single,212.88,1,3,4
9,TLS Single,6.3,1,3,4
10,TLS Single,4.03,1,3,4
11,TLS Single,7652.12,1,3,4
12,TLS Single,4.12,1,3,4
13,TLS Single,26535.22,1,3,4
14,TLS Single,1058.18,1,3,4
15,TLS Single,1485.5,1,3,4
16,TLS Single,1047.43,1,3,4
17,TLS Single,5.12,1,3,4
18,TLS Single,419.18,1,3,4
19,TLS Single,7.12,1,3,4
20,TLS Single,422.75,1,3,4
21,TLS Single,1451.98,1,3,4
22,TLS Single,213.54,1,3,4
23,TLS Single,1253.62,1,3,4
24,TLS Single,5.28,1,3,4
25,TLS Single,6609.1,1,3,4
26,TLS Single,211.41,1,3,4
27,TLS Single,4102.82,1,3,4
28,TLS Single,423.38,1,3,4
29,TLS Single,826.03,1,3,4
30,TLS Single,1071.08,1,3,4
31,TLS Single,1074.23,1,3,4
32,TLS Single,1070.6,1,3,4
33,TLS Single,424.1,1,3,4
34,TLS Single,5.67,1,3,4
35,TLS Single,212.8,1,3,4
36,TLS Single,218.33,1,3,4
37,TLS Single,417.04,1,3,4
38,TLS Single,5.0,1,3,4
39,TLS Single,1866.59,1,3,4
40,TLS Single,4.12,1,3,4
41,TLS Single,2038.36,1,3,4
42,TLS Single,1049.81,1,3,4
43,TLS Single,1216.68,1,3,4
44,TLS Single,211.86,1,3,4
45,TLS Single,8.53,1,3,4
46,TLS Single,2277.89,1,3,4
47,TLS Single,2475.03,1,3,4
48,TLS Single,217.36,1,3,4
49,TLS Single,214.03,1,3,4
50,TLS Single,3118.87,1,3,4
51,TLS Single,4.01,1,3,4
52,TLS Single,1058.94,1,3,4
53,TLS Single,3.98,1,3,4
54,TLS Single,2903.57,1,3,4
55,TLS Single,213.62,1,3,4
56,TLS Single,416.92,1,3,4
57,TLS Single,1040.48,1,3,4
58,TLS Single,421.26,1,3,4
59,TLS Single,4094.5,1,3,4
60,TLS Single,2296.12,1,3,4
61,TLS Single,1061.0,1,3,4
62,TLS Single,217.82,1,3,4
63,TLS Single,1274.82,1,3,4
64,TLS Single,3360.99,1,3,4
65,TLS Single,3268.0,1,3,4
66,TLS Single,215.52,1,3,4
67,TLS Single,4328.17,1,3,4
68,TLS Single,418.46,1,3,4
69,TLS Single,3.88,1,3,4
70,TLS Single,1056.07,1,3,4
71,TLS Single,1689.09,1,3,4
72,TLS Single,4495.3,1,3,4
73,TLS Single,3.49,1,3,4
74,TLS Single,3.74,1,3,4
75,TLS Single,5120.4,1,3,4
76,TLS Single,215.99,1,3,4
77,TLS Single,5.81,1,3,4
78,TLS Single,5574.01,1,3,4
79,TLS Single,4.07,1,3,4
80,TLS Single,2043.42,1,3,4
81,TLS Single,211.3,1,3,4
82,TLS Single,1043.56,1,3,4
83,TLS Single,419.25,1,3,4
84,TLS Single,1026.55,1,3,4
85,TLS Single,213.49,1,3,4
86,TLS Single,5.94,1,3,4
87,TLS Single,425.89,1,3,4
88,TLS Single,215.97,1,3,4
89,TLS Single,3059.5,1,3,4
90,TLS Single,3354.74,1,3,4
91,TLS Single,11.45,1,3,4
92,TLS Single,216.16,1,3,4
93,TLS Single,430.48,1,3,4
94,TLS Single,1222.85,1,3,4
95,TLS Single,7.3,1,3,4
96,TLS Single,420.74,1,3,4
97,TLS Single,1251.37,1,3,4
98,TLS Single,7188.4,1,3,4
99,TLS Single,4090.68,1,3,4
100,TLS Single,421.77,1,3,4
101,TLS Single,1650.21,1,3,4
102,TLS Single,1482.41,1,3,4
103,TLS Single,4.07,1,3,4
104,TLS Single,420.26,1,3,4
105,TLS Single,4.88,1,3,4
106,TLS Single,1023.0,1,3,4
107,TLS Single,215.26,1,3,4
108,TLS Single,3066.05,1,3,4
109,TLS Single,4.11,1,3,4
110,TLS Single,3.93,1,3,4
111,TLS Single,3.87,1,3,4
112,TLS Single,827.64,1,3,4
113,TLS Single,1836.03,1,3,4
114,TLS Single,826.58,1,3,4
115,TLS Single,217.63,1,3,4
116,TLS Single,19913.2,1,3,4
117,TLS Single,211.18,1,3,4
118,TLS Single,1053.61,1,3,4
119,TLS Single,4.05,1,3,4
120,TLS Single,216.16,1,3,4
121,TLS Single,211.06,1,3,4
122,TLS Single,1034.13,1,3,4
123,TLS Single,215.1,1,3,4
124,TLS Single,4.09,1,3,4
125,TLS Single,3.78,1,3,4
