execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,211.96,1,4,4
2,TLS Single,6.66,1,4,4
3,TLS Single,5.73,1,4,4
4,TLS Single,1070.79,1,4,4
5,TLS Single,1070.98,1,4,4
6,TLS Single,426.38,1,4,4
7,TLS Single,7.24,1,4,4
8,TLS Single,217.96,1,4,4
9,TLS Single,831.96,1,4,4
10,TLS Single,1432.16,1,4,4
11,TLS Single,13.99,1,4,4
12,TLS Single,4.7,1,4,4
13,TLS Single,4.19,1,4,4
14,TLS Single,4.19,1,4,4
15,TLS Single,4.32,1,4,4
16,TLS Single,1061.54,1,4,4
17,TLS Single,1057.35,1,4,4
18,TLS Single,832.46,1,4,4
19,TLS Single,1465.84,1,4,4
20,TLS Single,834.68,1,4,4
21,TLS Single,4.66,1,4,4
22,TLS Single,3748.97,1,4,4
23,TLS Single,14.69,1,4,4
24,TLS Single,1224.11,1,4,4
25,TLS Single,1059.16,1,4,4
26,TLS Single,9.27,1,4,4
27,TLS Single,6.28,1,4,4
28,TLS Single,26434.62,1,4,4
29,TLS Single,1047.37,1,4,4
30,TLS Single,4393.47,1,4,4
31,TLS Single,1222.5,1,4,4
32,TLS Single,6597.76,1,4,4
33,TLS Single,221.59,1,4,4
34,TLS Single,1023.52,1,4,4
35,TLS Single,27815.48,1,4,4
36,TLS Single,1077.04,1,4,4
37,TLS Single,14.21,1,4,4
38,TLS Single,4.75,1,4,4
39,TLS Single,4.25,1,4,4
40,TLS Single,1257.81,1,4,4
41,TLS Single,5.55,1,4,4
42,TLS Single,1048.99,1,4,4
43,TLS Single,420.73,1,4,4
44,TLS Single,3265.57,1,4,4
45,TLS Single,6.22,1,4,4
46,TLS Single,5.24,1,4,4
47,TLS Single,4.32,1,4,4
48,TLS Single,213.29,1,4,4
49,TLS Single,1047.65,1,4,4
50,TLS Single,1051.02,1,4,4
51,TLS Single,214.12,1,4,4
52,TLS Single,825.92,1,4,4
53,TLS Single,1840.79,1,4,4
54,TLS Single,1020.41,1,4,4
55,TLS Single,214.08,1,4,4
56,TLS Single,4.26,1,4,4
57,TLS Single,4.33,1,4,4
58,TLS Single,4.44,1,4,4
59,TLS Single,4.28,1,4,4
60,TLS Single,1043.08,1,4,4
61,TLS Single,4.68,1,4,4
62,TLS Single,216.68,1,4,4
63,TLS Single,6.51,1,4,4
64,TLS Single,4.22,1,4,4
65,TLS Single,3325.84,1,4,4
66,TLS Single,4.9,1,4,4
67,TLS Single,206.97,1,4,4
68,TLS Single,5.18,1,4,4
69,TLS Single,5.24,1,4,4
70,TLS Single,5.37,1,4,4
71,TLS Single,5547.3,1,4,4
72,TLS Single,4.05,1,4,4
73,TLS Single,6608.74,1,4,4
74,TLS Single,7.04,1,4,4
75,TLS Single,1039.07,1,4,4
76,TLS Single,427.31,1,4,4
77,TLS Single,1047.98,1,4,4
78,TLS Single,214.94,1,4,4
79,TLS Single,423.28,1,4,4
80,TLS Single,7568.66,1,4,4
81,TLS Single,7.12,1,4,4
82,TLS Single,1022.78,1,4,4
83,TLS Single,5.1,1,4,4
84,TLS Single,2079.54,1,4,4
85,TLS Single,421.97,1,4,4
86,TLS Single,5.88,1,4,4
87,TLS Single,1695.92,1,4,4
88,TLS Single,1220.57,1,4,4
89,TLS Single,9.63,1,4,4
90,TLS Single,216.84,1,4,4
91,TLS Single,12.89,1,4,4
92,TLS Single,7.82,1,4,4
93,TLS Single,221.02,1,4,4
94,TLS Single,1020.87,1,4,4
95,TLS Single,5.0,1,4,4
96,TLS Single,5.07,1,4,4
97,TLS Single,426.62,1,4,4
98,TLS Single,222.01,1,4,4
99,TLS Single,215.56,1,4,4
100,TLS Single,10.52,1,4,4
101,TLS Single,4088.44,1,4,4
102,TLS Single,6.55,1,4,4
103,TLS Single,1238.53,1,4,4
104,TLS Single,2086.93,1,4,4
105,TLS Single,422.68,1,4,4
106,TLS Single,10.25,1,4,4
107,TLS Single,4.43,1,4,4
108,TLS Single,1659.21,1,4,4
109,TLS Single,212.61,1,4,4
110,TLS Single,7.52,1,4,4
111,TLS Single,5.04,1,4,4
112,TLS Single,4116.74,1,4,4
113,TLS Single,3308.36,1,4,4
114,TLS Single,420.78,1,4,4
115,TLS Single,1077.23,1,4,4
116,TLS Single,1469.02,1,4,4
117,TLS Single,6.71,1,4,4
118,TLS Single,4.4,1,4,4
119,TLS Single,1055.54,1,4,4
120,TLS Single,1015.1,1,4,4
121,TLS Single,214.9,1,4,4
122,TLS Single,1073.0,1,4,4
123,TLS Single,5.91,1,4,4
124,TLS Single,4.35,1,4,4
125,TLS Single,13302.99,1,4,4
