execution,mode,handshake_duration_ms,success
1,TLS Single,3.59,1
2,TLS Single,627.67,1
3,TLS Single,837.41,1
4,TLS Single,6.72,1
5,TLS Single,217.04,1
6,TLS Single,5161.6,1
7,TLS Single,221.82,1
8,TLS Single,5.21,1
9,TLS Single,3.59,1
10,TLS Single,1033.35,1
11,TLS Single,225.5,1
12,TLS Single,11222.6,1
13,TLS Single,1872.75,1
14,TLS Single,5.3,1
15,TLS Single,1261.71,1
16,TLS Single,6.9,1
17,TLS Single,4.76,1
18,TLS Single,3.25,1
19,TLS Single,3.92,1
20,TLS Single,3.12,1
21,TLS Single,3.12,1
22,TLS Single,3.15,1
23,TLS Single,3.23,1
24,TLS Single,8.2,1
25,TLS Single,19534.76,1
26,TLS Single,2078.87,1
27,TLS Single,4.34,1
28,TLS Single,6416.36,1
29,TLS Single,3309.55,1
30,TLS Single,224.76,1
31,TLS Single,1669.46,1
32,TLS Single,1067.0,1
33,TLS Single,219.12,1
34,TLS Single,223.21,1
35,TLS Single,1055.88,1
36,TLS Single,5.73,1
37,TLS Single,1448.6,1
38,TLS Single,1230.1,1
39,TLS Single,2264.97,1
40,TLS Single,1042.71,1
41,TLS Single,4.68,1
42,TLS Single,2270.44,1
43,TLS Single,1250.98,1
44,TLS Single,626.41,1
45,TLS Single,5.51,1
46,TLS Single,3111.39,1
47,TLS Single,1881.46,1
48,TLS Single,1265.91,1
49,TLS Single,4.86,1
50,TLS Single,3.64,1
51,TLS Single,8.0,1
52,TLS Single,4.47,1
53,TLS Single,1667.76,1
54,TLS Single,217.84,1
55,TLS Single,628.65,1
56,TLS Single,4.26,1
57,TLS Single,3.36,1
58,TLS Single,3.49,1
59,TLS Single,3.44,1
60,TLS Single,1066.47,1
61,TLS Single,4.2,1
62,TLS Single,1048.42,1
63,TLS Single,219.05,1
64,TLS Single,1257.9,1
65,TLS Single,5.71,1
66,TLS Single,1436.04,1
67,TLS Single,5.55,1
68,TLS Single,3.56,1
69,TLS Single,222.23,1
70,TLS Single,6365.84,1
71,TLS Single,1260.52,1
72,TLS Single,6.37,1
73,TLS Single,1842.46,1
74,TLS Single,1485.64,1
75,TLS Single,3135.95,1
76,TLS Single,220.37,1
77,TLS Single,220.56,1
78,TLS Single,1270.8,1
79,TLS Single,625.37,1
80,TLS Single,1220.89,1
81,TLS Single,1045.57,1
82,TLS Single,7645.86,1
83,TLS Single,6.28,1
84,TLS Single,3147.16,1
85,TLS Single,1056.63,1
86,TLS Single,4.91,1
87,TLS Single,1249.96,1
88,TLS Single,1251.99,1
89,TLS Single,835.82,1
90,TLS Single,2304.89,1
91,TLS Single,627.6,1
92,TLS Single,1006.6,1
93,TLS Single,7610.38,1
94,TLS Single,4.46,1
95,TLS Single,3.23,1
96,TLS Single,3.27,1
97,TLS Single,7.31,1
98,TLS Single,3.42,1
99,TLS Single,4128.03,1
100,TLS Single,4.59,1
101,TLS Single,1038.63,1
102,TLS Single,53340.96,1
103,TLS Single,5.13,1
104,TLS Single,3.33,1
105,TLS Single,1230.99,1
106,TLS Single,5.6,1
107,TLS Single,625.86,1
108,TLS Single,1267.83,1
109,TLS Single,5.94,1
110,TLS Single,1840.8,1
111,TLS Single,2912.8,1
112,TLS Single,1884.47,1
113,TLS Single,1481.44,1
114,TLS Single,1029.72,1
115,TLS Single,6.1,1
116,TLS Single,4.66,1
117,TLS Single,2083.72,1
118,TLS Single,4.55,1
119,TLS Single,2732.41,1
120,TLS Single,1267.63,1
121,TLS Single,1685.44,1
122,TLS Single,4.31,1
123,TLS Single,1047.35,1
124,TLS Single,5.35,1
125,TLS Single,3091.56,1
126,TLS Single,220.26,1
127,TLS Single,5.06,1
128,TLS Single,217.7,1
129,TLS Single,1459.5,1
130,TLS Single,428.34,1
131,TLS Single,5.92,1
132,TLS Single,32859.87,1
133,TLS Single,3735.46,1
134,TLS Single,5.84,1
135,TLS Single,1480.33,1
136,TLS Single,629.16,1
137,TLS Single,13113.77,1
138,TLS Single,7.36,1
139,TLS Single,2686.7,1
140,TLS Single,3097.76,1
141,TLS Single,14171.56,1
142,TLS Single,6.01,1
143,TLS Single,2066.93,1
144,TLS Single,1866.03,1
145,TLS Single,222.36,1
146,TLS Single,4.85,1
147,TLS Single,3.51,1
148,TLS Single,3.45,1
149,TLS Single,1022.6,1
150,TLS Single,8.08,1
151,TLS Single,625.06,1
152,TLS Single,5.18,1
153,TLS Single,1071.15,1
154,TLS Single,5.72,1
155,TLS Single,1035.54,1
156,TLS Single,6.5,1
157,TLS Single,3.87,1
158,TLS Single,1461.79,1
159,TLS Single,1470.24,1
160,TLS Single,5.53,1
161,TLS Single,1476.93,1
162,TLS Single,3.12,1
163,TLS Single,1041.47,1
164,TLS Single,4.38,1
165,TLS Single,1248.92,1
166,TLS Single,220.12,1
167,TLS Single,8.08,1
168,TLS Single,426.39,1
169,TLS Single,1064.45,1
170,TLS Single,6.02,1
171,TLS Single,3.56,1
172,TLS Single,1460.84,1
173,TLS Single,6365.9,1
174,TLS Single,4.57,1
175,TLS Single,6995.21,1
176,TLS Single,1470.45,1
177,TLS Single,11.98,1
178,TLS Single,623.89,1
179,TLS Single,8.4,1
180,TLS Single,3.34,1
181,TLS Single,13883.09,1
182,TLS Single,5.32,1
183,TLS Single,3347.96,1
184,TLS Single,4.69,1
185,TLS Single,3.21,1
186,TLS Single,628.51,1
187,TLS Single,1071.46,1
188,TLS Single,4.73,1
189,TLS Single,1460.06,1
190,TLS Single,5.11,1
191,TLS Single,3.17,1
192,TLS Single,3.22,1
193,TLS Single,215.78,1
194,TLS Single,15103.61,1
195,TLS Single,627.29,1
196,TLS Single,55583.28,1
197,TLS Single,1267.34,1
198,TLS Single,4364.95,1
199,TLS Single,5.57,1
200,TLS Single,7.8,1
201,TLS Single,1018.97,1
202,TLS Single,6.07,1
203,TLS Single,2896.35,1
204,TLS Single,26526.43,1
205,TLS Single,4.75,1
206,TLS Single,3.83,1
207,TLS Single,1654.9,1
208,TLS Single,4.91,1
209,TLS Single,3.41,1
210,TLS Single,624.15,1
211,TLS Single,4.6,1
212,TLS Single,4145.43,1
213,TLS Single,4.38,1
214,TLS Single,3.59,1
215,TLS Single,3.33,1
216,TLS Single,1016.19,1
217,TLS Single,4764.21,1
218,TLS Single,622.29,1
219,TLS Single,11.26,1
220,TLS Single,1432.4,1
221,TLS Single,1030.37,1
222,TLS Single,631.11,1
223,TLS Single,1482.71,1
224,TLS Single,9.64,1
225,TLS Single,9.67,1
226,TLS Single,628.57,1
227,TLS Single,7634.58,1
228,TLS Single,1874.81,1
229,TLS Single,13287.48,1
230,TLS Single,4.59,1
231,TLS Single,1458.85,1
232,TLS Single,5815.27,1
233,TLS Single,1644.32,1
234,TLS Single,5.73,1
235,TLS Single,1484.35,1
236,TLS Single,4.57,1
237,TLS Single,6.64,1
238,TLS Single,3.34,1
239,TLS Single,3.36,1
240,TLS Single,3.38,1
241,TLS Single,1243.3,1
