execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Single,6671.77,1,3,4
2,TLS Single,86.29,1,3,4
3,TLS Single,5130.45,1,3,4
4,TLS Single,718.28,1,3,4
5,TLS Single,3421.23,1,3,4
6,TLS Single,87.61,1,3,4
7,TLS Single,86.43,1,3,4
8,TLS Single,86.03,1,3,4
9,TLS Single,2619.17,1,3,4
10,TLS Single,331.0,1,3,4
11,TLS Single,1335.18,1,3,4
12,TLS Single,3188.4,1,3,4
13,TLS Single,468.44,1,3,4
14,TLS Single,6479.99,1,3,4
15,TLS Single,88.05,1,3,4
16,TLS Single,2359.86,1,3,4
17,TLS Single,327.18,1,3,4
18,TLS Single,27390.13,1,3,4
19,TLS Single,87.45,1,3,4
20,TLS Single,2388.54,1,3,4
21,TLS Single,1109.44,1,3,4
22,TLS Single,1554.88,1,3,4
23,TLS Single,86.67,1,3,4
24,TLS Single,106283.08,1,3,4
25,TLS Single,332.81,1,3,4
26,TLS Single,1540.6,1,3,4
27,TLS Single,88.1,1,3,4
28,TLS Single,1999.96,1,3,4
29,TLS Single,325.96,1,3,4
30,TLS Single,919.03,1,3,4
31,TLS Single,4486.63,1,3,4
32,TLS Single,87.58,1,3,4
33,TLS Single,3411.29,1,3,4
34,TLS Single,325.8,1,3,4
35,TLS Single,737.87,1,3,4
36,TLS Single,3808.12,1,3,4
37,TLS Single,707.72,1,3,4
38,TLS Single,260.09,1,3,4
39,TLS Single,4676.29,1,3,4
40,TLS Single,8189.06,1,3,4
41,TLS Single,14890.15,1,3,4
42,TLS Single,85.62,1,3,4
43,TLS Single,1562.71,1,3,4
44,TLS Single,52713.71,1,3,4
45,TLS Single,476.56,1,3,4
46,TLS Single,336.52,1,3,4
47,TLS Single,2384.55,1,3,4
48,TLS Single,733.12,1,3,4
49,TLS Single,317.4,1,3,4
50,TLS Single,2174.04,1,3,4
51,TLS Single,1126.94,1,3,4
52,TLS Single,259.37,1,3,4
53,TLS Single,1117.51,1,3,4
54,TLS Single,920.62,1,3,4
55,TLS Single,1781.94,1,3,4
56,TLS Single,258.83,1,3,4
57,TLS Single,99.7,1,3,4
58,TLS Single,472.22,1,3,4
59,TLS Single,934.58,1,3,4
60,TLS Single,468.3,1,3,4
61,TLS Single,6716.17,1,3,4
62,TLS Single,86.84,1,3,4
63,TLS Single,2821.14,1,3,4
64,TLS Single,8372.93,1,3,4
65,TLS Single,4268.93,1,3,4
66,TLS Single,6037.13,1,3,4
67,TLS Single,9607.01,1,3,4
68,TLS Single,4507.97,1,3,4
69,TLS Single,6628.53,1,3,4
70,TLS Single,97.01,1,3,4
71,TLS Single,86.19,1,3,4
72,TLS Single,2645.11,1,3,4
73,TLS Single,2344.82,1,3,4
74,TLS Single,2788.64,1,3,4
75,TLS Single,6924.43,1,3,4
76,TLS Single,2924.45,1,3,4
77,TLS Single,91.05,1,3,4
78,TLS Single,2836.8,1,3,4
79,TLS Single,7942.11,1,3,4
80,TLS Single,3877.22,1,3,4
81,TLS Single,86.05,1,3,4
82,TLS Single,713.25,1,3,4
83,TLS Single,88.06,1,3,4
84,TLS Single,17787.95,1,3,4
85,TLS Single,5938.35,1,3,4
86,TLS Single,87.18,1,3,4
87,TLS Single,1802.72,1,3,4
88,TLS Single,85.77,1,3,4
89,TLS Single,1980.06,1,3,4
90,TLS Single,3604.49,1,3,4
91,TLS Single,87.8,1,3,4
92,TLS Single,86.62,1,3,4
93,TLS Single,720.13,1,3,4
94,TLS Single,86.96,1,3,4
95,TLS Single,20401.63,1,3,4
96,TLS Single,3439.36,1,3,4
97,TLS Single,3237.35,1,3,4
98,TLS Single,260.35,1,3,4
99,TLS Single,7760.84,1,3,4
100,TLS Single,726.52,1,3,4
101,TLS Single,3410.95,1,3,4
102,TLS Single,718.6,1,3,4
103,TLS Single,1596.25,1,3,4
104,TLS Single,925.37,1,3,4
105,TLS Single,2176.48,1,3,4
106,TLS Single,263.8,1,3,4
107,TLS Single,5462.27,1,3,4
108,TLS Single,1332.31,1,3,4
109,TLS Single,96.19,1,3,4
110,TLS Single,3012.93,1,3,4
111,TLS Single,14935.34,1,3,4
112,TLS Single,1346.94,1,3,4
113,TLS Single,5480.31,1,3,4
114,TLS Single,88.28,1,3,4
115,TLS Single,14033.31,1,3,4
116,TLS Single,326.78,1,3,4
117,TLS Single,2856.58,1,3,4
118,TLS Single,87.03,1,3,4
119,TLS Single,3837.48,1,3,4
120,TLS Single,1982.8,1,3,4
121,TLS Single,86.26,1,3,4
122,TLS Single,712.36,1,3,4
123,TLS Single,8922.75,1,3,4
124,TLS Single,7117.44,1,3,4
125,TLS Single,1132.7,1,3,4
